STATTE,,,,
,,,,,,,,,
,SO2,NO2,PM10,O3
21/02/2011 16.00,"2,88","10,02","11,80","81,08"
21/02/2011 17.00,"2,83","11,29","11,80","77,14"
21/02/2011 18.00,"2,91","18,92","11,80","67,24"
21/02/2011 19.00,"2,86","24,87","11,80","59,89"
21/02/2011 20.00,"2,90","18,40","11,80","60,34"
21/02/2011 21.00,"2,95","13,54","11,80","69,78"
21/02/2011 22.00,"2,64","9,50","11,80","70,52"
21/02/2011 23.00,"2,65","8,31","11,80","63,82"
22/02/2011 0.00,"2,37","7,06","11,80","60,62"
22/02/2011 1.00,"2,49","6,01","19,60","58,91"
22/02/2011 2.00,"2,50","5,11","19,60","61,72"
22/02/2011 3.00,"2,35","5,92","19,60","61,89"
22/02/2011 4.00,"2,36","8,05","19,60","58,64"
22/02/2011 5.00,"2,63","8,07","19,60","56,88"
22/02/2011 6.00,"2,51","8,91","19,60","54,57"
22/02/2011 7.00,"2,57","9,02","19,60","56,61"
22/02/2011 8.00,"2,63","11,42","19,60","55,64"
22/02/2011 9.00,"2,62","12,25","19,60","60,84"
22/02/2011 10.00,"2,69","8,75","19,60","67,10"
22/02/2011 11.00,"2,98","8,71","19,60","69,50"
22/02/2011 12.00,"3,15","9,35","19,60","72,18"
22/02/2011 13.00,"3,08","10,05","19,60","73,95"
22/02/2011 14.00,"2,97","10,13","19,60","73,89"
22/02/2011 15.00,"2,98","11,46","19,60","77,81"
22/02/2011 16.00,"3,22","12,68","19,60","78,92"
22/02/2011 17.00,"3,01","18,55","19,60","75,70"
22/02/2011 18.00,"3,09","22,71","19,60","70,76"
22/02/2011 19.00,"2,90","23,74","19,60","68,84"
22/02/2011 20.00,"2,99","22,73","19,60","66,96"
22/02/2011 21.00,"3,02","14,56","19,60","65,73"
22/02/2011 22.00,"2,91","9,47","19,60","58,35"
22/02/2011 23.00,"2,77","9,92","19,60","55,42"
23/02/2011 0.00,"2,86","10,69","19,60","50,25"
23/02/2011 1.00,,"8,55","23,00","53,85"
23/02/2011 2.00,"2,66",,"23,00","66,28"
23/02/2011 3.00,"2,57","3,76","23,00","73,70"
23/02/2011 4.00,"2,54","3,31","23,00","73,23"
23/02/2011 5.00,"2,54","2,06","23,00","72,47"
23/02/2011 6.00,"2,46","0,46","23,00","73,46"
23/02/2011 7.00,"2,52","0,17","23,00","70,95"
23/02/2011 8.00,"2,47","1,58","23,00","64,11"
23/02/2011 9.00,"2,79","6,60","23,00","61,96"
23/02/2011 10.00,"3,10","8,33","23,00","65,78"
23/02/2011 11.00,"3,24","12,56","23,00","70,57"
23/02/2011 12.00,"3,60","14,51","23,00","72,52"
23/02/2011 13.00,"4,13","11,41","23,00","78,02"
23/02/2011 14.00,"3,99","12,41","23,00","78,90"
23/02/2011 15.00,"3,38","10,41","23,00","81,56"
23/02/2011 16.00,"3,13","10,99","23,00","85,07"
23/02/2011 17.00,"3,23","12,01","23,00","81,73"
23/02/2011 18.00,"3,23","8,69","23,00","81,29"
23/02/2011 19.00,"3,00","3,05","23,00","80,42"
23/02/2011 20.00,"3,06",,"23,00","79,90"
23/02/2011 21.00,"2,96",,"23,00","80,52"
23/02/2011 22.00,"2,97",,"23,00","82,62"
23/02/2011 23.00,"2,88",,"23,00","85,34"
24/02/2011 0.00,"2,72",,"23,00","83,67"
24/02/2011 1.00,"2,67",,"31,60","79,07"
24/02/2011 2.00,"2,72",,"31,60","75,08"
24/02/2011 3.00,"2,69",,"31,60","74,40"
24/02/2011 4.00,"2,59",,"31,60","76,36"
24/02/2011 5.00,"2,75",,"31,60","78,24"
24/02/2011 6.00,"2,65",,"31,60","74,52"
24/02/2011 7.00,"2,88",,"31,60","70,27"
24/02/2011 8.00,"2,73",,"31,60","70,47"
24/02/2011 9.00,"2,74",,"31,60","70,21"
24/02/2011 10.00,"2,67",,"31,60","71,21"
24/02/2011 11.00,"2,72",,"31,60","70,14"
24/02/2011 12.00,"2,71",,"31,60","73,80"
24/02/2011 13.00,"2,72",,"31,60","76,57"
24/02/2011 14.00,"2,71",,"31,60","77,35"
24/02/2011 15.00,"2,71",,"31,60","79,89"
24/02/2011 16.00,"2,58",,"31,60","81,59"
24/02/2011 17.00,"2,81",,"31,60","83,89"
24/02/2011 18.00,"2,73",,"31,60","86,92"
24/02/2011 19.00,"2,69",,"31,60","86,66"
24/02/2011 20.00,"2,64",,"31,60","84,00"
24/02/2011 21.00,"2,55",,"31,60","82,38"
24/02/2011 22.00,"2,68",,"31,60","81,83"
24/02/2011 23.00,"2,95",,"31,60","81,80"
25/02/2011 0.00,"2,79",,"31,60","80,23"
25/02/2011 1.00,,,"28,90","78,83"
25/02/2011 2.00,"2,63",,"28,90","75,23"
25/02/2011 3.00,"2,85",,"28,90","74,40"
25/02/2011 4.00,"2,84",,"28,90","74,73"
25/02/2011 5.00,"2,65",,"28,90","74,04"
25/02/2011 6.00,"2,84",,"28,90","72,46"
25/02/2011 7.00,"3,01",,"28,90","71,06"
25/02/2011 8.00,"2,87",,"28,90","70,88"
25/02/2011 9.00,"3,12",,"28,90","69,01"
25/02/2011 10.00,"2,93","0,32","28,90","70,92"
25/02/2011 11.00,"2,84","0,13","28,90","74,60"
25/02/2011 12.00,"2,93","0,26","28,90","77,40"
25/02/2011 13.00,"3,00","0,44","28,90","79,02"
25/02/2011 14.00,"3,23","0,50","28,90","84,06"
25/02/2011 15.00,"3,21","1,98","28,90","87,31"
25/02/2011 16.00,"3,23","3,09","28,90","89,86"
25/02/2011 17.00,"3,34","2,77","28,90","89,69"
25/02/2011 18.00,"3,17","2,09","28,90","86,09"
25/02/2011 19.00,"3,15","1,15","28,90","83,03"
25/02/2011 20.00,"2,88","1,28","28,90","82,71"
25/02/2011 21.00,"2,95","0,21","28,90","78,35"
25/02/2011 22.00,"3,04",,"28,90","77,81"
25/02/2011 23.00,"3,07","0,01","28,90","79,36"
26/02/2011 0.00,"3,13",,"28,90","78,84"
26/02/2011 1.00,"2,95","0,01","24,00","76,99"
26/02/2011 2.00,"3,04","0,02","24,00","72,17"
26/02/2011 3.00,"2,78",,"24,00","77,53"
26/02/2011 4.00,"2,81",,"24,00","78,81"
26/02/2011 5.00,"2,95","1,70","24,00","73,41"
26/02/2011 6.00,"2,82",,"24,00","73,98"
26/02/2011 7.00,"2,94",,"24,00","72,46"
26/02/2011 8.00,"2,97",,"24,00","72,61"
26/02/2011 9.00,"2,97","1,74","24,00","69,46"
26/02/2011 10.00,"2,96","0,11","24,00","71,33"
26/02/2011 11.00,"3,16","0,14","24,00","70,18"
26/02/2011 12.00,"3,22","1,74","24,00","67,83"
26/02/2011 13.00,"3,38","5,77","24,00","67,44"
26/02/2011 14.00,"4,46","9,94","24,00","68,46"
26/02/2011 15.00,"4,38","10,71","24,00","72,44"
26/02/2011 16.00,"4,29","11,25","24,00","73,57"
26/02/2011 17.00,"3,98","11,11","24,00","74,92"
26/02/2011 18.00,"3,78","15,61","24,00","69,58"
26/02/2011 19.00,"3,50","19,21","24,00","64,27"
26/02/2011 20.00,"3,17","18,33","24,00","57,17"
26/02/2011 21.00,"2,98","12,53","24,00","59,04"
26/02/2011 22.00,"3,31","6,28","24,00","64,76"
26/02/2011 23.00,"3,19","2,61","24,00","65,09"
27/02/2011 0.00,"2,98","1,16","24,00","60,31"
27/02/2011 1.00,,"0,04","33,00","61,25"
27/02/2011 2.00,"3,05",,"33,00","61,32"
27/02/2011 3.00,"3,10","0,03","33,00","63,94"
27/02/2011 4.00,"3,09","0,77","33,00","68,38"
27/02/2011 5.00,"3,04","2,15","33,00","71,49"
27/02/2011 6.00,"3,10","3,17","33,00","72,03"
27/02/2011 7.00,"3,11","4,10","33,00","70,54"
27/02/2011 8.00,"3,25","8,17","33,00","69,87"
27/02/2011 9.00,"3,19","9,53","33,00","68,97"
27/02/2011 10.00,"3,65","10,42","33,00","61,22"
27/02/2011 11.00,"4,20","13,70","33,00","63,98"
27/02/2011 12.00,"4,03","10,82","33,00","71,30"
27/02/2011 13.00,"4,38","11,64","33,00","76,10"
27/02/2011 14.00,"5,07","13,19","33,00","82,29"
27/02/2011 15.00,"5,03","14,10","33,00","84,06"
27/02/2011 16.00,"4,06","11,30","33,00","83,13"
27/02/2011 17.00,"3,64","16,60","33,00","73,90"
27/02/2011 18.00,"3,41","24,69","33,00","62,73"
27/02/2011 19.00,"3,43","50,26","33,00","45,76"
27/02/2011 20.00,"3,60","97,48","33,00","23,55"
27/02/2011 21.00,"3,54","51,23","33,00","48,50"
27/02/2011 22.00,"3,28","37,77","33,00","54,73"
27/02/2011 23.00,"3,33","28,75","33,00","59,72"
28/02/2011 0.00,"3,43","22,76","33,00","60,93"
28/02/2011 1.00,"3,01","15,19","20,70","67,28"
28/02/2011 2.00,"2,79","12,11","20,70","75,30"
28/02/2011 3.00,"3,04","9,72","20,70","74,19"
28/02/2011 4.00,"3,03","9,15","20,70","72,91"
28/02/2011 5.00,"3,13","9,84","20,70","70,49"
28/02/2011 6.00,"3,38","10,00","20,70","68,75"
28/02/2011 7.00,"2,93","14,75","20,70","67,27"
28/02/2011 8.00,"2,98","19,27","20,70","69,09"
28/02/2011 9.00,"3,16","15,13","20,70","70,37"
28/02/2011 10.00,"3,10","17,43","20,70","73,42"
28/02/2011 11.00,"3,22","30,99","20,70","65,98"
28/02/2011 12.00,"3,30","37,56","20,70","66,05"
28/02/2011 13.00,"3,28","18,35","20,70","80,65"
28/02/2011 14.00,"3,26","17,20","20,70","78,59"
28/02/2011 15.00,"3,36","13,98","20,70","81,26"
28/02/2011 16.00,"3,31","11,80","20,70","81,09"
28/02/2011 17.00,"3,45","12,78","20,70","79,60"
28/02/2011 18.00,"3,24","14,04","20,70","77,16"
28/02/2011 19.00,"3,11","14,04","20,70","71,25"
28/02/2011 20.00,"3,17","19,18","20,70","63,27"
28/02/2011 21.00,"3,12","14,77","20,70","63,61"
28/02/2011 22.00,"2,92","10,45","20,70","69,79"
28/02/2011 23.00,"2,89","7,88","20,70","73,88"
01/03/2011 0.00,"3,07","8,40","20,70","71,38"
01/03/2011 1.00,,"7,16","13,90","70,50"
01/03/2011 2.00,"2,87",,"13,90","68,27"
01/03/2011 3.00,"3,05","5,61","13,90","70,91"
01/03/2011 4.00,"2,75","6,53","13,90","76,01"
01/03/2011 5.00,"2,83","5,79","13,90","77,27"
01/03/2011 6.00,"2,97","5,30","13,90","80,07"
01/03/2011 7.00,"3,01","7,00","13,90","73,60"
01/03/2011 8.00,"2,96","7,84","13,90","75,67"
01/03/2011 9.00,"3,11","7,88","13,90","72,66"
01/03/2011 10.00,"2,90","7,07","13,90","69,29"
01/03/2011 11.00,"3,10","6,98","13,90","70,86"
01/03/2011 12.00,"3,04","3,89","13,90","73,85"
01/03/2011 13.00,"3,02","3,68","13,90","72,89"
01/03/2011 14.00,"3,00","3,96","13,90","72,28"
01/03/2011 15.00,"3,04","5,65","13,90","69,75"
01/03/2011 16.00,"2,83","4,97","13,90","73,20"
01/03/2011 17.00,"2,80","5,45","13,90","73,66"
01/03/2011 18.00,"2,86","5,25","13,90","73,96"
01/03/2011 19.00,"2,79","3,88","13,90","75,31"
01/03/2011 20.00,"2,80","3,24","13,90","77,70"
01/03/2011 21.00,"6,72","4,14","13,90",
01/03/2011 22.00,"23,44","7,92","13,90",
01/03/2011 23.00,"2,90","37,63","13,90","48,73"
02/03/2011 0.00,"2,68","15,86","13,90","62,44"
02/03/2011 1.00,"2,75","15,40","13,10","56,63"
02/03/2011 2.00,"2,71","11,85","13,10","51,03"
02/03/2011 3.00,"2,58","11,57","13,10","54,70"
02/03/2011 4.00,"2,42","7,02","13,10","59,41"
02/03/2011 5.00,"2,45","5,23","13,10","54,21"
02/03/2011 6.00,"2,49","8,37","13,10","48,86"
02/03/2011 7.00,"2,63","25,57","13,10","38,44"
02/03/2011 8.00,"2,82","51,61","13,10","29,29"
02/03/2011 9.00,"2,82","39,91","13,10","42,18"
02/03/2011 10.00,"2,88","30,47","13,10","56,13"
02/03/2011 11.00,"2,95","19,99","13,10","72,89"
02/03/2011 12.00,"3,07","13,56","13,10","80,56"
02/03/2011 13.00,"3,02","12,28","13,10","85,75"
02/03/2011 14.00,"3,10","22,65","13,10","82,90"
02/03/2011 15.00,"3,01","23,03","13,10","83,13"
02/03/2011 16.00,"2,80","13,65","13,10","90,84"
02/03/2011 17.00,"2,85","10,25","13,10","91,40"
02/03/2011 18.00,"3,02","14,85","13,10","85,33"
02/03/2011 19.00,"2,60","21,42","13,10","76,04"
02/03/2011 20.00,"2,98","19,84","13,10","71,20"
02/03/2011 21.00,"2,81","17,02","13,10","72,83"
02/03/2011 22.00,"2,80","11,70","13,10","75,24"
02/03/2011 23.00,"2,72","8,14","13,10","77,78"
03/03/2011 0.00,"2,78","6,98","13,10","77,84"
03/03/2011 1.00,,"6,56","18,70","77,25"
03/03/2011 2.00,"2,67",,"18,70",
03/03/2011 3.00,"2,83",,"18,70","73,25"
03/03/2011 4.00,"2,84",,"18,70",
03/03/2011 5.00,"2,74",,"18,70",
03/03/2011 6.00,"2,60",,"18,70","66,55"
03/03/2011 7.00,"2,75",,"18,70","56,09"
03/03/2011 8.00,"2,99",,"18,70","28,68"
03/03/2011 9.00,"3,26",,"18,70","25,72"
03/03/2011 10.00,"2,97",,"18,70","38,20"
03/03/2011 11.00,"2,75",,"18,70","69,53"
03/03/2011 12.00,"3,10","22,15","18,70","78,61"
03/03/2011 13.00,"3,40","26,83","18,70","76,87"
03/03/2011 14.00,"3,64","12,58","18,70","88,99"
03/03/2011 15.00,"3,47","10,36","18,70","89,12"
03/03/2011 16.00,"3,19","11,56","18,70","89,94"
03/03/2011 17.00,"3,21","16,32","18,70","85,60"
03/03/2011 18.00,"3,07","13,48","18,70","85,15"
03/03/2011 19.00,"3,14","13,58","18,70","75,57"
03/03/2011 20.00,"2,94","32,37","18,70","58,83"
03/03/2011 21.00,"2,88","28,98","18,70","63,43"
03/03/2011 22.00,"2,96","18,48","18,70","72,64"
03/03/2011 23.00,"2,90","19,86","18,70","70,59"
04/03/2011 0.00,"2,90","19,43","18,70","64,09"
04/03/2011 1.00,"2,98","10,95","18,00","75,51"
04/03/2011 2.00,"2,65","7,17","18,00","77,22"
04/03/2011 3.00,"2,87","5,24","18,00","78,52"
04/03/2011 4.00,"2,75","4,39","18,00","77,26"
04/03/2011 5.00,"2,86","4,58","18,00","69,54"
04/03/2011 6.00,"2,90","8,09","18,00","72,01"
04/03/2011 7.00,"2,88","11,77","18,00","74,12"
04/03/2011 8.00,"2,82","22,01","18,00","64,54"
04/03/2011 9.00,"2,84","27,05","18,00","54,68"
04/03/2011 10.00,"2,87","23,94","18,00","53,10"
04/03/2011 11.00,"2,86","14,20","18,00","61,77"
04/03/2011 12.00,"2,94","12,35","18,00","70,28"
04/03/2011 13.00,"2,93","11,57","18,00","74,92"
04/03/2011 14.00,"3,05","15,50","18,00","69,98"
04/03/2011 15.00,"3,02","12,60","18,00","72,83"
04/03/2011 16.00,"3,03","13,89","18,00","74,10"
04/03/2011 17.00,"2,88","16,64","18,00","75,32"
04/03/2011 18.00,"3,04","20,36","18,00","69,69"
04/03/2011 19.00,"2,98","21,95","18,00","67,38"
04/03/2011 20.00,"2,95","25,70","18,00","62,36"
04/03/2011 21.00,"3,03","23,24","18,00","68,30"
04/03/2011 22.00,"2,87","15,40","18,00","72,39"
04/03/2011 23.00,"2,87","13,18","18,00","74,36"
05/03/2011 0.00,"2,89","14,51","18,00","68,16"
05/03/2011 1.00,,"10,30","14,30","72,42"
05/03/2011 2.00,"3,01","7,44","14,30","74,23"
05/03/2011 3.00,"2,81","6,89","14,30","74,31"
05/03/2011 4.00,"2,70","6,67","14,30","68,28"
05/03/2011 5.00,"2,83","6,59","14,30","70,86"
05/03/2011 6.00,"2,86","7,48","14,30","69,24"
05/03/2011 7.00,"2,74","10,90","14,30","64,61"
05/03/2011 8.00,"2,85","14,79","14,30","66,53"
05/03/2011 9.00,"2,95","19,63","14,30","62,86"
05/03/2011 10.00,"2,95","18,79","14,30","64,26"
05/03/2011 11.00,"2,93","17,03","14,30","64,89"
05/03/2011 12.00,"3,18","13,77","14,30","67,94"
05/03/2011 13.00,"3,05","16,01","14,30","64,41"
05/03/2011 14.00,"3,17","17,07","14,30","63,55"
05/03/2011 15.00,"3,10","14,08","14,30","60,81"
05/03/2011 16.00,"3,10","11,90","14,30","61,17"
05/03/2011 17.00,"3,20","11,46","14,30","64,95"
05/03/2011 18.00,"3,07","14,19","14,30","59,77"
05/03/2011 19.00,"2,82","15,66","14,30","58,46"
05/03/2011 20.00,"2,94","12,65","14,30","62,85"
05/03/2011 21.00,"2,73","9,19","14,30","51,38"
05/03/2011 22.00,"2,74","12,71","14,30","43,66"
05/03/2011 23.00,"2,87","9,16","14,30","54,65"
06/03/2011 0.00,"2,85","4,19","14,30","65,02"
06/03/2011 1.00,"2,70","2,76","13,20","70,08"
06/03/2011 2.00,"2,80","2,26","13,20","72,28"
06/03/2011 3.00,"2,69","1,97","13,20","73,32"
06/03/2011 4.00,"2,79","1,33","13,20","75,34"
06/03/2011 5.00,"2,67","0,21","13,20","78,04"
06/03/2011 6.00,"2,86","0,02","13,20","78,63"
06/03/2011 7.00,"2,89","0,21","13,20","77,17"
06/03/2011 8.00,"2,89","1,79","13,20","67,20"
06/03/2011 9.00,"2,95","0,22","13,20","59,19"
06/03/2011 10.00,"2,60","0,62","13,20","60,89"
06/03/2011 11.00,"2,91","1,58","13,20","68,47"
06/03/2011 12.00,"2,79","2,19","13,20","71,50"
06/03/2011 13.00,"2,86","4,42","13,20","76,32"
06/03/2011 14.00,"2,86","6,13","13,20","81,67"
06/03/2011 15.00,"2,95","6,24","13,20","84,32"
06/03/2011 16.00,"2,95","6,94","13,20","82,92"
06/03/2011 17.00,"3,10","9,00","13,20","76,24"
06/03/2011 18.00,"3,14","9,80","13,20","70,28"
06/03/2011 19.00,"2,98","7,23","13,20","63,25"
06/03/2011 20.00,"2,78","4,13","13,20","71,04"
06/03/2011 21.00,"2,93","3,05","13,20","82,40"
06/03/2011 22.00,"2,76","0,04","13,20","85,95"
06/03/2011 23.00,"2,79","0,02","13,20","87,85"
07/03/2011 0.00,"2,66","0,22","13,20","86,76"
07/03/2011 1.00,,"1,99","16,10","82,73"
07/03/2011 2.00,"2,83","0,96","16,10","78,15"
07/03/2011 3.00,"2,78","1,01","16,10","74,84"
07/03/2011 4.00,"2,73",,"16,10","71,96"
07/03/2011 5.00,"2,69","0,04","16,10","75,76"
07/03/2011 6.00,"2,69",,"16,10","86,14"
07/03/2011 7.00,"2,71","0,03","16,10","85,27"
07/03/2011 8.00,"2,79","0,05","16,10","81,59"
07/03/2011 9.00,"2,95",,"16,10","83,47"
07/03/2011 10.00,"3,05",,"16,10","87,26"
07/03/2011 11.00,"3,10",,"16,10","86,46"
07/03/2011 12.00,"3,42","0,02","16,10","88,62"
07/03/2011 13.00,"3,81","0,16","16,10","90,44"
07/03/2011 14.00,"3,81","1,41","16,10","90,52"
07/03/2011 15.00,"3,79","2,31","16,10","91,96"
07/03/2011 16.00,"3,50","5,82","16,10","90,94"
07/03/2011 17.00,"3,38","6,39","16,10","88,13"
07/03/2011 18.00,"3,27","7,25","16,10","86,10"
07/03/2011 19.00,"2,94","10,54","16,10","82,11"
07/03/2011 20.00,"2,95","10,16","16,10","80,93"
07/03/2011 21.00,"3,05","8,49","16,10","78,86"
07/03/2011 22.00,"2,98","4,77","16,10","84,02"
07/03/2011 23.00,"3,05","4,08","16,10","83,84"
08/03/2011 0.00,"2,72","4,24","16,10","80,55"
08/03/2011 1.00,"2,85","4,52","14,90","81,30"
08/03/2011 2.00,"2,99","3,39","14,90","81,32"
08/03/2011 3.00,"3,02","2,75","14,90","82,51"
08/03/2011 4.00,"3,07","2,62","14,90","81,88"
08/03/2011 5.00,"2,94","2,87","14,90","80,90"
08/03/2011 6.00,"3,11","5,20","14,90","77,57"
08/03/2011 7.00,"3,00","11,53","14,90","71,61"
08/03/2011 8.00,"3,26","12,52","14,90","72,42"
08/03/2011 9.00,"3,18","7,57","14,90","78,25"
08/03/2011 10.00,"3,44","7,42","14,90","80,35"
08/03/2011 11.00,"3,36","6,56","14,90","82,18"
08/03/2011 12.00,"3,78","6,04","14,90","83,18"
08/03/2011 13.00,"3,76","5,53","14,90","83,99"
08/03/2011 14.00,"3,63","5,67","14,90","85,28"
08/03/2011 15.00,"3,67","4,71","14,90","87,17"
08/03/2011 16.00,"3,70","1,38","14,90","88,95"
08/03/2011 17.00,"3,85","5,65","14,90","88,22"
08/03/2011 18.00,"3,77","6,33","14,90","91,48"
08/03/2011 19.00,"3,59","9,69","14,90","82,38"
08/03/2011 20.00,"3,46","12,08","14,90","71,90"
08/03/2011 21.00,"3,34","8,01","14,90","72,56"
08/03/2011 22.00,"3,32","9,98","14,90","67,40"
08/03/2011 23.00,"3,22","6,33","14,90","75,94"
09/03/2011 0.00,"3,09","2,37","14,90","80,32"
09/03/2011 1.00,,"2,63","18,20","74,22"
09/03/2011 2.00,"3,26","4,33","18,20","65,31"
09/03/2011 3.00,"3,12","3,79","18,20","66,91"
09/03/2011 4.00,"3,14",,"18,20","76,66"
09/03/2011 5.00,"3,02",,"18,20","80,14"
09/03/2011 6.00,"2,99",,"18,20","77,56"
09/03/2011 7.00,"3,14","1,40","18,20","75,12"
09/03/2011 8.00,"3,21","6,48","18,20","72,08"
09/03/2011 9.00,"3,40","6,10","18,20","76,57"
09/03/2011 10.00,"3,43","2,22","18,20","83,23"
09/03/2011 11.00,"3,40","1,84","18,20","86,76"
09/03/2011 12.00,"3,68","2,84","18,20","89,71"
09/03/2011 13.00,"4,01","2,99","18,20","94,87"
09/03/2011 14.00,"4,09","1,32","18,20","98,27"
09/03/2011 15.00,"3,92","2,37","18,20","98,76"
09/03/2011 16.00,"4,02","2,43","18,20","99,77"
09/03/2011 17.00,"4,06","2,19","18,20","99,73"
09/03/2011 18.00,"3,91","7,16","18,20","94,18"
09/03/2011 19.00,"3,67","21,90","18,20","81,31"
09/03/2011 20.00,"3,49","30,14","18,20","73,39"
09/03/2011 21.00,"3,57","32,37","18,20","76,27"
09/03/2011 22.00,"3,28","18,06","18,20","78,44"
09/03/2011 23.00,"3,44","16,57","18,20","69,26"
10/03/2011 0.00,"3,51","13,95","18,20","69,82"
10/03/2011 1.00,"3,58","4,56","26,40",
10/03/2011 2.00,"4,37","3,92","26,40",
10/03/2011 3.00,"3,21","1,58","26,40","72,27"
10/03/2011 4.00,"3,16",,"26,40","74,49"
10/03/2011 5.00,"3,00",,"26,40","76,40"
10/03/2011 6.00,"3,16","4,54","26,40","64,96"
10/03/2011 7.00,"2,93","5,97","26,40","70,69"
10/03/2011 8.00,"2,99","12,83","26,40","66,20"
10/03/2011 9.00,"3,11","21,36","26,40","70,43"
10/03/2011 10.00,"3,19","8,34","26,40","90,17"
10/03/2011 11.00,"3,48","7,29","26,40","100,19"
10/03/2011 12.00,"3,58","5,75","26,40","102,77"
10/03/2011 13.00,"3,82","6,94","26,40","110,92"
10/03/2011 14.00,"3,88","9,21","26,40","113,30"
10/03/2011 15.00,"3,75","5,32","26,40","112,87"
10/03/2011 16.00,"3,70","5,10","26,40","110,86"
10/03/2011 17.00,"3,81","7,57","26,40","111,87"
10/03/2011 18.00,"3,89","13,59","26,40","108,27"
10/03/2011 19.00,"3,71","25,44","26,40","96,96"
10/03/2011 20.00,"3,56","27,07","26,40","95,31"
10/03/2011 21.00,"3,55","26,55","26,40","92,47"
10/03/2011 22.00,"3,43","26,76","26,40","91,81"
10/03/2011 23.00,"3,28","17,55","26,40","85,96"
11/03/2011 0.00,"3,10","15,76","26,40","83,42"
11/03/2011 1.00,,"16,75","41,60","83,60"
11/03/2011 2.00,"3,27","5,76","41,60","91,87"
11/03/2011 3.00,"3,12","3,74","41,60","93,79"
11/03/2011 4.00,"3,00","3,94","41,60","92,49"
11/03/2011 5.00,"3,06","5,51","41,60","87,56"
11/03/2011 6.00,"3,05","7,56","41,60","95,92"
11/03/2011 7.00,"2,93","8,93","41,60","90,66"
11/03/2011 8.00,"2,97","33,64","41,60","61,97"
11/03/2011 9.00,"3,08",,"41,60","78,02"
11/03/2011 10.00,"3,19",,"41,60","83,30"
11/03/2011 11.00,"3,62","33,15","41,60","88,04"
11/03/2011 12.00,"3,76","23,00","41,60","98,04"
11/03/2011 13.00,"3,68","13,96","41,60","111,10"
11/03/2011 14.00,"3,90","19,65","41,60","109,28"
11/03/2011 15.00,"3,75","14,91","41,60","114,30"
11/03/2011 16.00,"3,75","14,13","41,60","113,08"
11/03/2011 17.00,"3,91","15,48","41,60","107,15"
11/03/2011 18.00,"3,61","45,06","41,60","93,76"
11/03/2011 19.00,"3,51","65,58","41,60","74,96"
11/03/2011 20.00,"3,70","105,42","41,60","46,54"
11/03/2011 21.00,"3,75","110,05","41,60","36,98"
11/03/2011 22.00,"3,66","89,62","41,60","45,56"
11/03/2011 23.00,"3,68","83,45","41,60","41,31"
12/03/2011 0.00,"3,48","49,34","41,60","54,85"
12/03/2011 1.00,"3,48","45,40","24,50","54,48"
12/03/2011 2.00,"3,30","28,29","24,50","63,47"
12/03/2011 3.00,"3,26","20,06","24,50","63,16"
12/03/2011 4.00,"3,31","20,87","24,50","59,50"
12/03/2011 5.00,"3,17","16,72","24,50","66,59"
12/03/2011 6.00,"3,16","17,31","24,50","70,83"
12/03/2011 7.00,"3,40","31,41","24,50","77,00"
12/03/2011 8.00,"3,39","28,06","24,50","92,97"
12/03/2011 9.00,"3,53","20,24","24,50","90,13"
12/03/2011 10.00,"3,96","18,55","24,50","97,43"
12/03/2011 11.00,"3,73","22,75","24,50","105,13"
12/03/2011 12.00,"4,02","24,19","24,50","105,68"
12/03/2011 13.00,"4,25","28,41","24,50","100,11"
12/03/2011 14.00,"4,08","13,57","24,50","115,46"
12/03/2011 15.00,"3,89","21,94","24,50","110,72"
12/03/2011 16.00,"3,87","8,94","24,50","115,85"
12/03/2011 17.00,"3,71","7,63","24,50","114,44"
12/03/2011 18.00,"3,59","8,68","24,50","116,55"
12/03/2011 19.00,"3,63","12,79","24,50","111,76"
12/03/2011 20.00,"3,43","16,68","24,50","107,82"
12/03/2011 21.00,"3,49","12,10","24,50","114,48"
12/03/2011 22.00,"3,24","14,60","24,50","112,30"
12/03/2011 23.00,"3,47","11,99","24,50","114,07"
13/03/2011 0.00,"3,49","24,82","24,50","102,90"
13/03/2011 1.00,,"13,63","16,00","111,15"
13/03/2011 2.00,"2,91",,"16,00","115,83"
13/03/2011 3.00,"3,41","5,00","16,00","115,54"
13/03/2011 4.00,"3,38","4,77","16,00","111,09"
13/03/2011 5.00,"3,38","3,78","16,00","106,59"
13/03/2011 6.00,"3,24","3,62","16,00","106,04"
13/03/2011 7.00,"3,27","4,16","16,00","105,92"
13/03/2011 8.00,"3,35","3,92","16,00","106,64"
13/03/2011 9.00,"3,21","4,33","16,00","105,20"
13/03/2011 10.00,"3,23","4,72","16,00","106,16"
13/03/2011 11.00,"3,31","5,57","16,00","105,24"
13/03/2011 12.00,"3,26","6,21","16,00","107,32"
13/03/2011 13.00,"3,36","6,31","16,00","107,20"
13/03/2011 14.00,"3,19","5,36","16,00","108,78"
13/03/2011 15.00,"3,15","4,61","16,00","113,81"
13/03/2011 16.00,"3,39","3,98","16,00","110,71"
13/03/2011 17.00,"3,19","3,96","16,00","106,96"
13/03/2011 18.00,"3,26","4,87","16,00","105,10"
13/03/2011 19.00,"3,12","5,36","16,00","98,43"
13/03/2011 20.00,"3,39","6,11","16,00","95,11"
13/03/2011 21.00,"3,26","10,95","16,00","93,22"
13/03/2011 22.00,"3,19","6,43","16,00","91,69"
13/03/2011 23.00,"3,15","5,84","16,00","89,06"
