Stat,TA-Talsano,,,,,
Parm,SO2,NOX,NO2,PM10,O3,IPA TOT
Unit,ug/m3 293K,ug/m3 293K,ug/m3 293K,ug/m3,ug/m3 293K,ng/m3
29/09/2014 20.00,"0,6","11,3","10,7","19,0","58,3","7,5"
29/09/2014 21.00,"0,5","9,5","8,7","19,0","61,5","6,5"
29/09/2014 22.00,"0,6","7,7","7,3","19,0","60,8","5,5"
29/09/2014 23.00,"0,3","8,0","7,7","19,0","58,7","5,1"
30/09/2014 0.00,"0,4","8,5","8,1","19,0","53,5","5,1"
30/09/2014 1.00,"0,2","6,0","5,6",,"42,7","5,8"
30/09/2014 2.00,,"12,4","11,5",,"24,0","7,1"
30/09/2014 3.00,,"7,6","7,5",,"36,5","5,1"
30/09/2014 4.00,,"5,1","5,0",,"29,7","5,0"
30/09/2014 5.00,,"5,1","4,5",,"28,3","5,2"
30/09/2014 6.00,,"6,3","5,8",,"34,1","4,7"
30/09/2014 7.00,,"13,2","11,3",,"25,6","8,2"
30/09/2014 8.00,"0,4","21,7","15,4",,"30,7","11,0"
30/09/2014 9.00,"0,7","18,0","13,0",,"45,6","7,9"
30/09/2014 10.00,"2,0","9,8","7,6",,"73,5","6,3"
30/09/2014 11.00,"2,2","6,0","4,6",,"84,5","5,9"
30/09/2014 12.00,"4,5","25,2","20,5",,"71,7","8,1"
30/09/2014 13.00,"5,0","19,2","15,6",,"79,0","5,4"
30/09/2014 14.00,"9,4","20,0","16,6",,"81,4","3,2"
30/09/2014 15.00,"5,6","13,1","11,7",,"90,1","1,9"
30/09/2014 16.00,"5,1","11,6","10,7",,"91,1","2,3"
30/09/2014 17.00,"3,7","13,6","12,6",,"95,7","3,8"
30/09/2014 18.00,"2,8","18,6","17,6",,"89,3","6,7"
30/09/2014 19.00,"2,4","18,8","17,9",,"80,5","7,6"
30/09/2014 20.00,"1,8","13,0","12,6",,"67,5","3,9"
30/09/2014 21.00,"0,8","11,4","10,5",,"50,6","4,6"
30/09/2014 22.00,"0,8","12,6","12,2",,"37,5","7,2"
30/09/2014 23.00,"0,9","11,1","10,5",,"37,9","4,7"
01/10/2014 0.00,"0,8","8,6","7,9",,"38,9","5,4"
01/10/2014 1.00,,"6,7","6,3","21,3","44,1","5,2"
01/10/2014 2.00,"1,4","4,8","4,5","21,3","52,3","4,6"
01/10/2014 3.00,"0,8","3,3","3,0","21,3",,"3,5"
01/10/2014 4.00,"0,8","3,1","2,8","21,3","63,0","2,9"
01/10/2014 5.00,"0,8","3,2","2,7","21,3","62,4","3,1"
01/10/2014 6.00,"0,8","6,9","6,2","21,3","50,4","3,3"
01/10/2014 7.00,"0,8","14,6","13,1","21,3","43,4","5,2"
01/10/2014 8.00,"2,3","17,9","14,4","21,3","42,9","9,6"
01/10/2014 9.00,"3,6","42,1","31,5","21,3","47,5","8,4"
01/10/2014 10.00,"3,1","10,2","8,7","21,3","89,9","1,8"
01/10/2014 11.00,"3,3","11,4","9,6","21,3","96,4","1,6"
01/10/2014 12.00,"6,5","18,7","15,4","21,3","93,8","2,0"
01/10/2014 13.00,"12,2","25,8","22,1","21,3","86,3","2,8"
01/10/2014 14.00,"6,9","11,6","10,6","21,3","103,1","1,7"
01/10/2014 15.00,"7,1","15,5","14,0","21,3","106,1","1,5"
01/10/2014 16.00,"6,2","13,7","12,7","21,3","111,7","2,0"
01/10/2014 17.00,"4,4","16,6","15,4","21,3","113,7","3,3"
01/10/2014 18.00,"2,8","15,1","14,2","21,3","112,7","3,1"
01/10/2014 19.00,"2,6","32,0","31,0","21,3","87,6","4,6"
01/10/2014 20.00,"2,6","32,5","31,5","21,3","72,3","4,7"
01/10/2014 21.00,"2,6","33,6","32,7","21,3","55,8","4,7"
01/10/2014 22.00,"2,5","19,8","18,9","21,3","45,3","3,6"
01/10/2014 23.00,"2,1","15,8","14,9","21,3","39,8","1,7"
02/10/2014 0.00,"1,6","11,9","11,1","21,3","45,9","1,4"
02/10/2014 1.00,"1,0","9,1","8,2","25,3","52,8","2,1"
02/10/2014 2.00,"1,0","8,6","7,7","25,3","53,5","3,7"
02/10/2014 3.00,"0,9","7,3","6,4","25,3","52,6","3,5"
02/10/2014 4.00,"0,9","7,1","6,2","25,3","49,3","3,4"
02/10/2014 5.00,"0,8","5,4","4,7","25,3","55,0","3,7"
02/10/2014 6.00,"1,0","5,8","5,1","25,3","50,8","3,9"
02/10/2014 7.00,"1,6","10,9","9,3","25,3","45,4","5,5"
02/10/2014 8.00,"2,6","27,6","22,0","25,3","42,3","13,9"
02/10/2014 9.00,"2,6","23,5","18,9","25,3","54,2","7,7"
02/10/2014 10.00,"2,6","13,5","11,8","25,3","86,1","4,1"
02/10/2014 11.00,"2,6","8,2","7,0","25,3","97,3","2,1"
02/10/2014 12.00,"2,6","11,2","8,5","25,3","95,1","2,4"
02/10/2014 13.00,"2,6","10,9","8,4","25,3","94,4","2,9"
02/10/2014 14.00,"2,6","5,2","4,2","25,3","99,5","1,9"
02/10/2014 15.00,,,,"25,3","105,4","2,2"
02/10/2014 16.00,"1,1","6,1","5,2","25,3","110,5","3,9"
02/10/2014 17.00,"0,9","6,4","5,5","25,3","103,1","4,0"
02/10/2014 18.00,"0,7","8,5","7,7","25,3","94,8","3,5"
02/10/2014 19.00,"0,7","5,8","5,5","25,3","82,7","1,7"
02/10/2014 20.00,"0,7","5,4","4,7","25,3","71,1","1,9"
02/10/2014 21.00,"0,7","7,9","7,4","25,3","66,0","1,4"
02/10/2014 22.00,"0,7","7,5","6,6","25,3","54,7","1,4"
02/10/2014 23.00,"0,7","3,8","3,1","25,3","58,1","1,2"
03/10/2014 0.00,"0,7","2,6","2,4","25,3","60,8","1,3"
03/10/2014 1.00,,"2,4","1,8","19,5","74,5","1,4"
03/10/2014 2.00,"0,7",,,"19,5","80,6","1,6"
03/10/2014 3.00,"0,7","1,9","1,6","19,5",,"1,2"
03/10/2014 4.00,"0,7","2,4","2,4","19,5","46,6","1,2"
03/10/2014 5.00,"0,7","2,7","2,3","19,5","42,8","1,2"
03/10/2014 6.00,"0,7","4,8","4,7","19,5","27,6","1,6"
03/10/2014 7.00,"0,7","8,8","7,9","19,5","32,2","3,2"
03/10/2014 8.00,"0,7","12,7","10,6","19,5","36,9","5,1"
03/10/2014 9.00,"0,7","10,3","9,1","19,5","63,6","3,3"
03/10/2014 10.00,"0,7","8,7","7,4","19,5","72,2","2,4"
03/10/2014 11.00,"0,8","7,2","6,1","19,5","81,7","1,9"
03/10/2014 12.00,,"11,4","9,4","19,5","77,7","2,4"
03/10/2014 13.00,"2,6","8,5","7,2","19,5","91,1","1,9"
03/10/2014 14.00,"2,6","5,5","4,7","19,5","93,4","1,6"
03/10/2014 15.00,"2,6","3,2","2,9","19,5","90,9","1,9"
03/10/2014 16.00,"2,2","4,2","3,4","19,5","89,2","1,8"
03/10/2014 17.00,"1,0","5,2","4,5","19,5","83,6","2,0"
03/10/2014 18.00,"0,7","5,6","5,1","19,5","80,4","1,8"
03/10/2014 19.00,"0,7","6,5","5,7","19,5","66,7","1,7"
03/10/2014 20.00,"0,7","5,1","4,9","19,5","73,2","1,4"
03/10/2014 21.00,"0,7","6,3","5,8","19,5","62,4","1,5"
03/10/2014 22.00,"0,7","9,6","9,3","19,5","49,4","1,4"
03/10/2014 23.00,"0,7","9,4","8,9","19,5","46,8","1,4"
04/10/2014 0.00,"0,7","6,5","6,3","19,5","51,5","1,4"
04/10/2014 1.00,"0,7","4,1","3,7","23,3","49,3","1,2"
04/10/2014 2.00,"0,7","4,3","3,4","23,3","43,9","1,4"
04/10/2014 3.00,"0,7","4,8","4,5","23,3","35,4","1,4"
04/10/2014 4.00,"1,2","4,4","4,1","23,3","36,2","1,4"
04/10/2014 5.00,"0,7","4,2","4,1","23,3","39,0","1,4"
04/10/2014 6.00,"0,8","5,3","5,0","23,3","37,2","7,2"
04/10/2014 7.00,"0,7","9,2","8,4","23,3","28,7","3,9"
04/10/2014 8.00,"0,7","14,6","12,6","23,3","26,9","7,8"
04/10/2014 9.00,"1,2","10,1","8,4","23,3","53,8","4,7"
04/10/2014 10.00,"1,0","5,2","4,3","23,3","77,0","2,8"
04/10/2014 11.00,"1,1","3,8","2,9","23,3","84,6","2,4"
04/10/2014 12.00,"1,9","3,8","2,8","23,3","86,5","2,0"
04/10/2014 13.00,"1,5","3,6","2,7","23,3","83,6","2,1"
04/10/2014 14.00,"1,1","2,4","1,8","23,3","86,0","1,7"
04/10/2014 15.00,"1,0","2,2","1,5","23,3","87,6","2,0"
04/10/2014 16.00,"1,8","2,4","1,6","23,3","83,4","1,8"
04/10/2014 17.00,"2,2","3,6","2,6","23,3","77,6","2,5"
04/10/2014 18.00,"0,9","2,9","2,5","23,3","72,9","1,7"
04/10/2014 19.00,"0,8","5,0","4,7","23,3","52,0","1,8"
04/10/2014 20.00,"0,9","9,8","9,5","23,3","40,1","2,4"
04/10/2014 21.00,"0,7","7,5","7,1","23,3","34,8","1,8"
04/10/2014 22.00,"0,9","4,9","4,7","23,3","53,0","1,9"
04/10/2014 23.00,"0,8","3,8","3,7","23,3","50,3","1,3"
05/10/2014 0.00,"1,0","6,1","5,9","23,3","40,3","1,4"
05/10/2014 1.00,,"4,9","4,9","20,0","37,5","1,6"
05/10/2014 2.00,"1,4",,,"20,0","65,8","1,5"
05/10/2014 3.00,"0,7","2,0","2,0","20,0",,"1,1"
05/10/2014 4.00,"1,8","1,9","1,4","20,0","62,8","1,1"
05/10/2014 5.00,"0,7","1,9","1,7","20,0","55,0","1,0"
05/10/2014 6.00,"1,7","1,9","1,7","20,0","55,4","1,1"
05/10/2014 7.00,"1,4","2,4","2,1","20,0","46,6","1,2"
05/10/2014 8.00,"0,7","2,5","2,2","20,0","46,3","1,8"
05/10/2014 9.00,"1,5","2,9","2,4","20,0","51,2","2,0"
05/10/2014 10.00,"1,2","2,6","1,8","20,0","54,1","1,7"
05/10/2014 11.00,"1,6","2,0","1,1","20,0","59,5","1,6"
05/10/2014 12.00,"1,7","2,6","1,7","20,0","61,2","3,3"
05/10/2014 13.00,"1,2","1,9","1,3","20,0","66,3","1,6"
05/10/2014 14.00,"1,8","1,8","1,5","20,0","68,0","1,1"
05/10/2014 15.00,"1,8","1,8","1,5","20,0","63,0","1,2"
05/10/2014 16.00,"1,1","2,0","1,5","20,0","57,3","1,1"
05/10/2014 17.00,"1,2","2,3","1,8","20,0","55,1","1,6"
05/10/2014 18.00,"1,2","4,0","3,6","20,0","49,3","2,1"
05/10/2014 19.00,"1,2","7,4","7,1","20,0","46,8","1,7"
05/10/2014 20.00,"0,7","8,1","7,3","20,0","47,8","2,0"
05/10/2014 21.00,"1,2","8,5","7,8","20,0","33,8","1,9"
05/10/2014 22.00,"1,3","9,5","9,2","20,0","28,5","1,7"
05/10/2014 23.00,"1,1","3,3","3,1","20,0","54,9","1,2"
06/10/2014 0.00,"0,7","3,3","3,0","20,0","55,7","1,4"
06/10/2014 1.00,"0,8","2,2","2,2","7,2","53,5","1,0"
06/10/2014 2.00,"1,4","2,1","2,0","7,2","55,3","1,1"
06/10/2014 3.00,"2,0","10,6","10,0","7,2","47,7","1,1"
06/10/2014 4.00,"2,3","10,1","9,6","7,2","42,3","1,1"
06/10/2014 5.00,"2,2","2,3","2,0","7,2","45,8","1,0"
06/10/2014 6.00,"1,8","2,7","2,3","7,2","45,2","1,2"
06/10/2014 7.00,"2,3","15,3","13,9","7,2","35,7","7,6"
06/10/2014 8.00,"1,8","31,4","25,2","7,2","30,4","16,3"
06/10/2014 9.00,"2,6","5,9","4,9","7,2","59,8","2,6"
06/10/2014 10.00,"2,6","14,9","12,3","7,2","53,0","4,6"
06/10/2014 11.00,"2,6","14,0","12,2","7,2","47,7","5,9"
06/10/2014 12.00,"2,2","11,3","9,0","7,2","53,8","3,4"
06/10/2014 13.00,"1,8","3,2","2,2","7,2","65,1","1,3"
06/10/2014 14.00,"2,0","2,8","2,0","7,2","73,5","1,5"
06/10/2014 15.00,"1,6","3,7","2,9","7,2","73,2","1,6"
06/10/2014 16.00,"1,5","3,5","2,6","7,2","74,2","1,7"
06/10/2014 17.00,"1,2","3,5","2,7","7,2","72,9","1,7"
06/10/2014 18.00,"1,2","4,2","3,7","7,2","71,1","1,9"
06/10/2014 19.00,"1,7","4,3","4,3","7,2","69,8","1,4"
06/10/2014 20.00,"1,8","8,0","7,7","7,2","61,7","1,8"
06/10/2014 21.00,"1,6","8,7","8,3","7,2","56,6","1,5"
06/10/2014 22.00,"1,1","4,5","4,2","7,2","59,2","1,1"
06/10/2014 23.00,"1,4","5,2","5,1","7,2","52,1","1,3"
07/10/2014 0.00,"0,7","6,6","6,1","7,2","42,4","1,6"
07/10/2014 1.00,,"6,1","5,5","9,8","39,3","1,1"
07/10/2014 2.00,"1,2",,,"9,8","28,0","1,2"
07/10/2014 3.00,"1,4","6,8","6,3","9,8",,"1,1"
07/10/2014 4.00,"0,9","7,5","7,1","9,8","17,8","1,2"
07/10/2014 5.00,"0,8","5,6","5,1","9,8","17,4","1,3"
07/10/2014 6.00,"0,8","8,2","7,3","9,8","12,4","4,8"
07/10/2014 7.00,"0,7","11,7","8,4","9,8","6,9","6,7"
07/10/2014 8.00,"1,4","26,2","14,1","9,8","10,7","12,9"
07/10/2014 9.00,"1,4","18,8","13,2","9,8","32,4","7,2"
07/10/2014 10.00,"0,8","5,5","4,2","9,8","61,3","2,2"
07/10/2014 11.00,"0,7","4,4","3,2","9,8","68,7","2,8"
07/10/2014 12.00,"0,7","7,7","5,1","9,8","73,4","2,9"
07/10/2014 13.00,"1,0","7,0","5,2","9,8","74,8","2,8"
07/10/2014 14.00,"0,9","9,2","5,8","9,8","77,8","3,6"
07/10/2014 15.00,"0,7","3,0","2,2","9,8","81,3","1,8"
07/10/2014 16.00,"0,7","3,2","2,4","9,8","87,4","1,5"
07/10/2014 17.00,"0,7","4,0","3,4","9,8","83,0","1,7"
07/10/2014 18.00,"0,7","5,8","5,2","9,8","65,7","2,3"
07/10/2014 19.00,"0,7","9,2","9,0","9,8","47,1","1,7"
07/10/2014 20.00,"0,7","12,7","12,7","9,8","37,6","1,9"
07/10/2014 21.00,"0,7","15,9","15,3","9,8","27,6","2,0"
07/10/2014 22.00,"0,7","13,0","12,4","9,8","28,7","1,6"
07/10/2014 23.00,"0,7","8,1","7,5","9,8","32,6","1,3"
08/10/2014 0.00,"0,7","10,6","10,3","9,8","27,6","1,4"
08/10/2014 1.00,"0,7","7,5","7,1","14,7","36,6","1,1"
08/10/2014 2.00,"0,7","5,9","5,5","14,7","33,8","1,1"
08/10/2014 3.00,"0,7","4,6","4,1","14,7","40,2","1,0"
08/10/2014 4.00,"0,7","3,4","3,1","14,7","44,0","0,9"
08/10/2014 5.00,"0,7","3,2","2,9","14,7","39,4","1,1"
08/10/2014 6.00,"0,7","4,4","4,1","14,7","30,6","2,0"
08/10/2014 7.00,"0,7","15,2","13,2","14,7","21,1","7,6"
08/10/2014 8.00,"0,7","20,2","14,5","14,7","24,0","11,3"
08/10/2014 9.00,"0,7","17,7","13,7","14,7","43,3","6,2"
08/10/2014 10.00,"0,7","12,4","10,2","14,7","69,3","3,2"
08/10/2014 11.00,"0,7","9,2","7,4","14,7","77,4","2,0"
08/10/2014 12.00,"0,7","6,6","5,3","14,7","84,1","2,2"
08/10/2014 13.00,"0,8","5,3","4,4","14,7","88,9","1,8"
08/10/2014 14.00,"1,1","5,0","4,0","14,7","90,8","1,8"
08/10/2014 15.00,"0,7","5,9","4,1","14,7","104,0","2,3"
08/10/2014 16.00,"0,7","4,4","3,5","14,7","96,2","2,3"
08/10/2014 17.00,"0,9","11,5","10,7","14,7","86,7","5,0"
08/10/2014 18.00,"0,9","17,3","16,5","14,7","81,5","5,6"
08/10/2014 19.00,"1,2","14,2","13,5","14,7","69,1","3,6"
08/10/2014 20.00,,,,"14,7",,
08/10/2014 21.00,,,,"14,7",,
08/10/2014 22.00,,"13,1","7,3","14,7","33,8","3,3"
08/10/2014 23.00,"0,7","11,4","11,3","14,7","22,7","3,2"
09/10/2014 0.00,,"9,9","9,8","14,7","20,5","2,4"
09/10/2014 1.00,,"9,8","9,1","17,4","24,0","2,1"
09/10/2014 2.00,"0,7",,,"17,4","26,0","2,1"
09/10/2014 3.00,"0,7","4,5","4,1","17,4",,"1,8"
09/10/2014 4.00,"0,7","4,1","3,7","17,4","27,0","1,6"
09/10/2014 5.00,"0,7","3,8","3,2","17,4","24,8","1,5"
09/10/2014 6.00,"0,8","4,9","4,3","17,4","28,0","1,7"
09/10/2014 7.00,"1,5","10,3","8,8","17,4","25,8","4,9"
09/10/2014 8.00,"2,4","19,8","14,3","17,4","30,5","11,0"
09/10/2014 9.00,"2,6","11,2","8,4","17,4","59,9","4,2"
09/10/2014 10.00,"2,2","7,2","6,0","17,4","78,8","2,5"
09/10/2014 11.00,"2,1","8,4","6,1","17,4","82,4","4,8"
09/10/2014 12.00,"2,5","4,3","3,3","17,4","87,6","1,7"
09/10/2014 13.00,"2,6","4,0","3,3","17,4","84,5","1,8"
09/10/2014 14.00,"2,7","3,5","2,5","17,4","85,1","1,5"
09/10/2014 15.00,"2,6","4,2","2,9","17,4","88,6","1,7"
09/10/2014 16.00,"2,6","4,4","3,5","17,4","95,5","2,3"
09/10/2014 17.00,"2,6","7,8","6,7","17,4","98,0","4,5"
09/10/2014 18.00,"2,6","9,8","8,9","17,4","87,8","4,0"
09/10/2014 19.00,"2,6","22,9","21,9","17,4","64,0","3,9"
09/10/2014 20.00,"2,6","31,6","30,7","17,4","37,8","8,3"
09/10/2014 21.00,"2,6","30,6","28,6","17,4","19,7","14,1"
09/10/2014 22.00,"2,6","17,2","16,3","17,4","32,4","6,0"
09/10/2014 23.00,"2,6","16,6","15,9","17,4","26,0","3,6"
10/10/2014 0.00,"2,6","12,2","11,4","17,4","27,8","2,9"
10/10/2014 1.00,"2,6","8,2","7,5","16,8","34,9","2,2"
10/10/2014 2.00,"2,6","5,3","4,5","16,8","40,8","1,6"
10/10/2014 3.00,"2,6","4,0","3,8","16,8","46,4","1,5"
10/10/2014 4.00,"2,6","3,9","3,3","16,8","31,6","1,6"
10/10/2014 5.00,"2,6","4,8","4,1","16,8","26,2","1,8"
10/10/2014 6.00,"2,6","12,3","11,7","16,8","20,8","1,8"
10/10/2014 7.00,"2,6","23,5","19,3","16,8","10,6","5,4"
10/10/2014 8.00,"2,8","34,0","21,5","16,8","16,8","9,3"
10/10/2014 9.00,"3,9","24,0","16,7","16,8","42,7","6,2"
10/10/2014 10.00,"3,2","11,4","9,3","16,8","76,4","3,6"
10/10/2014 11.00,"3,1","14,0","11,3","16,8","83,5","2,8"
10/10/2014 12.00,"2,8","8,3","6,0","16,8","92,2","1,7"
10/10/2014 13.00,"3,8","4,9","4,0","16,8","91,5","1,4"
10/10/2014 14.00,"3,9","7,0","4,8","16,8","89,5","1,9"
10/10/2014 15.00,"3,8","5,0","3,9","16,8","89,9","2,2"
10/10/2014 16.00,"3,2","4,3","3,7","16,8","83,6","1,9"
10/10/2014 17.00,"3,8","9,0","7,9","16,8","76,4","7,4"
10/10/2014 18.00,"3,9","17,3","16,3","16,8","65,8","8,0"
10/10/2014 19.00,"3,9","33,9","33,0","16,8","39,2","12,1"
10/10/2014 20.00,"3,8","49,4","37,5","16,8","10,9","26,4"
10/10/2014 21.00,"3,8","22,0","21,3","16,8","22,5","5,7"
10/10/2014 22.00,"3,9","26,1","25,2","16,8","12,7","5,9"
10/10/2014 23.00,"3,9","16,2","15,3","16,8","18,5","1,9"
11/10/2014 0.00,"3,9","14,3","13,6","16,8","21,7","1,5"
11/10/2014 1.00,,"11,9","11,2","19,3","27,9","1,2"
11/10/2014 2.00,"3,9",,,"19,3","30,4","1,3"
11/10/2014 3.00,"3,9","8,4","8,0","19,3",,"1,2"
11/10/2014 4.00,"3,7","7,8","7,4","19,3","29,1","1,0"
11/10/2014 5.00,"3,6","8,2","7,5","19,3","21,2","1,8"
11/10/2014 6.00,"3,9","8,0","7,3","19,3","24,3","1,8"
11/10/2014 7.00,"3,5","12,2","10,6","19,3","17,1","3,7"
11/10/2014 8.00,"3,9","22,7","15,8","19,3","17,0","7,3"
11/10/2014 9.00,"4,5","27,6","18,5","19,3","31,9","6,3"
11/10/2014 10.00,"3,9","13,6","10,8","19,3","67,4","3,0"
11/10/2014 11.00,"3,9","5,6","4,6","19,3","81,1","1,9"
11/10/2014 12.00,"3,9","5,3","4,4","19,3","83,9","2,3"
11/10/2014 13.00,"4,0","5,0","4,1","19,3","82,7","1,9"
11/10/2014 14.00,"4,3","3,3","2,8","19,3","83,3","1,8"
11/10/2014 15.00,"3,9","3,3","2,5","19,3","83,8","2,2"
11/10/2014 16.00,"3,9","5,2","4,1","19,3","78,9","2,8"
11/10/2014 17.00,"3,9","10,8","9,5","19,3","72,8","5,8"
11/10/2014 18.00,"4,6","15,3","14,4","19,3","61,8","9,3"
11/10/2014 19.00,"4,7","29,2","28,4","19,3","43,3","12,8"
11/10/2014 20.00,"4,0","40,8","33,0","19,3","13,7","23,9"
11/10/2014 21.00,"3,9","25,9","24,1","19,3","12,7","15,3"
11/10/2014 22.00,"3,9","24,5","23,6","19,3","10,0","9,9"
11/10/2014 23.00,"3,9","16,4","15,5","19,3","16,4","4,4"
12/10/2014 0.00,"3,9","13,5","12,6","19,3","21,4","4,2"
12/10/2014 1.00,"3,9","12,0","11,4","23,0","24,7","2,9"
12/10/2014 2.00,"4,1","10,4","9,9","23,0","25,7","2,1"
12/10/2014 3.00,"4,2","11,2","10,5","23,0","24,7","2,0"
12/10/2014 4.00,"3,9","12,4","11,9","23,0","27,3","1,1"
12/10/2014 5.00,"4,0","8,9","8,2","23,0","30,6","1,0"
12/10/2014 6.00,"4,1","7,6","6,7","23,0","21,0","1,1"
12/10/2014 7.00,"3,9","7,2","6,5","23,0","29,7","1,8"
12/10/2014 8.00,"3,9","9,9","7,7","23,0","23,2","3,8"
12/10/2014 9.00,"5,0","17,5","13,4","23,0","39,1","6,6"
12/10/2014 10.00,"4,8","14,7","11,6","23,0","57,4","2,3"
12/10/2014 11.00,"4,5","9,1","7,6","23,0","71,1","1,6"
12/10/2014 12.00,"5,7","9,4","8,1","23,0","76,8","2,4"
12/10/2014 13.00,"6,0","6,8","5,9","23,0","76,7","2,2"
12/10/2014 14.00,"4,1","4,3","3,5","23,0","79,0","1,5"
12/10/2014 15.00,"4,7","2,6","2,1","23,0","81,5","2,1"
12/10/2014 16.00,"4,4","3,1","2,3","23,0","82,9","1,5"
12/10/2014 17.00,"4,1","3,6","2,7","23,0","83,3","1,7"
12/10/2014 18.00,"5,1","6,3","5,5","23,0","73,1","2,7"
12/10/2014 19.00,"4,1","9,7","9,4","23,0","59,7","4,8"
12/10/2014 20.00,"3,9","11,8","11,1","23,0","49,6","2,9"
12/10/2014 21.00,"3,9","10,0","9,4","23,0","50,5","3,0"
12/10/2014 22.00,"4,2","13,8","13,1","23,0","38,4","3,0"
12/10/2014 23.00,"3,9","23,0","20,1","23,0","9,4","16,2"
13/10/2014 0.00,"3,9","19,1","18,3","23,0","17,7","3,6"
13/10/2014 1.00,,"21,2","20,2","31,1","3,7","9,2"
13/10/2014 2.00,"5,2",,,"31,1","4,2","9,1"
13/10/2014 3.00,"3,9","14,6","13,5","31,1",,"8,3"
13/10/2014 4.00,"4,3","14,3","13,4","31,1","3,6","7,8"
13/10/2014 5.00,"4,0","10,8","9,9","31,1","5,2","7,8"
13/10/2014 6.00,"3,9","10,0","9,2","31,1","11,0","6,6"
13/10/2014 7.00,"4,0","24,1","17,3","31,1","8,0","21,6"
13/10/2014 8.00,"4,7","45,8","14,1","31,1","1,6","38,8"
13/10/2014 9.00,"4,1","20,7","14,2","31,1","30,9","10,3"
13/10/2014 10.00,"3,9","10,9","8,5","31,1","67,1","3,6"
13/10/2014 11.00,"3,7","8,8","7,2","31,1","68,7","4,2"
13/10/2014 12.00,"3,3","6,1","4,7","31,1","66,5","2,5"
13/10/2014 13.00,"3,3","6,4","5,2","31,1","74,0","2,8"
13/10/2014 14.00,"3,3","4,5","3,5","31,1","77,7","2,8"
13/10/2014 15.00,"3,3","9,6","6,5","31,1","76,8","2,9"
13/10/2014 16.00,"3,3","8,0","6,6","31,1","75,8","4,3"
13/10/2014 17.00,"3,3","8,6","7,3","31,1","72,1","6,0"
13/10/2014 18.00,"3,3","11,0","10,3","31,1","60,5","7,0"
13/10/2014 19.00,"3,3","12,2","11,8","31,1","52,3","6,2"
13/10/2014 20.00,"3,3","17,9","16,6","31,1","27,0","13,9"
13/10/2014 21.00,"3,3","11,7","11,2","31,1","19,4","8,6"
13/10/2014 22.00,"3,3","12,5","11,9","31,1","30,2","6,8"
13/10/2014 23.00,"3,3","16,0","15,3","31,1","15,3","9,8"
14/10/2014 0.00,"3,7","11,2","10,7","31,1","21,5","4,8"
14/10/2014 1.00,"3,3","8,8","8,5","34,5","18,6","3,1"
14/10/2014 2.00,"3,3","5,1","4,8","34,5","22,3","2,5"
14/10/2014 3.00,"3,3","4,2","4,0","34,5","26,0","2,2"
14/10/2014 4.00,"3,3","3,3","3,2","34,5","22,1","2,3"
14/10/2014 5.00,"3,3","2,9","2,2","34,5","27,9","2,0"
14/10/2014 6.00,"3,3","2,9","2,4","34,5","28,4","3,4"
14/10/2014 7.00,"3,3","11,1","9,5","34,5","19,5","10,2"
14/10/2014 8.00,"3,5","17,4","13,6","34,5","18,3","13,5"
14/10/2014 9.00,"3,3","15,5","12,2","34,5","40,0","8,7"
14/10/2014 10.00,"3,3","6,9","5,3","34,5","71,4","4,0"
14/10/2014 11.00,"3,3","5,4","4,1","34,5","76,6","3,2"
14/10/2014 12.00,"3,4","5,4","4,1","34,5","78,1","3,5"
14/10/2014 13.00,"3,3","4,5","3,2","34,5","80,9","2,3"
14/10/2014 14.00,"3,3","3,4","2,4","34,5","80,5","1,7"
14/10/2014 15.00,"4,1","2,4","1,6","34,5","79,1","1,7"
14/10/2014 16.00,"3,3","3,6","2,7","34,5","75,3","2,8"
14/10/2014 17.00,"3,3","6,8","5,8","34,5","71,3","5,9"
14/10/2014 18.00,"3,3","8,8","7,8","34,5","69,6","7,3"
14/10/2014 19.00,"3,4","6,8","6,0","34,5","68,6","4,3"
14/10/2014 20.00,"3,3","5,4","4,7","34,5","65,6","3,6"
14/10/2014 21.00,"3,3","3,2","2,4","34,5","57,8","1,5"
14/10/2014 22.00,"3,3","2,2","1,9","34,5","50,6","2,0"
14/10/2014 23.00,"3,5","1,4","1,1","34,5","54,6","1,1"
15/10/2014 0.00,"3,3","1,4","1,0","34,5","66,7","1,2"
15/10/2014 1.00,,"1,0","0,9","33,0","67,9","0,8"
15/10/2014 2.00,"3,9",,,"33,0","65,3","0,8"
15/10/2014 3.00,"3,3","1,6","1,1","33,0",,"0,8"
15/10/2014 4.00,"3,5","1,5","1,1","33,0","59,9","0,9"
15/10/2014 5.00,"4,2","1,8","1,2","33,0","55,4","1,0"
15/10/2014 6.00,"3,4","3,8","3,5","33,0","39,3","2,7"
15/10/2014 7.00,"3,3","8,8","7,9","33,0","37,9","6,0"
15/10/2014 8.00,"3,6","10,0","8,5","33,0","44,7","4,4"
15/10/2014 9.00,"3,3","5,3","3,9","33,0","53,9","3,0"
15/10/2014 10.00,"3,5","3,6","2,6","33,0","60,0","2,8"
15/10/2014 11.00,"3,3","4,3","3,0","33,0","62,1","2,8"
15/10/2014 12.00,"3,7","5,4","3,8","33,0","61,3","3,2"
15/10/2014 13.00,"3,5","3,5","2,5","33,0","62,0","5,2"
15/10/2014 14.00,"3,4","1,9","1,1","33,0","61,0","1,6"
15/10/2014 15.00,"3,3","3,1","1,7","33,0","59,8","1,7"
