Stat,BR-SISRI,,,,,,,  ,
,,,,,,,,,,,,,,,,,
Parm,SO2,NO2,NOX,CO,PM10,BENZENE,IPA TOT,,
Unit,ug/m3 293K,ug/m3 293K,ug/m3 293K,mg/m3 293K,ug/m3,ug/m3 293K,ng/m3,,
Field,Aver,Aver,Aver,Aver,Aver,Aver,Aver,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,
14/11/2014 2.00,,,,"0,2","20,8",,"0,5",,
14/11/2014 3.00,"3,7","20,8","29,0",,,,"0,7",,
14/11/2014 4.00,"3,3","20,0","27,7","0,2","13,2",,"1,1",,
14/11/2014 5.00,"2,7","18,6","25,6","0,2",,,"1,2",,
14/11/2014 6.00,"2,1","15,6","21,8","0,2","10,7",,"0,6",,
14/11/2014 7.00,"2,1","16,9","23,2","0,2",,,"1,3",,
14/11/2014 8.00,"2,0","21,2","27,4","0,2","6,6",,"2,0",,
14/11/2014 9.00,"2,0","26,1","32,0","0,2",,,"1,7",,
14/11/2014 10.00,"2,0","23,5","29,6","0,2","14,9",,"1,3",,
14/11/2014 11.00,"1,9","21,3","26,1","0,2",,,"1,4",,
14/11/2014 12.00,"1,9","18,3","23,3","0,2","12,0",,"1,4",,
14/11/2014 13.00,"2,0","19,7","25,7","0,2",,,"1,9",,
14/11/2014 14.00,"1,9","17,7","23,5","0,2","15,4",,"1,3",,
14/11/2014 15.00,"2,0","15,6","21,2","0,2",,,"1,5",,
14/11/2014 16.00,"2,0","17,1","23,0","0,2","8,8",,"1,2",,
14/11/2014 17.00,"1,8","23,7","32,3","0,2",,,"2,0",,
14/11/2014 18.00,"2,1","14,8","20,6","0,3","11,7",,"1,1",,
14/11/2014 19.00,"1,9","16,5","23,1","0,3",,,"1,4",,
14/11/2014 20.00,"2,0","23,9","33,7","0,3","6,1",,"2,8",,
14/11/2014 21.00,"1,9","18,5","26,0","0,3",,,"1,3",,
14/11/2014 22.00,"1,8","15,2","23,7","0,3","8,3",,"1,1",,
14/11/2014 23.00,"2,2","50,5","74,2","0,3",,,"6,9",,
15/11/2014 0.00,"3,1","58,4","90,3","0,4","7,3",,"7,0",,
15/11/2014 1.00,"2,6","52,2","79,5","0,4",,,"2,8",,
15/11/2014 2.00,"2,2","52,9","83,0","0,4","16,4",,"1,5",,
15/11/2014 3.00,"2,6","56,2","87,1","0,3",,,"0,9",,
15/11/2014 4.00,"2,5","54,7","84,5","0,3","22,5",,"0,6",,
15/11/2014 5.00,"2,4","51,5","79,8","0,3",,,"0,6",,
15/11/2014 6.00,"2,2","53,5","80,8","0,3","17,8",,"1,3",,
15/11/2014 7.00,"2,1","53,0","84,2","0,3",,,"4,9",,
15/11/2014 8.00,"2,6","58,7","95,7","0,3","15,9",,"8,6",,
15/11/2014 9.00,"3,3","58,1","99,7","0,4",,,"11,1",,
15/11/2014 10.00,"2,6","52,7","87,1","0,3","13,9",,"6,3",,
15/11/2014 11.00,"2,0","33,5","46,0","0,3",,,"0,7",,
15/11/2014 12.00,"2,0","30,1","40,3","0,3","11,0",,"0,6",,
15/11/2014 13.00,"1,9","30,5","38,9","0,3",,,"0,5",,
15/11/2014 14.00,"2,0","27,9","34,9","0,3","10,5",,"0,4",,
15/11/2014 15.00,"2,0","17,8","24,6","0,3",,,"0,3",,
15/11/2014 16.00,"10,9","26,2","34,0","0,4","7,1",,"0,3",,
15/11/2014 17.00,"1,5","37,0","48,0","0,3",,,"0,3",,
15/11/2014 18.00,"1,9","56,8","79,0","0,3","15,6",,"0,3",,
15/11/2014 19.00,"1,9","24,9","40,6","0,3",,,"0,3",,
15/11/2014 20.00,"1,8","14,9","24,1","0,4","10,7",,"0,3",,
15/11/2014 21.00,"1,2","9,1","16,5","0,3",,,"0,2",,
15/11/2014 22.00,"1,6","8,8","14,9","0,3","13,7",,"0,2",,
15/11/2014 23.00,"1,9","8,6","14,6","0,3",,,"0,3",,
16/11/2014 0.00,"1,9","8,5","14,2","0,3","11,7",,"0,3",,
16/11/2014 1.00,,"7,1","12,9","0,3",,,"0,4",,
16/11/2014 2.00,,,,"0,2","19,8",,"0,4",,
16/11/2014 3.00,,"17,0","27,4",,,,"0,7",,
16/11/2014 4.00,,"46,8","61,3","0,3","15,1",,"0,6",,
16/11/2014 5.00,,"67,1","92,3","0,2",,,"0,5",,
16/11/2014 6.00,,"34,1","49,8","0,2","12,2",,"0,6",,
16/11/2014 7.00,,"13,9","24,0","0,2",,,"0,6",,
16/11/2014 8.00,,"21,4","30,0","0,2","11,2",,"0,6",,
16/11/2014 9.00,,"49,3","59,2","0,2",,,"0,8",,
16/11/2014 10.00,,"64,5","76,8","0,3","8,3",,"0,5",,
16/11/2014 11.00,,"36,5","46,4","0,3",,,"0,6",,
16/11/2014 12.00,,"27,4","36,4","0,3","9,0",,"0,5",,
16/11/2014 13.00,,"37,6","47,9","0,3",,,"0,8",,
16/11/2014 14.00,,"43,6","56,0","0,3","5,4",,"0,6",,
16/11/2014 15.00,,"57,9","73,0","0,3",,,"0,6",,
16/11/2014 16.00,,"121,7","148,0","0,3","4,2",,"0,5",,
16/11/2014 17.00,,"112,6","135,8","0,3",,,"1,3",,
16/11/2014 18.00,,"30,5","43,4","0,3","7,1",,"3,7",,
16/11/2014 19.00,,"41,4","57,0","0,3",,,"3,5",,
16/11/2014 20.00,,"25,4","38,2","0,3","5,6",,"2,3",,
16/11/2014 21.00,,"35,2","50,1","0,3",,,"0,6",,
16/11/2014 22.00,,"42,4","60,9","0,3","7,3",,"0,4",,
16/11/2014 23.00,,"61,7","85,7","0,4",,,"0,3",,
17/11/2014 0.00,,"74,0","105,3","0,3","13,9",,"0,4",,
17/11/2014 1.00,,"39,9","62,0","0,3",,,"0,9",,
17/11/2014 2.00,,"43,5","64,7","0,3","13,4",,"0,7",,
17/11/2014 3.00,,"41,6","60,1","0,2",,,"0,7",,
17/11/2014 4.00,,"42,7","62,1","0,2","12,7",,"0,7",,
17/11/2014 5.00,,"47,0","69,8","0,2",,,"0,8",,
17/11/2014 6.00,,"44,6","67,8","0,2","12,9",,"1,5",,
17/11/2014 7.00,,"51,0","74,8","0,3",,,"4,8",,
17/11/2014 8.00,,"44,1","84,3","0,3","8,8",,"14,6",,
17/11/2014 9.00,,"48,1","94,3","0,3",,,"17,7",,
17/11/2014 10.00,,"79,9","122,2","0,3","12,0",,"10,7",,
17/11/2014 11.00,,"112,4","141,2","0,3",,,"3,0",,
17/11/2014 12.00,,"61,1","75,8","0,3","12,0",,"2,0",,
17/11/2014 13.00,,"38,6","48,8","0,3",,,"1,6",,
17/11/2014 14.00,,"22,5","30,6","0,3","9,5",,"2,0",,
17/11/2014 15.00,,"19,0","26,7","0,3",,,"3,0",,
17/11/2014 16.00,,"15,9","22,8","0,3","13,4",,"2,6",,
17/11/2014 17.00,,"12,6","19,9","0,3",,,"2,1",,
17/11/2014 18.00,,"12,5","20,5","0,3","13,2",,"0,7",,
17/11/2014 19.00,,"15,4","27,2","0,3",,,"1,0",,
17/11/2014 20.00,,"16,4","26,8","0,3","9,0",,"0,4",,
17/11/2014 21.00,,"13,6","21,5","0,3",,,"0,3",,
17/11/2014 22.00,,"9,9","16,2","0,3","19,0",,"0,5",,
17/11/2014 23.00,,"7,3","13,0","0,3",,,"0,4",,
18/11/2014 0.00,,"6,7","11,6","0,2","14,7",,"0,4",,
18/11/2014 1.00,,"6,3","12,3","0,3",,,"0,5",,
18/11/2014 2.00,,,,"0,2","17,6",,"0,5",,
18/11/2014 3.00,,"5,9","12,2",,,,"0,5",,
18/11/2014 4.00,,"4,8","10,1","0,2","16,6",,"0,5",,
18/11/2014 5.00,,"4,8","9,8","0,2",,,"0,9",,
18/11/2014 6.00,,"5,0","9,7","0,2","10,3",,"1,3",,
18/11/2014 7.00,,"7,7","12,5","0,2",,,"4,0",,
18/11/2014 8.00,,"8,5","14,1","0,2","11,2",,"1,5",,
18/11/2014 9.00,,"9,1","14,8","0,3",,,"0,9",,
18/11/2014 10.00,,"9,6","14,7","0,2","14,7",,"1,2",,
18/11/2014 11.00,,"10,0","14,9","0,2",,,"0,8",,
18/11/2014 12.00,,"8,7","13,3","0,2","15,4",,"0,8",,
18/11/2014 13.00,,"7,6","12,0","0,2",,,"1,0",,
18/11/2014 14.00,,"8,6","13,7","0,2","16,6",,"1,3",,
18/11/2014 15.00,,"12,7","19,3","0,2",,,"1,7",,
18/11/2014 16.00,,"21,5","30,1","0,2","15,9",,"1,8",,
18/11/2014 17.00,,"35,7","44,1","0,5",,,"2,0",,
18/11/2014 18.00,,"46,5","59,8","0,5","17,1",,"2,4",,
18/11/2014 19.00,,"9,6","17,5","0,5",,,"2,2",,
18/11/2014 20.00,,"11,1","19,3","0,5","17,8",,"1,7",,
18/11/2014 21.00,,"8,8","19,3","0,5",,,"1,7",,
18/11/2014 22.00,,"9,5","20,2","0,5","16,6",,"1,5",,
18/11/2014 23.00,,"18,9","34,0","0,5",,,"0,9",,
19/11/2014 0.00,,"20,6","38,4","0,5","14,9",,"0,9",,
19/11/2014 1.00,,"27,1","50,3","0,6",,,"0,4",,
19/11/2014 2.00,,"34,8","63,1","0,6","21,0",,"0,3",,
19/11/2014 3.00,,"35,6","64,3","0,6",,,"0,3",,
19/11/2014 4.00,,"34,7","66,1","0,5","12,0",,"0,3",,
19/11/2014 5.00,,"34,6","63,7","0,5",,,"0,3",,
19/11/2014 6.00,,"34,1","64,4","0,6","20,0",,"0,9",,
19/11/2014 7.00,,"41,8","85,1","0,6",,,"6,4",,
19/11/2014 8.00,,"53,2","102,8","0,6","21,5",,"15,9",,
19/11/2014 9.00,,"52,2","90,7","0,6",,,"12,9",,
19/11/2014 10.00,,"39,2","60,2","0,6","21,0",,"2,3",,
19/11/2014 11.00,,"50,5","69,2","0,6",,,"1,3",,
19/11/2014 12.00,,"60,1","81,8","0,5","11,7",,"2,4",,
19/11/2014 13.00,,"73,2","92,8","0,6",,,"1,9",,
19/11/2014 14.00,,"87,1","106,3","0,6","6,3",,"4,7",,
19/11/2014 15.00,,"40,5","49,8","0,5",,,"2,9",,
19/11/2014 16.00,,"13,2","19,0","0,5","13,4",,"5,3",,
19/11/2014 17.00,,"16,0","23,6","0,5",,,"5,8",,
19/11/2014 18.00,,"36,1","50,5","0,5","19,0",,"1,6",,
19/11/2014 19.00,,"50,2","90,0","0,5",,,"15,1",,
19/11/2014 20.00,,"57,0","106,6","0,6","13,2",,"22,5",,
19/11/2014 21.00,,"53,3","89,7","0,7",,,"21,9",,
19/11/2014 22.00,,"42,1","62,6","0,6","42,2",,"6,7",,
19/11/2014 23.00,,"26,9","38,0","0,6",,,"1,7",,
20/11/2014 0.00,,"14,7","22,1","0,6","48,1",,"0,4",,
20/11/2014 1.00,,"19,5","28,2","0,6",,,"0,4",,
20/11/2014 2.00,,,,"0,5","33,5",,"0,5",,
20/11/2014 3.00,,"18,7","26,6",,,,"0,5",,
20/11/2014 4.00,,"17,9","24,8","0,2","24,7",,"0,6",,
20/11/2014 5.00,,"13,6","18,6","0,2",,,"0,6",,
20/11/2014 6.00,,"10,7","14,5","0,2","14,7",,"1,1",,
20/11/2014 7.00,,"11,0","15,1","0,2",,,"1,5",,
20/11/2014 8.00,,"10,1","13,8","0,2","15,9",,"2,3",,
20/11/2014 9.00,,"12,9","19,0","0,2",,,"2,6",,
20/11/2014 10.00,"6,4","15,5","21,6","0,2","15,9",,"1,9",,
20/11/2014 11.00,"6,2","15,6","21,6","0,2",,,"1,5",,
20/11/2014 12.00,"5,6","14,7","19,9","0,2","14,4",,"1,3",,
20/11/2014 13.00,"5,1","9,1","13,1","0,2",,,"1,4",,
20/11/2014 14.00,"5,3","8,8","11,9","0,2","8,5",,"1,3",,
20/11/2014 15.00,"5,4","9,8","13,3","0,2",,,"1,2",,
20/11/2014 16.00,"4,4","9,7","12,7","0,2","12,7",,"1,4",,
20/11/2014 17.00,"4,3","10,9","14,4","0,2",,,"4,0",,
20/11/2014 18.00,"4,8","11,2","15,2","0,3","7,3",,"3,1",,
20/11/2014 19.00,"3,9","9,5","12,9","0,2",,,"1,2",,
20/11/2014 20.00,"3,9","8,5","11,7","0,2","4,4",,"1,0",,
20/11/2014 21.00,"4,6","12,1","15,9","0,2",,,"0,8",,
20/11/2014 22.00,"4,0","8,5","12,3","0,2","6,1",,"1,0",,
20/11/2014 23.00,"3,3","9,2","13,0","0,2",,,"1,1",,
21/11/2014 0.00,"3,1","9,6","12,0","0,2","4,2",,"0,6",,
21/11/2014 1.00,"3,7","8,4","11,4","0,2",,,"0,8",,
21/11/2014 2.00,"3,7","9,7","13,1","0,2","6,8",,"0,8",,
21/11/2014 3.00,"3,4","8,0","11,8","0,2",,,"0,8",,
21/11/2014 4.00,"3,9","15,5","21,9","0,3","4,2",,"0,6",,
21/11/2014 5.00,"4,3","13,4","19,8","0,3",,,"0,6",,
21/11/2014 6.00,"3,0","7,8","11,6","0,2","4,9",,"1,0",,
21/11/2014 7.00,"3,6","14,5","20,1","0,2",,,"2,1",,
21/11/2014 8.00,"5,2","29,5","51,6","0,3","5,6",,"12,2",,
21/11/2014 9.00,,,,,,,"12,6",,
21/11/2014 10.00,,,,,"8,5",,"1,7",,
21/11/2014 11.00,,,,,,,"1,0",,
21/11/2014 12.00,,,,,"7,3",,"1,2",,
21/11/2014 13.00,"4,0","15,6","20,6","0,2",,,"1,2",,
21/11/2014 14.00,"3,3","15,3","20,3","0,2","12,2",,"1,2",,
21/11/2014 15.00,"3,1","13,9","18,1","0,2",,,"1,5",,
21/11/2014 16.00,"3,1","13,7","19,0","0,2","14,4",,"1,5",,
21/11/2014 17.00,"2,9","13,0","16,8","0,2",,,"1,6",,
21/11/2014 18.00,"2,9","11,6","15,8","0,2","10,0",,"1,4",,
21/11/2014 19.00,"2,6","11,1","14,8","0,2",,,"1,0",,
21/11/2014 20.00,"2,4","11,3","15,1","0,2","5,9",,"0,8",,
21/11/2014 21.00,"2,2","11,7","15,7","0,2",,,"0,8",,
21/11/2014 22.00,"2,6","12,3","17,1","0,2","3,9",,"0,7",,
21/11/2014 23.00,"2,4","15,2","21,8","0,2",,,"1,0",,
22/11/2014 0.00,"3,0","58,4","77,4","0,3","3,2",,"2,7",,
22/11/2014 1.00,,"57,8","84,4","0,4",,,"1,3",,
22/11/2014 2.00,"3,7",,,"0,3","8,3",,"0,6",,
22/11/2014 3.00,"3,6","28,0","46,2",,,,"0,4",,
22/11/2014 4.00,"3,2","13,9","23,0","0,3","15,4",,"0,3",,
22/11/2014 5.00,"3,0","14,1","21,5","0,3",,,"0,4",,
22/11/2014 6.00,"3,2","15,7","24,2","0,3","19,3",,"0,4",,
22/11/2014 7.00,"3,1","46,7","63,3","0,3",,,"2,3",,
22/11/2014 8.00,"4,7","53,3","80,4","0,3","12,2",,"5,6",,
22/11/2014 9.00,"4,2","36,2","55,2","0,3",,,"5,7",,
22/11/2014 10.00,"2,8","25,1","33,4","0,3","12,2",,"0,8",,
22/11/2014 11.00,"2,4","22,4","29,8","0,3",,,"0,9",,
22/11/2014 12.00,"2,2","17,9","22,5","0,3","11,0",,"0,8",,
22/11/2014 13.00,"2,2","20,3","25,7","0,3",,,"0,6",,
22/11/2014 14.00,"2,4","25,2","30,7","0,3","16,8",,"0,7",,
22/11/2014 15.00,"2,2","24,2","30,3","0,3",,,"0,7",,
22/11/2014 16.00,"2,4","29,8","38,2","0,3","9,8",,"0,8",,
22/11/2014 17.00,"2,5","27,9","35,8","0,2",,,"1,4",,
22/11/2014 18.00,"3,0","50,6","65,0","0,2","12,0",,"0,7",,
22/11/2014 19.00,"2,2","11,7","17,9","0,2",,,"0,9",,
22/11/2014 20.00,"2,3","11,0","16,2","0,3","6,1",,"0,6",,
22/11/2014 21.00,"2,1","12,2","16,9","0,3",,,"0,7",,
22/11/2014 22.00,"2,0","12,4","16,8","0,2","4,9",,"0,6",,
22/11/2014 23.00,"1,9","13,9","19,6","0,2",,,"0,7",,
23/11/2014 0.00,"2,0","19,4","26,6","0,3","3,2",,"0,8",,
23/11/2014 1.00,"2,8","49,2","66,6","0,8",,,"1,4",,
23/11/2014 2.00,"3,0","53,4","81,2","0,4","5,6",,"0,7",,
23/11/2014 3.00,"3,3","52,1","85,1","0,4",,,"0,5",,
23/11/2014 4.00,"3,3","53,3","88,4","0,4","34,2",,"0,4",,
23/11/2014 5.00,"3,3","49,9","84,9","0,4",,,"0,4",,
23/11/2014 6.00,"3,2","46,9","82,6","0,3","32,7",,"0,4",,
23/11/2014 7.00,"3,4","51,8","88,9","0,6",,,"2,8",,
23/11/2014 8.00,"3,4","51,7","100,1","0,4","24,7",,"7,9",,
23/11/2014 9.00,"3,5","67,0","112,7","0,4",,,"9,6",,
23/11/2014 10.00,"3,3","57,2","75,4","0,3","14,7",,"2,2",,
23/11/2014 11.00,"3,3","31,2","37,9","0,3",,,"0,5",,
23/11/2014 12.00,"3,2","25,9","32,0","0,3","10,7",,"0,5",,
23/11/2014 13.00,"2,9","17,7","22,4","0,3",,,"0,8",,
23/11/2014 14.00,"2,9","17,0","21,5","0,3","6,1",,"0,6",,
23/11/2014 15.00,"2,1","14,4","18,8","0,3",,,"0,4",,
23/11/2014 16.00,"2,0","12,7","16,7","0,3","17,6",,"0,5",,
23/11/2014 17.00,"2,1","11,7","16,9","0,3",,,"0,5",,
23/11/2014 18.00,"2,2","14,0","18,8","0,3","12,0",,"0,5",,
23/11/2014 19.00,"2,2","12,2","16,2","0,3",,,"0,6",,
23/11/2014 20.00,"2,0","12,0","16,4","0,3","8,8",,"0,6",,
23/11/2014 21.00,"2,0","10,1","15,6","0,3",,,"0,6",,
23/11/2014 22.00,"2,0","10,8","17,1","0,3","12,0",,"0,6",,
23/11/2014 23.00,"2,0","11,2","15,7","0,3",,,"0,6",,
24/11/2014 0.00,"2,0","10,6","14,8","0,2","7,3",,"0,6",,
24/11/2014 1.00,,"8,9","15,5","0,2",,,"0,6",,
24/11/2014 2.00,,,,"0,3","7,1",,"0,6",,
24/11/2014 3.00,,"39,5","61,0",,,,"0,4",,
24/11/2014 4.00,,"10,8","17,2","0,2","14,2",,"0,4",,
24/11/2014 5.00,,"10,3","16,2","0,2",,,"0,3",,
24/11/2014 6.00,,"10,3","17,1","0,2","11,7",,"0,5",,
24/11/2014 7.00,,"15,9","27,5","0,2",,,"2,4",,
24/11/2014 8.00,,"16,2","26,4","0,3","16,6",,"5,8",,
24/11/2014 9.00,,"22,8","33,2","0,3",,,"5,5",,
24/11/2014 10.00,,"26,4","36,4","0,3","15,9",,"3,3",,
24/11/2014 11.00,,"25,3","32,5","0,2",,,"2,4",,
24/11/2014 12.00,,"22,1","28,7","0,2","12,7",,"1,1",,
24/11/2014 13.00,,"20,7","26,1","0,2",,,"1,1",,
24/11/2014 14.00,,"20,6","26,1","0,2","14,9",,"0,6",,
24/11/2014 15.00,"5,2","18,6","23,4","0,2",,,"1,0",,
24/11/2014 16.00,"4,1","15,3","22,3","0,2","17,8",,"1,7",,
24/11/2014 17.00,"5,2","18,0","25,7","0,2",,,"4,9",,
24/11/2014 18.00,"5,4","21,4","33,7","0,3","23,4",,"9,6",,
24/11/2014 19.00,"5,9","39,0","59,5","0,3",,,"8,7",,
24/11/2014 20.00,"6,0","42,5","65,0","0,4","15,6",,"7,8",,
24/11/2014 21.00,"6,3","41,7","65,3","0,4",,,"4,9",,
24/11/2014 22.00,"6,0","38,7","57,6","0,4","22,2",,"3,3",,
24/11/2014 23.00,"5,7","25,5","39,5","0,3",,,"1,0",,
25/11/2014 0.00,"6,2","32,3","48,3","0,3","20,3",,"0,7",,
25/11/2014 1.00,"5,6","19,4","32,8","0,3",,,"0,5",,
25/11/2014 2.00,"5,5","11,6","20,0","0,3","26,1",,"0,4",,
25/11/2014 3.00,"5,5","13,3","21,9","0,3",,,"0,4",,
25/11/2014 4.00,"5,4","12,7","21,8","0,2","25,6",,"0,4",,
25/11/2014 5.00,"5,5","39,2","47,4","0,3",,,"0,4",,
25/11/2014 6.00,"5,4","42,9","49,7","0,3","14,9",,"0,4",,
25/11/2014 7.00,"5,6","39,5","45,3","0,3",,,"0,6",,
25/11/2014 8.00,"5,7","46,6","54,4","0,3","25,9",,"7,7",,
25/11/2014 9.00,"5,4","36,0","43,1","0,3",,,"5,3",,
25/11/2014 10.00,"5,2","27,4","33,7","0,3","19,8",,"0,6",,
25/11/2014 11.00,"5,2","30,1","36,7","0,3",,,"0,6",,
25/11/2014 12.00,"5,2","34,2","41,6","0,3","4,9",,"0,8",,
25/11/2014 13.00,"5,2","30,3","36,9","0,3",,,"0,8",,
25/11/2014 14.00,"5,2","21,6","26,6","0,2","10,7",,"0,6",,
25/11/2014 15.00,"5,0","20,6","26,9","0,2",,,"0,6",,
25/11/2014 16.00,"5,1","19,9","27,2","0,2","23,0",,"2,0",,
25/11/2014 17.00,"5,4","45,7","62,6","0,2",,,"4,5",,
25/11/2014 18.00,"6,4","59,7","95,4","0,2","14,9",,"9,5",,
25/11/2014 19.00,"7,3","61,3","135,4","0,4",,,"31,5",,
25/11/2014 20.00,"8,1","67,5","173,3","0,5","18,3",,"37,6",,
25/11/2014 21.00,"7,8","62,2","156,5","0,5",,,"32,3",,
25/11/2014 22.00,"7,3","57,1","125,1","0,4","31,0",,"15,7",,
25/11/2014 23.00,"7,1","57,7","115,0","0,4",,,"14,9",,
26/11/2014 0.00,"7,0","55,5","105,5","0,5","31,0",,"13,7",,
26/11/2014 1.00,,"49,2","82,5","0,7",,,"3,3",,
26/11/2014 2.00,"7,1",,,"0,7","51,3",,"0,3",,
26/11/2014 3.00,"7,2","54,9","89,0",,,,"0,2",,
26/11/2014 4.00,"7,3","51,4","88,8","0,8","80,8",,"0,2",,
26/11/2014 5.00,"7,4","50,4","89,9","0,5",,,"0,3",,
26/11/2014 6.00,"6,9","54,5","92,7","0,4","79,4",,"0,6",,
26/11/2014 7.00,"7,1","55,3","98,6","0,4",,,"5,1",,
26/11/2014 8.00,"7,8","47,2","119,3","0,4","49,6",,"17,6",,
26/11/2014 9.00,"8,0","57,2","139,8","0,4",,,"22,2",,
26/11/2014 10.00,"7,6","71,1","122,4","0,3","47,6",,"8,5",,
26/11/2014 11.00,"7,6","50,2","64,1","0,2",,,"0,9",,
26/11/2014 12.00,"6,8","48,5","57,5","0,2","37,9",,"1,0",,
26/11/2014 13.00,"6,5","51,2","59,6","0,2",,,"0,4",,
26/11/2014 14.00,"6,3","39,7","47,4","0,2","19,8",,"0,4",,
26/11/2014 15.00,"5,8","21,0","26,8","0,2",,,"0,5",,
26/11/2014 16.00,"6,0","25,6","33,2","0,2","17,6",,"0,4",,
26/11/2014 17.00,"6,3","49,0","64,4","0,2",,,"1,1",,
26/11/2014 18.00,"6,7","51,4","82,8","0,2","16,1",,"1,0",,
26/11/2014 19.00,"6,7","29,0","52,1","0,2",,,"0,6",,
26/11/2014 20.00,"6,5","34,9","52,6","0,2","9,5",,"0,4",,
26/11/2014 21.00,"6,8","58,1","89,5","0,2",,,"1,9",,
26/11/2014 22.00,"6,6","34,7","58,0","0,3","25,2",,"1,6",,
26/11/2014 23.00,"7,3","34,8","57,1","0,5",,,"0,5",,
27/11/2014 0.00,"7,5","49,4","76,0","0,4","26,6",,"0,3",,
27/11/2014 1.00,"7,7","56,9","93,2","0,4",,,"0,2",,
27/11/2014 2.00,"7,8","60,4","105,0","0,3","39,6",,"0,3",,
27/11/2014 3.00,"8,2","56,4","101,8","0,3",,,"0,3",,
27/11/2014 4.00,"8,0","56,0","106,2","0,2","45,9",,"0,3",,
27/11/2014 5.00,"8,1","54,8","107,5","0,2",,,"0,3",,
27/11/2014 6.00,"8,0","61,0","113,0","0,2","35,7",,"0,8",,
27/11/2014 7.00,"8,1","58,2","108,6","0,2",,,"3,8",,
27/11/2014 8.00,"8,3","57,8","124,3","0,2","28,1",,"11,5",,
27/11/2014 9.00,"6,9","21,5","44,0","0,1",,,"4,4",,
27/11/2014 10.00,"7,3","28,2","57,1","0,2","25,2",,"5,4",,
27/11/2014 11.00,,"48,6","73,5","0,5",,,"7,1",,
27/11/2014 12.00,"3,3","49,1","66,2","0,2",,,"3,2",,
27/11/2014 13.00,"3,4","48,4","75,7","0,2",,,"2,5",,
27/11/2014 14.00,"3,1","22,8","34,5","0,2","9,8",,"1,9",,
27/11/2014 15.00,"2,6","15,5","24,6","0,1",,,"5,1",,
27/11/2014 16.00,"2,6","23,3","33,4","0,1","13,2",,"2,9",,
27/11/2014 17.00,"2,9","21,5","39,6","0,1",,,"4,4",,
27/11/2014 18.00,"3,5","52,1","86,2","0,1","19,5",,"3,0",,
27/11/2014 19.00,"4,7","71,3","128,2","0,2",,,"7,7",,
27/11/2014 20.00,"3,9","57,9","111,8","0,2","18,1",,"11,5",,
27/11/2014 21.00,"4,1","47,8","92,8","0,3",,,"6,8",,
27/11/2014 22.00,"10,8","39,2","76,7","0,5","18,3",,"3,1",,
27/11/2014 23.00,"3,6","36,4","65,3","0,4",,,"1,0",,
28/11/2014 0.00,"3,8","36,2","66,6","0,5","44,0",,"0,4",,
28/11/2014 1.00,,"26,9","46,9","0,4",,,"0,3",,
28/11/2014 2.00,,,,"0,5","44,9",,"0,5",,
28/11/2014 3.00,,"29,2","52,6",,,,"0,3",,
28/11/2014 4.00,,"24,8","47,2","0,6","39,1",,"0,3",,
28/11/2014 5.00,,"46,3","79,6","0,4",,,"0,3",,
28/11/2014 6.00,,"43,1","77,4","0,4","24,7",,"1,2",,
28/11/2014 7.00,,"27,7","50,4","0,3",,,"2,0",,
28/11/2014 8.00,,"25,4","43,6","0,2","26,9",,"2,8",,
28/11/2014 9.00,,"22,8","34,1","0,3",,,"3,8",,
28/11/2014 10.00,,"19,9","27,1","0,5","20,0",,"2,9",,
28/11/2014 11.00,,"16,9","22,9","0,5",,,"1,9",,
28/11/2014 12.00,,"13,8","20,1","0,5","2,0",,"1,3",,
28/11/2014 13.00,,"11,2","15,4","0,4",,,"1,1",,
28/11/2014 14.00,,"10,9","15,8","0,5","1,5",,"1,2",,
28/11/2014 15.00,,"11,6","15,4","0,5",,,"1,6",,
28/11/2014 16.00,,"11,6","16,2","0,5","16,8",,"1,6",,
28/11/2014 17.00,,"10,8","16,0","0,5",,,"1,5",,
28/11/2014 18.00,,"10,1","15,1","0,5","21,7",,"1,1",,
28/11/2014 19.00,,"10,1","14,4","0,5",,,"1,2",,
28/11/2014 20.00,,"9,6","14,5","0,5","19,0",,"1,2",,
28/11/2014 21.00,,"10,1","14,3","0,5",,,"1,1",,
28/11/2014 22.00,,"10,4","14,8","0,5","19,5",,"1,0",,
28/11/2014 23.00,,"9,8","13,6","0,5",,,"1,0",,
29/11/2014 0.00,,"9,2","14,2","0,5","25,2",,"1,0",,
29/11/2014 1.00,"3,2","9,4","13,9","0,5",,,"0,9",,
29/11/2014 2.00,"3,1","7,4","11,2","0,5","26,1",,"1,1",,
29/11/2014 3.00,"3,1","8,4","13,3","0,5",,,"1,2",,
29/11/2014 4.00,"3,3","6,7","11,6","0,5","22,7",,"1,3",,
29/11/2014 5.00,"3,3","7,6","12,1","0,5",,,"1,1",,
29/11/2014 6.00,"3,2","6,6","10,6","0,5","21,5",,"1,5",,
29/11/2014 7.00,"3,1","9,3","14,7","0,5",,,"1,4",,
29/11/2014 8.00,"3,1","9,9","15,8","0,5","28,6",,"1,4",,
29/11/2014 9.00,"3,3","14,0","20,7","0,5",,,"2,0",,
29/11/2014 10.00,"3,2","11,8","18,1","0,5","69,6",,"1,8",,
29/11/2014 11.00,"3,5","9,1","13,9","0,5",,,"1,5",,
29/11/2014 12.00,"3,3","8,9","14,1","0,5","63,7",,"1,3",,
29/11/2014 13.00,"3,4","10,3","15,7","0,5",,,"1,6",,
