"NetC","SIMAGE Brindisi","","","","","","","","","","",""
"Stat","valzani_sanpietrovernotico","","","","","","","","","","",""
,NOX,NO2,SO2,CO,O3
07/11/2011 22.00,"24,2",21,"0,6","0,2","34,4"
07/11/2011 23.00,"18,9","16,1","0,5","0,2","41,1"
08/11/2011 0.00,"18,1","15,1","0,6","0,2","39,7"
08/11/2011 1.00,"17,1","14,4",0,"0,2","35,6"
08/11/2011 2.00,,,0,"0,2","31,9"
08/11/2011 3.00,,,"0,1",,32
08/11/2011 4.00,"26,4","23,6",,"0,2",35
08/11/2011 5.00,"17,8","15,5","0,1","0,2",
08/11/2011 6.00,16,"13,6",0,"0,2","41,6"
08/11/2011 7.00,"16,6","13,4","0,1","0,2","41,6"
08/11/2011 8.00,"19,7","16,2","0,2","0,2","41,1"
08/11/2011 9.00,"21,6","17,2","0,1","0,2","41,2"
08/11/2011 10.00,"17,3","13,9","0,2","0,2","48,8"
08/11/2011 11.00,"16,8","12,8","0,2","0,2","50,7"
08/11/2011 12.00,18,"13,1","0,4","0,2","54,1"
08/11/2011 13.00,"22,9","14,6","0,6","0,2","53,9"
08/11/2011 14.00,"26,1","17,1","0,8","0,3","52,9"
08/11/2011 15.00,"28,8","19,2","0,7","0,3","50,9"
08/11/2011 16.00,"25,2","18,1","0,6","0,2","50,8"
08/11/2011 17.00,"30,6","22,2","0,6","0,3","43,7"
08/11/2011 18.00,"38,8","29,5","0,6","0,3","30,3"
08/11/2011 19.00,"26,9","23,3","0,6","0,3","32,9"
08/11/2011 20.00,19,"16,5","0,4","0,2","37,3"
08/11/2011 21.00,"25,2","21,8","0,5","0,3","29,2"
08/11/2011 22.00,25,"22,2","0,3","0,2","25,2"
08/11/2011 23.00,"20,1",17,"0,3","0,2","31,9"
09/11/2011 0.00,"18,2","15,3","0,6","0,2","28,4"
09/11/2011 1.00,"18,3","15,1","1,2","0,2","27,5"
09/11/2011 2.00,17,"14,3","1,2","0,2","27,9"
09/11/2011 3.00,17,"13,7","1,3","0,2","28,5"
09/11/2011 4.00,"16,6","13,5","1,3","0,2","25,6"
09/11/2011 5.00,"16,9","13,6","1,1","0,2","27,4"
09/11/2011 6.00,"22,4",19,"1,1","0,2","20,1"
09/11/2011 7.00,"22,6","19,9","1,1","0,2","18,7"
09/11/2011 8.00,"45,4","34,9","1,4","0,3",13
09/11/2011 9.00,"75,1","50,2","1,7","0,5","8,3"
09/11/2011 10.00,"31,6","26,7","1,2","0,3","31,9"
09/11/2011 11.00,"19,2","15,2","1,3","0,2","45,5"
09/11/2011 12.00,"15,6",12,"1,1","0,2","51,9"
09/11/2011 13.00,"16,4","12,5","1,1","0,2","48,7"
09/11/2011 14.00,"32,8",24,"1,7","0,2","35,4"
09/11/2011 15.00,,,"1,7","0,3","24,9"
09/11/2011 16.00,"25,8","20,2","1,5","0,2","36,4"
09/11/2011 17.00,"36,7",30,"1,5","0,3","22,8"
09/11/2011 18.00,"30,6",27,"1,3","0,2",23
09/11/2011 19.00,25,"21,7",1,"0,2","29,4"
09/11/2011 20.00,22,"19,3","1,2","0,2","34,1"
09/11/2011 21.00,19,"15,5","1,3","0,2","39,6"
09/11/2011 22.00,"21,4","17,6",1,"0,2","32,7"
09/11/2011 23.00,"21,5","18,1","1,3","0,2","25,8"
10/11/2011 0.00,"18,3","15,3","1,1","0,2","28,3"
10/11/2011 1.00,"17,6","14,7","1,1","0,2","28,5"
10/11/2011 2.00,,,"0,9","0,2",24
10/11/2011 3.00,"29,5","26,5","1,2","0,2","20,5"
10/11/2011 4.00,"21,5","18,3",,"0,2","18,7"
10/11/2011 5.00,"18,5","15,6","0,1","0,2",
10/11/2011 6.00,"18,7","15,4","0,2","0,2","20,6"
10/11/2011 7.00,"27,5","21,2","0,3","0,3","19,7"
10/11/2011 8.00,"62,1","34,1","0,6","0,4",9
10/11/2011 9.00,"89,9",45,"1,5","0,7",8
10/11/2011 10.00,"40,7","32,5","0,6","0,3","27,7"
10/11/2011 11.00,"27,2","22,1","0,4","0,2","40,9"
10/11/2011 12.00,"23,5","18,6","0,6","0,2","45,7"
10/11/2011 13.00,"18,3","14,1","0,3","0,2",
10/11/2011 14.00,"31,1","23,1","0,5","0,1","43,6"
10/11/2011 15.00,24,"19,1","0,1","0,2","46,7"
10/11/2011 16.00,"30,7","20,5","0,2","0,2","45,2"
10/11/2011 17.00,"33,9","28,1","0,7","0,2","38,5"
10/11/2011 18.00,"51,5","40,6","0,7","0,4","28,5"
10/11/2011 19.00,"50,5","43,3","0,3","0,3","24,8"
10/11/2011 20.00,"42,2","35,8","0,1","0,4","29,1"
10/11/2011 21.00,"35,9","30,1","0,2","0,4","30,7"
10/11/2011 22.00,"33,3","27,7","0,2","0,3","30,4"
10/11/2011 23.00,"42,1","29,2","0,4","0,4","27,4"
11/11/2011 0.00,"24,5","20,4",0,"0,3","36,5"
11/11/2011 1.00,"21,1","17,9","0,7","0,2","34,4"
11/11/2011 2.00,"16,6","14,1","0,9","0,2","42,7"
11/11/2011 3.00,"14,8","11,9",1,,"43,9"
11/11/2011 4.00,"13,5","10,6",1,"0,2","43,9"
11/11/2011 5.00,"14,7","11,7","0,9","0,2",45
11/11/2011 6.00,15,"12,3",1,"0,2","43,2"
11/11/2011 7.00,"23,6","18,3",1,"0,3","41,3"
11/11/2011 8.00,80,"44,5","1,5","0,5","24,4"
11/11/2011 9.00,59,42,"1,9","0,7","21,6"
11/11/2011 10.00,"36,6","28,9","1,3","0,3","40,9"
11/11/2011 11.00,"28,1","21,8","1,4","0,3","47,1"
11/11/2011 12.00,23,"17,6","1,3","0,2","45,8"
11/11/2011 13.00,"21,2","15,6","1,3","0,2","47,3"
11/11/2011 14.00,"25,8","18,7","1,4","0,2","45,4"
11/11/2011 15.00,"25,1","18,7","1,4","0,2","45,2"
11/11/2011 16.00,"27,2","20,5","1,3","0,3","44,5"
11/11/2011 17.00,"31,9","25,8","1,5","0,3","42,2"
11/11/2011 18.00,"54,8","43,7","1,2","0,4","28,4"
11/11/2011 19.00,"60,5","50,9","1,3","0,6","19,6"
11/11/2011 20.00,"62,7","47,1","1,4","0,6","23,7"
11/11/2011 21.00,"55,8","44,7","1,4","0,5","25,9"
11/11/2011 22.00,"42,1",37,"1,2","0,4","30,3"
11/11/2011 23.00,"31,1","27,9",1,"0,3","32,5"
12/11/2011 0.00,"23,7",20,"1,1","0,3","33,7"
12/11/2011 1.00,"19,2","16,3","0,9","0,2","37,1"
12/11/2011 2.00,,,"0,8","0,2","44,7"
12/11/2011 3.00,"25,6","22,6","0,6","0,2","43,5"
12/11/2011 4.00,"18,7","15,3",,"0,2","44,4"
12/11/2011 5.00,16,13,"0,5","0,2",
12/11/2011 6.00,"20,2","16,4","0,8","0,3","33,3"
12/11/2011 7.00,"42,6","32,2","0,6","0,4",17
12/11/2011 8.00,"138,3","61,3","1,7","0,5","15,1"
12/11/2011 9.00,"38,6",29,1,"0,3","28,2"
12/11/2011 10.00,"22,6","16,7",1,"0,3","40,1"
12/11/2011 11.00,"19,2","13,9","1,1","0,2","46,1"
12/11/2011 12.00,"21,3","15,1","1,6","0,2","49,8"
12/11/2011 13.00,"30,4","22,6","3,2","0,2","47,8"
12/11/2011 14.00,"43,3",30,"2,8","0,2","47,1"
12/11/2011 15.00,32,24,"1,8","0,2","54,4"
12/11/2011 16.00,"19,9","15,4","1,3","0,2","59,4"
12/11/2011 17.00,"21,2",17,"1,1","0,2","58,1"
12/11/2011 18.00,"29,6",24,"1,1","0,6","56,3"
12/11/2011 19.00,"26,5","21,7",1,"0,4","53,4"
12/11/2011 20.00,"31,6","24,6",1,"0,4","52,3"
12/11/2011 21.00,"36,4","28,1","1,1","0,9","50,8"
12/11/2011 22.00,"41,9","32,5","1,1","1,3","39,4"
12/11/2011 23.00,"20,2","16,4",1,"0,3","42,1"
13/11/2011 0.00,"15,3","12,5","0,9","0,3","44,6"
13/11/2011 1.00,"13,6","10,6","0,6","0,2","49,6"
13/11/2011 2.00,"12,3",9,"0,8","0,2",52
13/11/2011 3.00,"10,6","7,8","0,7","0,2","53,2"
13/11/2011 4.00,"10,2","7,5","0,9","0,2","55,5"
13/11/2011 5.00,"9,9","6,9","0,4","0,2","59,5"
13/11/2011 6.00,10,7,"0,1","0,2","60,8"
13/11/2011 7.00,"10,5","7,5","0,3","0,2","60,9"
13/11/2011 8.00,11,"7,5","0,7","0,2","61,1"
13/11/2011 9.00,"10,6","7,2","0,3","0,2","61,7"
13/11/2011 10.00,"10,6","7,7","0,5","0,2","64,4"
13/11/2011 11.00,"10,1","7,3","0,6","0,2","69,1"
13/11/2011 12.00,"11,6","8,5","0,8","0,2","69,7"
13/11/2011 13.00,"12,2","8,5","0,7","0,2",72
13/11/2011 14.00,"11,2","8,3","0,9","0,2","73,9"
13/11/2011 15.00,"10,3","7,3","0,7","0,2","75,7"
13/11/2011 16.00,12,"8,9","1,1","0,2","74,6"
13/11/2011 17.00,"18,5","14,6","0,9","0,2","68,6"
13/11/2011 18.00,"19,4","15,7",1,"0,2","65,6"
13/11/2011 19.00,"14,9","12,2","0,6","0,2","69,3"
13/11/2011 20.00,"15,5","12,1","0,8","0,2","68,5"
13/11/2011 21.00,"15,2","11,4","0,8","0,2","70,2"
13/11/2011 22.00,"13,3","9,5","0,8","0,2","71,8"
13/11/2011 23.00,"11,5","8,2","0,7","0,2","71,9"
14/11/2011 0.00,"12,3","8,9","0,7","0,2",70
14/11/2011 1.00,"11,8","8,5","0,5","0,2","68,6"
14/11/2011 2.00,,,"0,4","0,2","60,4"
14/11/2011 3.00,,,"0,1",,"51,3"
14/11/2011 4.00,"30,5","26,7",,"0,2","39,9"
14/11/2011 5.00,"20,6","18,5","0,8","0,2",
14/11/2011 6.00,"19,5","16,7","0,6","0,2","56,4"
14/11/2011 7.00,"18,2",15,"0,8","0,2","60,4"
14/11/2011 8.00,"30,6","23,6","1,3","0,2","53,5"
14/11/2011 9.00,"22,8","16,9","1,2","0,2","61,5"
14/11/2011 10.00,"17,7","12,8","1,1","0,2","69,2"
14/11/2011 11.00,"15,4","11,1","1,4","0,2","71,1"
14/11/2011 12.00,"15,5",11,"1,1","0,2","73,4"
14/11/2011 13.00,"15,9","11,5","1,2","0,2","72,7"
14/11/2011 14.00,"17,3","11,8","1,2","0,2","73,9"
14/11/2011 15.00,"16,6","12,2","1,3","0,2","75,9"
14/11/2011 16.00,"18,6","14,7","1,1","0,2","74,9"
14/11/2011 17.00,"28,4","23,9","1,2","0,3","64,5"
14/11/2011 18.00,"37,6","33,3","1,1","0,3","53,7"
14/11/2011 19.00,"53,2","46,6","1,4","0,5","43,7"
14/11/2011 20.00,"67,7","56,2","1,4","0,8","34,2"
14/11/2011 21.00,"81,9","67,2","1,5","1,4","24,2"
14/11/2011 22.00,"29,6","26,5","1,1","0,4","51,3"
14/11/2011 23.00,"19,2","16,3","1,1","0,3","63,2"
15/11/2011 0.00,17,"14,1","0,9","0,3",62
15/11/2011 1.00,"20,2","13,3","0,8","0,2","63,4"
15/11/2011 2.00,"11,4","9,6","0,7","0,2","66,3"
15/11/2011 3.00,"13,3","10,8","0,4","0,2","54,9"
15/11/2011 4.00,"13,8","11,6","0,5","0,2","43,9"
15/11/2011 5.00,"13,2","10,4","0,5","0,2","42,5"
15/11/2011 6.00,"13,5","10,6","0,3","0,2","41,7"
15/11/2011 7.00,"27,1","19,7","0,7","0,3","36,1"
15/11/2011 8.00,"58,2","35,1",1,"0,5","26,3"
15/11/2011 9.00,"82,3","49,3","1,6","0,8","22,3"
15/11/2011 10.00,"50,3","37,5","1,4","0,4",34
15/11/2011 11.00,"31,8","24,4","1,7","0,2","54,2"
15/11/2011 12.00,"27,6","21,5","1,7","0,2","59,4"
15/11/2011 13.00,"26,7",21,"2,7","0,2","63,8"
15/11/2011 14.00,"25,2","19,7","1,9","0,2","67,3"
15/11/2011 15.00,"26,9",21,"1,8","0,3","66,9"
15/11/2011 16.00,"26,1","21,9","1,5","0,3","64,6"
15/11/2011 17.00,71,"53,8","1,5","0,8","40,7"
15/11/2011 18.00,"95,1","75,4","1,5",1,24
15/11/2011 19.00,"145,7","92,1","2,6","2,3","14,6"
15/11/2011 20.00,"145,3","87,5","3,3","2,8","13,7"
15/11/2011 21.00,"130,2",80,"2,8","2,4","10,7"
15/11/2011 22.00,88,"68,5",2,"1,8","11,4"
15/11/2011 23.00,"51,9","48,1","1,4","1,2","16,2"
16/11/2011 0.00,"34,4","31,4","0,7","0,8","20,8"
16/11/2011 1.00,"40,6","29,9","0,4","0,6","23,2"
16/11/2011 2.00,,,0,"0,6","25,6"
16/11/2011 3.00,"28,8","26,5",0,"0,4","34,3"
16/11/2011 4.00,"19,2","16,6",,"0,3","37,1"
16/11/2011 5.00,"16,9","14,8","0,7","0,3",
16/11/2011 6.00,"17,6","14,6","0,7","0,3","34,8"
16/11/2011 7.00,"30,1","24,2","0,6","0,4","28,9"
16/11/2011 8.00,"88,6","51,7","1,4","0,7","17,7"
16/11/2011 9.00,"119,1","64,7","2,3","1,3","15,9"
16/11/2011 10.00,"96,2","57,6","1,5","0,6","23,9"
16/11/2011 11.00,"46,9",36,"1,5","0,3",42
16/11/2011 12.00,"27,2","22,2","1,8","0,2","59,2"
16/11/2011 13.00,"28,2","22,5","2,2","0,2","61,8"
16/11/2011 14.00,"36,7","29,5","1,7","0,3",60
16/11/2011 15.00,"30,3","25,6","1,5","0,3","63,4"
16/11/2011 16.00,"31,3","26,6","1,5","0,3","63,6"
16/11/2011 17.00,"56,6","47,9","1,6","0,6","47,8"
16/11/2011 18.00,"82,2","66,4","1,6","1,1","26,4"
16/11/2011 19.00,154,"77,3","2,6",2,"12,2"
16/11/2011 20.00,"183,6","86,1","3,8","2,7","12,6"
16/11/2011 21.00,"176,8",92,"3,8","3,3","12,1"
16/11/2011 22.00,"112,6","80,7","2,7","2,7","10,1"
16/11/2011 23.00,"66,5","58,9","1,4","1,9","11,5"
17/11/2011 0.00,"45,3","41,4","0,9","1,3",15
17/11/2011 1.00,"35,1","31,8","1,3",1,"20,5"
17/11/2011 2.00,"25,8","23,2",1,"0,7","23,8"
17/11/2011 3.00,"23,6",21,"1,1",,"25,4"
17/11/2011 4.00,20,"17,7","1,1","0,5","29,9"
17/11/2011 5.00,"17,8","15,5","0,8","0,4","29,9"
17/11/2011 6.00,"18,5","15,9",1,"0,3","34,9"
17/11/2011 7.00,"36,4","27,9","0,9","0,4","27,2"
17/11/2011 8.00,108,"59,8","2,1",1,"11,7"
17/11/2011 9.00,"184,3","76,8","4,1","1,7","8,2"
17/11/2011 10.00,"84,1","57,2","2,2","0,8","16,1"
17/11/2011 11.00,"36,8","30,6","1,5","0,4","44,2"
17/11/2011 12.00,"22,1","17,9","1,8","0,2","60,2"
17/11/2011 13.00,"19,1",15,"1,5","0,2","65,5"
17/11/2011 14.00,"33,5","25,6","3,3","0,3","61,8"
17/11/2011 15.00,"38,1","31,9","4,3","0,2","59,5"
17/11/2011 16.00,30,"26,2","2,6","0,3","64,2"
17/11/2011 17.00,"63,6","53,2","2,7","0,9","49,8"
17/11/2011 18.00,"134,5","88,3",3,"1,9","19,8"
17/11/2011 19.00,"158,7","100,7","3,5","2,7","12,1"
17/11/2011 20.00,"150,2","94,8","3,6","2,8","11,2"
17/11/2011 21.00,"120,8","83,7","2,8","2,4","8,5"
17/11/2011 22.00,"89,4",74,"1,7","2,1","9,5"
17/11/2011 23.00,"64,2",58,"1,4","1,8","10,6"
18/11/2011 0.00,"42,8","38,8","1,5","1,1","14,8"
18/11/2011 1.00,"34,3","29,9","1,8","0,7","20,7"
18/11/2011 2.00,,,"1,6","0,5","27,7"
18/11/2011 3.00,"32,4","30,1","1,3","0,4","33,3"
18/11/2011 4.00,23,21,,"0,4","35,6"
18/11/2011 5.00,"20,1",18,"0,4","0,3",
18/11/2011 6.00,"21,2","18,3","0,4","0,3","32,9"
18/11/2011 7.00,36,"29,3","0,4","0,4","24,3"
18/11/2011 8.00,"91,4","49,1","1,3","0,6","14,2"
18/11/2011 9.00,"114,3","60,9","2,1","1,3",12
18/11/2011 10.00,"66,6","48,9","1,3","0,7","18,8"
18/11/2011 11.00,"42,5","35,1","1,4","0,4","33,3"
18/11/2011 12.00,"33,1","26,9","2,5","0,3","52,9"
18/11/2011 13.00,31,"25,3","2,9","0,2","62,1"
18/11/2011 14.00,"38,2","30,5","1,5","0,3","58,2"
18/11/2011 15.00,"41,6","34,7","1,4","0,4","55,3"
18/11/2011 16.00,46,40,"2,2","0,4","52,7"
18/11/2011 17.00,"85,1","70,7","2,1","1,3","32,1"
18/11/2011 18.00,"79,3","68,9","1,7","1,2","29,8"
18/11/2011 19.00,"115,9","86,1","2,1","2,2","16,8"
18/11/2011 20.00,"106,3",79,"2,2","2,2","13,8"
18/11/2011 21.00,"86,9","69,9","1,8","1,9","16,4"
18/11/2011 22.00,"74,1","65,1","1,3","1,7","16,6"
18/11/2011 23.00,"49,8","46,1","0,8","1,1","23,6"
19/11/2011 0.00,"38,7","33,1","0,8","0,7",32
19/11/2011 1.00,"26,5",24,"0,5","0,5","38,6"
19/11/2011 2.00,"20,7","17,8","0,6","0,4","40,8"
19/11/2011 3.00,"16,3","14,3","0,6","0,3","41,5"
19/11/2011 4.00,"16,7","14,2","0,4","0,3","41,8"
19/11/2011 5.00,"16,2","13,5","0,4","0,3","43,6"
19/11/2011 6.00,"18,1","14,9","0,2","0,3","43,3"
19/11/2011 7.00,"29,4","25,3","0,5","0,3","37,1"
19/11/2011 8.00,"64,9","44,5","1,2","0,4","30,4"
19/11/2011 9.00,"84,4","58,6","1,4","0,8","23,3"
19/11/2011 10.00,"50,5","42,9","1,1","0,5","30,7"
19/11/2011 11.00,"38,5","31,1","1,1","0,4","40,9"
19/11/2011 12.00,32,"25,4","1,3","0,3","50,8"
19/11/2011 13.00,"30,1","23,9","1,1","0,3","55,9"
19/11/2011 14.00,"53,9","36,4","1,4","0,5","50,6"
19/11/2011 15.00,"27,4","23,7","1,1","0,3","63,7"
19/11/2011 16.00,"29,7","24,8","1,3","0,3","66,4"
19/11/2011 17.00,"49,3",42,"1,3","0,6",53
19/11/2011 18.00,66,"47,4","1,4","0,7","31,6"
19/11/2011 19.00,"99,8","67,5","2,2","1,4","10,4"
19/11/2011 20.00,"94,8","79,9","2,1","2,2","11,4"
19/11/2011 21.00,"88,1","77,9","1,5","2,4","15,3"
19/11/2011 22.00,"80,1","71,4","1,4","1,8",15
19/11/2011 23.00,"49,6","47,1","0,9","1,1","22,9"
20/11/2011 0.00,"37,1","34,1","0,6","0,6","27,5"
20/11/2011 1.00,"33,4","30,5","0,1","0,5","27,3"
20/11/2011 2.00,,,"0,1","0,4","34,4"
20/11/2011 3.00,"32,4","29,8",0,,"40,4"
20/11/2011 4.00,"24,1","21,3",,"0,3","42,6"
20/11/2011 5.00,"20,3","17,8","0,6","0,3",
20/11/2011 6.00,"20,7",18,"0,7","0,3","45,2"
20/11/2011 7.00,"28,2","23,8","0,8","0,4","49,8"
20/11/2011 8.00,42,"37,1","0,8","0,4","37,3"
20/11/2011 9.00,"42,4","36,1","0,8","0,6","33,2"
20/11/2011 10.00,"29,3",25,"0,9","0,4","46,9"
20/11/2011 11.00,"30,9","25,1","3,2","0,3","55,3"
20/11/2011 12.00,"29,2","24,1","3,6","0,3","59,8"
20/11/2011 13.00,"22,6",19,2,"0,2","68,4"
20/11/2011 14.00,"22,5","19,7",2,"0,3","68,4"
20/11/2011 15.00,"20,8","18,1","1,6","0,3","71,5"
20/11/2011 16.00,23,"19,8","1,7","0,3","70,6"
20/11/2011 17.00,"36,3","32,2","1,2","0,5","60,4"
20/11/2011 18.00,"49,3",46,"1,2","0,8","44,4"
20/11/2011 19.00,"68,3","55,2","1,2","1,4","23,6"
20/11/2011 20.00,"79,5","66,9","1,5","2,1","15,1"
20/11/2011 21.00,"76,2","65,9","1,6","1,7","13,2"
20/11/2011 22.00,54,"50,5","1,1","1,2","18,2"
20/11/2011 23.00,"45,9","41,4","1,1",1,"19,5"
21/11/2011 0.00,"39,9","36,2","0,9","0,7","18,9"
21/11/2011 1.00,30,"27,1","0,8","0,6","23,6"
21/11/2011 2.00,"28,3","23,8","0,6","0,5","21,3"
21/11/2011 3.00,"21,8","19,3","0,9","0,4","24,3"
21/11/2011 4.00,"18,8","16,3","0,7","0,3","27,6"
21/11/2011 5.00,"17,4","14,6","0,5","0,3","28,3"
21/11/2011 6.00,"23,9","20,3","0,5","0,3","24,5"
21/11/2011 7.00,"43,2","27,1","0,6","0,4","16,8"
21/11/2011 8.00,"102,1","52,7","2,2","1,4",8
21/11/2011 9.00,"134,6","70,5","2,7",2,"7,1"
21/11/2011 10.00,"84,3","58,2","1,9","1,1","15,7"
21/11/2011 11.00,"32,8","29,4","1,8","0,4","50,5"
21/11/2011 12.00,"21,4",18,"1,6","0,2","66,8"
21/11/2011 13.00,"20,9",17,"1,9","0,2","69,8"
21/11/2011 14.00,"21,6","18,3",2,"0,2","72,2"
21/11/2011 15.00,"21,2","18,3","1,6","0,3","72,9"
21/11/2011 16.00,"19,5",17,"1,1","0,3","72,6"
21/11/2011 17.00,25,"22,8",1,"0,3","60,3"
21/11/2011 18.00,"44,5","39,9","1,4","0,4","43,6"
21/11/2011 19.00,"52,9","48,7","1,1","0,4","25,9"
21/11/2011 20.00,"64,3","59,7","1,2","0,6","23,4"
21/11/2011 21.00,"60,9","57,6","1,2","0,6","27,5"
21/11/2011 22.00,"55,8","53,1","1,1","0,7","32,3"
21/11/2011 23.00,"56,6","52,6","1,4","0,9",27
22/11/2011 0.00,"53,2","49,9","1,2","0,8",24
22/11/2011 1.00,"51,1","47,9","1,6","0,8","24,8"
22/11/2011 2.00,,,"1,8","0,6","35,4"
22/11/2011 3.00,"34,6","32,2",2,"0,4","44,3"
22/11/2011 4.00,"20,5","17,8",,"0,3","57,5"
22/11/2011 5.00,"16,8","14,1","0,6","0,2",
22/11/2011 6.00,"15,5","12,6","0,9","0,2","69,5"
22/11/2011 7.00,"14,3","11,9","0,5","0,2","68,7"
22/11/2011 8.00,"20,7","17,7","0,7","0,2","59,9"
22/11/2011 9.00,26,"23,1","0,6","0,3","51,4"
22/11/2011 10.00,"27,1","23,8","0,6","0,3","48,4"
22/11/2011 11.00,"26,6","23,6","0,4","0,3","46,5"
22/11/2011 12.00,"27,3","23,7","0,6","0,3",44
22/11/2011 13.00,"25,1","21,5","0,5","0,3","48,5"
22/11/2011 14.00,"24,8","21,5","0,4","0,3","47,6"
22/11/2011 15.00,25,"21,5","0,4","0,3","45,2"
22/11/2011 16.00,"23,7","21,3","0,4","0,3","39,7"
22/11/2011 17.00,"25,6","23,3","0,6","0,3","37,9"
22/11/2011 18.00,28,"24,8","0,5","0,3","37,4"
22/11/2011 19.00,"27,2","23,7","0,6","0,3","37,7"
22/11/2011 20.00,"24,5","21,3","0,4","0,3","42,9"
22/11/2011 21.00,"22,4","19,6","0,8","0,3","46,3"
22/11/2011 22.00,"21,2","18,4","0,6","0,3","48,4"
22/11/2011 23.00,"16,6","13,5","0,4","0,3","52,9"
23/11/2011 0.00,"14,5","11,9","0,7","0,2",55
23/11/2011 1.00,13,"10,1",,"0,2","59,6"
23/11/2011 2.00,"12,6","9,8",,"0,2","56,9"
23/11/2011 3.00,"13,2","10,3",,,"48,7"
23/11/2011 4.00,"11,7","9,6",,"0,2","57,3"
23/11/2011 5.00,"12,4","9,8",,"0,2","53,8"
23/11/2011 6.00,"13,5","10,5",,"0,2","53,5"
23/11/2011 7.00,"13,7","10,3",,"0,2",55
23/11/2011 8.00,"17,7","14,2",,"0,2","54,5"
23/11/2011 9.00,"20,5","16,8",,"0,2","55,3"
23/11/2011 10.00,"24,3","20,4",,"0,2","49,7"
23/11/2011 11.00,"31,2","21,6",,"0,2","49,6"
23/11/2011 12.00,"35,4","29,8",,"0,2","37,3"
23/11/2011 13.00,"18,4","15,5",,"0,2",
23/11/2011 14.00,"20,5",16,,"0,2","57,2"
23/11/2011 15.00,"18,9","15,7",,"0,2","55,9"
23/11/2011 16.00,"18,1","14,9",,"0,3","55,7"
23/11/2011 17.00,"17,9","15,6",,"0,3","53,9"
23/11/2011 18.00,"20,9","17,9",,"0,3","51,7"
23/11/2011 19.00,"20,1","17,1",,"0,3","55,2"
23/11/2011 20.00,"21,2",18,,"0,3","52,4"
23/11/2011 21.00,"18,9",16,,"0,2","54,7"
23/11/2011 22.00,"18,8","16,1",,"0,2","53,8"
23/11/2011 23.00,"15,9","13,3",,"0,2","58,3"
24/11/2011 0.00,"13,2","10,4",,"0,2","62,8"
24/11/2011 1.00,"11,6","9,2","0,2","0,2","63,3"
24/11/2011 2.00,,,"0,1","0,2","56,9"
24/11/2011 3.00,"24,2","21,5","0,2","0,2","43,2"
24/11/2011 4.00,"18,8","15,7",,"0,2",38
24/11/2011 5.00,16,"13,3","0,2","0,2",
24/11/2011 6.00,"19,8","15,9","0,3","0,2","34,1"
24/11/2011 7.00,"42,2","32,4","0,6","0,3","18,5"
24/11/2011 8.00,"61,1","45,3","0,7","0,4","13,1"
24/11/2011 9.00,"54,3","44,8","0,6","0,3","15,9"
24/11/2011 10.00,"29,8","25,5","0,4","0,2","39,9"
24/11/2011 11.00,"22,4","17,9","0,4","0,2","49,3"
24/11/2011 12.00,"19,4","15,8","0,6","0,2","50,1"
24/11/2011 13.00,"19,7","15,9","0,4","0,2","50,7"
24/11/2011 14.00,48,"32,7",1,"0,5","37,3"
24/11/2011 15.00,"35,8","28,7","0,4","0,4","37,4"
24/11/2011 16.00,"42,8","34,7","0,3","0,5",27
24/11/2011 17.00,"49,9","41,6","0,5","0,5","20,4"
24/11/2011 18.00,"53,4","44,9","0,8","0,8","18,1"
24/11/2011 19.00,"62,6","51,1","0,9","1,2","15,1"
24/11/2011 20.00,"57,8","47,8","0,7","1,3","15,6"
24/11/2011 21.00,57,"47,1","0,8","1,3","13,6"
24/11/2011 22.00,53,"45,6","0,7",1,"12,1"
24/11/2011 23.00,"46,7","40,6","0,5","1,1","14,5"
25/11/2011 0.00,"43,1","37,1","0,7","0,9","11,4"
25/11/2011 1.00,"35,8","31,5","0,1","0,6","12,5"
25/11/2011 2.00,"31,8","27,7",0,"0,5","14,1"
25/11/2011 3.00,"26,3","23,2",0,"0,4","17,5"
25/11/2011 4.00,"24,8","21,5",0,"0,4","19,1"
25/11/2011 5.00,"24,3",21,0,"0,4","18,7"
25/11/2011 6.00,"24,3",21,0,"0,4","17,4"
25/11/2011 7.00,28,"23,4",0,"0,4",16
25/11/2011 8.00,"52,4","32,7","0,3","0,5","11,8"
25/11/2011 9.00,"63,9",39,"0,8","0,8","9,7"
25/11/2011 10.00,"45,4","34,3","0,3","0,6","14,1"
25/11/2011 11.00,"34,9","26,1",0,"0,4","22,2"
25/11/2011 12.00,"31,3",24,0,"0,4","31,2"
25/11/2011 13.00,"32,6","24,8",0,"0,4","38,3"
25/11/2011 14.00,"36,6","27,2",0,"0,4","41,4"
25/11/2011 15.00,"32,9",26,0,"0,4","47,2"
25/11/2011 16.00,"33,5","28,1","0,2","0,3","46,3"
25/11/2011 17.00,"54,5","43,1","0,3","0,7","34,8"
25/11/2011 18.00,"78,2","63,5","0,5","1,3","18,2"
25/11/2011 19.00,"87,6","70,2","0,8","1,8","12,9"
25/11/2011 20.00,"81,9","65,7","0,8","1,7","10,7"
25/11/2011 21.00,"70,3","55,1","0,6","1,7","10,5"
25/11/2011 22.00,"57,7",49,"0,6","1,5","13,2"
25/11/2011 23.00,"45,5","39,2","0,2","1,1","14,3"
26/11/2011 0.00,"42,7","36,2","0,1","0,9","12,9"
26/11/2011 1.00,"34,6","30,3",0,"0,7","10,7"
26/11/2011 2.00,,,0,"0,6","11,9"
