Stat,STATTE - SS7 Wind,,,,,
Parm,SO2,NOX,NO2,PM10,CO,BENZENE
Unit,ug/m3 293K,ug/m3 293K,ug/m3 293K,ug/m3,mg/m3 293K,ug/m3 293K
10/11/2014 11.00,"1,9","36,9","22,4",,"0,2","0,3"
10/11/2014 12.00,"1,9","21,2","12,4","35,2","0,2","0,1"
10/11/2014 13.00,"1,9","26,9","16,8",,"0,2","0,2"
10/11/2014 14.00,"1,9","24,9","15,5","31,0","0,1","0,1"
10/11/2014 15.00,"1,9","31,1","22,3",,"0,1","0,1"
10/11/2014 16.00,"1,9","36,5","27,9","29,8","0,2","0,1"
10/11/2014 17.00,"1,9","24,3","20,1",,"0,1","0,1"
10/11/2014 18.00,"1,9","15,5","13,0","30,3","0,2","0,1"
10/11/2014 19.00,"1,9","16,0","13,6",,"0,3","0,4"
10/11/2014 20.00,"1,9","16,1","13,8","34,4","0,3","0,4"
10/11/2014 21.00,"1,9","13,5","11,2",,"0,3","0,3"
10/11/2014 22.00,"1,9","12,4","10,2","32,5","0,4","0,4"
10/11/2014 23.00,"1,9","15,2","12,9",,"0,3","0,3"
11/11/2014 0.00,"1,9","9,1","6,8","44,0","0,2","0,2"
11/11/2014 1.00,"1,9","8,2","5,9",,"0,3","0,1"
11/11/2014 2.00,"1,9","11,2","8,9","39,6","0,4","0,3"
11/11/2014 3.00,"1,9","10,6","8,1",,"0,2","0,6"
11/11/2014 4.00,"1,9","13,9","11,5","42,5","0,5","0,4"
11/11/2014 5.00,"1,9","11,5","9,1",,"0,2","0,4"
11/11/2014 6.00,"1,9","13,7","11,4","43,2","0,3","0,5"
11/11/2014 7.00,"1,9","14,7","12,3",,"0,3","0,5"
11/11/2014 8.00,"2,0","41,6","34,6","43,2","0,5","0,2"
11/11/2014 9.00,"3,0","46,4","38,4",,"0,5","1,0"
11/11/2014 10.00,"2,5","23,0","18,3","48,4","0,2","0,5"
11/11/2014 11.00,"1,9","18,4","14,5",,"0,3","0,4"
11/11/2014 12.00,"1,9","16,4","12,6","43,7","0,3","0,4"
11/11/2014 13.00,"1,9","17,9","14,0",,"0,4","0,4"
11/11/2014 14.00,"2,0","18,1","14,1","37,9","0,3","0,7"
11/11/2014 15.00,"1,9","21,0","17,1",,"0,3","0,3"
11/11/2014 16.00,"1,9","19,4","15,6","41,3","0,2","0,3"
11/11/2014 17.00,"1,9","21,7","18,2",,"0,2","0,3"
11/11/2014 18.00,"1,9","17,3","14,9","39,3","0,3","0,2"
11/11/2014 19.00,"2,0","15,8","13,2",,"0,2","0,3"
11/11/2014 20.00,"2,0","13,1","10,7","31,5","0,3","0,3"
11/11/2014 21.00,"1,9","12,2","9,8",,"0,2","0,3"
11/11/2014 22.00,"2,1","28,0","24,3","33,2","0,6","0,5"
11/11/2014 23.00,"2,2","39,5","35,6",,"0,5","0,4"
12/11/2014 0.00,"2,1","19,5","17,2","44,4","0,7","1,0"
12/11/2014 1.00,,"8,9","6,6",,"0,2","0,5"
12/11/2014 2.00,"2,9",,,"37,9","0,2","0,1"
12/11/2014 3.00,"2,9","14,4","11,8",,,"0,3"
12/11/2014 4.00,"3,6","21,7","18,9","35,7","0,5","0,8"
12/11/2014 5.00,"3,9","16,6","14,0",,"0,5",
12/11/2014 6.00,"3,8","16,7","14,0","40,0","0,4","0,6"
12/11/2014 7.00,"3,7","17,0","13,9",,"0,2","0,6"
12/11/2014 8.00,"3,1","29,0","21,8","32,7","0,1","0,3"
12/11/2014 9.00,"3,4","22,2","17,4",,"0,2","0,2"
12/11/2014 10.00,"3,3","26,7","19,0","36,1","0,1","0,4"
12/11/2014 11.00,"3,4","24,0","17,3",,"0,2","0,1"
12/11/2014 12.00,"3,7","25,2","17,0","29,8","0,2","0,2"
12/11/2014 13.00,"3,8","31,1","19,5",,"0,1","0,2"
12/11/2014 14.00,"3,7","21,8","12,3","41,0","0,1","0,1"
12/11/2014 15.00,"3,6","26,9","16,2",,"0,1",
12/11/2014 16.00,"3,5","31,3","19,9","64,2","0,1",
12/11/2014 17.00,"3,5","43,6","30,2",,"0,2","0,1"
12/11/2014 18.00,"3,1","29,6","25,7","64,5","0,2","0,2"
12/11/2014 19.00,"3,8","23,4","21,1",,"0,5","0,4"
12/11/2014 20.00,"3,8","15,6","13,2","53,7","0,2","0,3"
12/11/2014 21.00,"3,9","22,2","19,8",,"0,2","0,3"
12/11/2014 22.00,"3,0","18,0","15,5","55,9","0,2","0,3"
12/11/2014 23.00,"3,6","17,6","15,0",,"0,3","0,5"
13/11/2014 0.00,"2,9","15,8","13,4","49,8","0,2","0,4"
13/11/2014 1.00,"2,6","11,8","9,5",,"0,2","0,3"
13/11/2014 2.00,"2,9","8,8","6,4","41,8","0,1","0,2"
13/11/2014 3.00,"2,2","6,3","3,8",,"0,1","0,1"
13/11/2014 4.00,"2,9","6,9","4,5","25,6","0,1",
13/11/2014 5.00,"3,0","9,6","6,9",,"0,1","0,1"
13/11/2014 6.00,"3,3","26,3","14,9","17,8","0,1","0,1"
13/11/2014 7.00,"3,0","28,4","17,3",,"0,1","0,2"
13/11/2014 8.00,"4,1","77,3","44,6","17,8","0,2","0,2"
13/11/2014 9.00,"3,6","29,1","17,2",,"0,1","0,2"
13/11/2014 10.00,"3,5","30,3","18,2","17,6","0,2","0,2"
13/11/2014 11.00,"3,9","45,2","27,5",,"0,2","0,4"
13/11/2014 12.00,"3,9","37,9","25,1","18,3","0,2","0,1"
13/11/2014 13.00,"3,8","31,7","18,4",,"0,1","0,2"
13/11/2014 14.00,"3,1","28,8","16,2","10,5","0,1","0,1"
13/11/2014 15.00,"3,3","28,1","17,0",,"0,1",
13/11/2014 16.00,"2,7","40,9","27,3","6,3","0,2","0,1"
13/11/2014 17.00,"3,4","73,9","49,1",,"0,2","0,2"
13/11/2014 18.00,"2,5","50,4","36,8","14,9","0,2","0,2"
13/11/2014 19.00,"2,1","13,4","10,7",,"0,2","0,3"
13/11/2014 20.00,"2,1","12,5","9,5","10,7","0,2","0,5"
13/11/2014 21.00,"3,2","49,5","34,5",,"0,2","0,4"
13/11/2014 22.00,"3,0","31,6","24,5","16,8","0,2","0,4"
13/11/2014 23.00,"2,7","23,0","17,0",,"0,2","0,4"
14/11/2014 0.00,"3,2","14,3","10,5","14,4","0,1","0,2"
14/11/2014 1.00,,"10,6","7,8",,"0,1","0,2"
14/11/2014 2.00,"3,2",,,"16,4","0,1","0,1"
14/11/2014 3.00,"2,1","10,1","6,7",,,"0,1"
14/11/2014 4.00,"1,9","9,1","6,1","10,0","0,1",
14/11/2014 5.00,"2,0","20,6","13,8",,"0,1",
14/11/2014 6.00,"2,2","32,8","23,7","8,5","0,1","0,1"
14/11/2014 7.00,"2,1","24,9","14,0",,"0,1","0,1"
14/11/2014 8.00,"4,1","114,0","47,1","17,1","0,2","0,2"
14/11/2014 9.00,"2,6","17,2","11,5",,"0,1","0,1"
14/11/2014 10.00,"1,9","10,5","6,8","12,9","0,1",
14/11/2014 11.00,"2,0","6,4","3,4",,"0,1","0,1"
14/11/2014 12.00,"2,0","9,3","5,1","10,3","0,1","0,1"
14/11/2014 13.00,"1,9","7,7","4,4",,"0,1",
14/11/2014 14.00,"2,3","32,0","20,8","8,8","0,1","0,1"
14/11/2014 15.00,"2,6","19,2","11,7",,"0,1",
14/11/2014 16.00,"2,1","13,3","8,9","10,7","0,2","0,1"
14/11/2014 17.00,"1,9","10,2","7,4",,"0,2","0,2"
14/11/2014 18.00,"2,0","15,0","10,7","20,0","0,2","0,2"
14/11/2014 19.00,"2,1","33,5","25,6",,"0,2","0,4"
14/11/2014 20.00,"2,0","36,5","29,0","18,8","0,2","0,5"
14/11/2014 21.00,"2,7","61,5","40,7",,"0,2","0,5"
14/11/2014 22.00,"2,1","13,9","9,2","21,2","0,2","0,4"
14/11/2014 23.00,"1,9","9,2","6,2",,"0,2","0,3"
15/11/2014 0.00,"1,9","5,2","2,8","13,2","0,2","0,3"
15/11/2014 1.00,"2,0","5,0","2,7",,"0,2","0,3"
15/11/2014 2.00,"2,2","5,3","3,0","15,6","0,2","0,3"
15/11/2014 3.00,"2,0","6,7","4,4",,"0,2","0,3"
15/11/2014 4.00,"2,0","5,7","3,4","11,5","0,2","0,1"
15/11/2014 5.00,"1,9","7,8","4,7",,"0,1","0,2"
15/11/2014 6.00,"2,2","10,5","4,8","9,0","0,1","0,2"
15/11/2014 7.00,"2,2","15,3","7,6",,"0,2","0,2"
15/11/2014 8.00,"2,3","19,2","8,4","11,5","0,1","0,2"
15/11/2014 9.00,"2,5","33,4","17,4",,"0,2","0,3"
15/11/2014 10.00,"2,1","36,8","24,6","17,3","0,5","0,5"
15/11/2014 11.00,"2,2","29,4","20,0",,"0,2","1,2"
15/11/2014 12.00,"2,2","23,8","16,0","21,5","0,2","0,9"
15/11/2014 13.00,"2,8","20,8","13,2",,"0,2","0,4"
15/11/2014 14.00,"3,2","21,1","13,7","15,9","0,2","0,3"
15/11/2014 15.00,"2,7","19,1","12,6",,"0,1","0,3"
15/11/2014 16.00,"2,0","16,5","12,4","16,6","0,1","0,2"
15/11/2014 17.00,"2,0","11,2","8,7",,"0,1","0,2"
15/11/2014 18.00,"2,3","11,4","9,0","16,1","0,3","0,3"
15/11/2014 19.00,"2,6","16,6","14,3",,"0,4","0,8"
15/11/2014 20.00,"2,5","11,6","9,3","9,3","0,1","0,4"
15/11/2014 21.00,"2,5","20,4","17,4",,"0,1","0,4"
15/11/2014 22.00,"2,5","24,4","20,7","11,5","0,1","0,3"
15/11/2014 23.00,"2,5","21,8","18,5",,"0,1","0,4"
16/11/2014 0.00,"2,1","10,1","7,0","14,7","0,1","0,1"
16/11/2014 1.00,,"8,7","5,5",,"0,1","0,2"
16/11/2014 2.00,"2,7",,,"16,6","0,1","0,2"
16/11/2014 3.00,"3,1","15,7","12,3",,,"0,1"
16/11/2014 4.00,"2,4","7,7","5,4","10,5","0,2","0,2"
16/11/2014 5.00,"3,3","10,0","7,7",,"0,2",
16/11/2014 6.00,"2,4","8,4","6,1","9,5","0,2","0,3"
16/11/2014 7.00,"2,0","13,5","11,1",,"0,2","0,1"
16/11/2014 8.00,"2,5","10,1","7,5","18,1","0,2","0,2"
16/11/2014 9.00,"3,4","24,4","17,6",,"0,3","0,4"
16/11/2014 10.00,"2,7","12,8","7,6","16,1","0,2","0,3"
16/11/2014 11.00,"2,2","10,4","6,3",,"0,2","0,2"
16/11/2014 12.00,"2,0","12,7","7,7","15,1","0,2","0,2"
16/11/2014 13.00,"2,2","12,2","7,3",,"0,2","0,2"
16/11/2014 14.00,"2,1","10,3","6,3","7,6","0,2","0,1"
16/11/2014 15.00,"3,0","16,3","11,4",,"0,2","0,1"
16/11/2014 16.00,"3,2","24,9","19,9","10,7","0,2","0,2"
16/11/2014 17.00,"2,8","19,5","16,4",,"0,2","0,4"
16/11/2014 18.00,"2,7","13,0","10,3","13,7","0,2","0,3"
16/11/2014 19.00,"3,3","25,6","22,9",,"0,2","0,4"
16/11/2014 20.00,"3,4","16,7","13,0","14,2","0,2","0,2"
16/11/2014 21.00,"3,2","17,1","13,5",,"0,2","0,1"
16/11/2014 22.00,"3,1","22,8","18,6","12,7","0,2",
16/11/2014 23.00,"2,4","15,7","11,6",,"0,2","0,1"
17/11/2014 0.00,"3,3","11,8","8,5","11,5","0,1","0,1"
17/11/2014 1.00,"2,5","6,9","4,1",,"0,1",
17/11/2014 2.00,"2,0","5,6","2,9","13,7","0,1",
17/11/2014 3.00,"2,0","7,3","4,6",,"0,1","0,1"
17/11/2014 4.00,"2,3","7,6","5,0","7,8","0,1",
17/11/2014 5.00,"2,3","8,7","5,7",,"0,1",
17/11/2014 6.00,"2,3","19,8","10,0","9,0","0,1","0,1"
17/11/2014 7.00,"2,6","24,6","13,5",,"0,1",
17/11/2014 8.00,"3,0","41,8","23,6","18,1","0,1",
17/11/2014 9.00,"2,2","15,3","9,8",,"0,2","0,1"
17/11/2014 10.00,"2,3","15,3","10,2","11,0","0,2","0,2"
17/11/2014 11.00,"2,4","32,3","22,0",,"0,1","0,1"
17/11/2014 12.00,"2,6","36,7","23,7","6,6","0,2","0,1"
17/11/2014 13.00,"2,4","36,9","27,3",,"0,2","0,2"
17/11/2014 14.00,"3,1","48,8","35,4","12,9","0,2","0,2"
17/11/2014 15.00,"3,4","57,0","40,4",,"0,2","0,4"
17/11/2014 16.00,"2,7","33,2","26,6","18,1","0,2","0,3"
17/11/2014 17.00,"2,5","44,5","34,5",,"0,2","0,1"
17/11/2014 18.00,"2,2","42,0","33,3","22,0","0,1","0,3"
17/11/2014 19.00,"2,2","31,7","27,0",,"0,1","0,4"
17/11/2014 20.00,"2,1","33,7","28,0","12,9","0,1","0,4"
17/11/2014 21.00,"2,7","22,1","19,2",,"0,1","0,3"
17/11/2014 22.00,"3,1","20,7","17,5","10,3","0,2","0,4"
17/11/2014 23.00,"2,8","9,5","6,2",,"0,1","0,1"
18/11/2014 0.00,"2,6","6,6","3,5","13,7","0,1","0,1"
18/11/2014 1.00,,"5,9","3,3",,"0,1","0,1"
18/11/2014 2.00,"3,1",,,"14,7","0,1","0,1"
18/11/2014 3.00,"2,8","19,3","16,3",,,"0,3"
18/11/2014 4.00,"2,3","11,3","8,6","18,8","0,2","0,3"
18/11/2014 5.00,"2,6","14,3","10,6",,"0,2",
18/11/2014 6.00,"2,4","22,7","16,8","19,5","0,2","0,2"
18/11/2014 7.00,"2,0","21,7","19,0",,"0,2","0,2"
18/11/2014 8.00,"2,2","33,8","30,1","20,0","0,3","0,3"
18/11/2014 9.00,"3,0","43,8","34,4",,"0,2","0,5"
18/11/2014 10.00,"3,8","48,6","34,8","26,6","0,2","0,4"
18/11/2014 11.00,"3,8","26,5","15,9",,"0,2","0,2"
18/11/2014 12.00,"2,8","22,2","13,5","21,7","0,2","0,1"
18/11/2014 13.00,"3,3","28,0","17,6",,"0,2","0,1"
18/11/2014 14.00,"3,2","27,7","17,3","19,8","0,2","0,1"
18/11/2014 15.00,"3,5","30,7","20,0",,"0,2","0,1"
18/11/2014 16.00,"3,9","42,3","31,2","21,5","0,2","0,2"
18/11/2014 17.00,"3,9","52,1","43,1",,"0,2","0,4"
18/11/2014 18.00,"3,2","37,6","33,8","23,9","0,2","0,4"
18/11/2014 19.00,"3,5","41,8","33,4",,"0,2","0,3"
18/11/2014 20.00,"2,7","22,7","19,8","23,4","0,2","0,6"
18/11/2014 21.00,"2,0","21,3","16,8",,"0,4","0,9"
18/11/2014 22.00,"3,5","39,2","25,9","31,5","0,3","1,5"
18/11/2014 23.00,"2,7","17,9","15,0",,"0,3","0,9"
19/11/2014 0.00,"2,6","24,9","19,2","26,9","0,2","0,6"
19/11/2014 1.00,"3,0","10,9","8,4",,"0,2","0,3"
19/11/2014 2.00,"2,7","8,3","5,9","19,0","0,2","0,3"
19/11/2014 3.00,"1,9","11,7","8,5",,"0,1","0,2"
19/11/2014 4.00,"2,1","9,9","7,3","12,5","0,1","0,2"
19/11/2014 5.00,"2,5","10,0","6,8",,"0,1","0,1"
19/11/2014 6.00,"3,3","42,0","19,1","10,5","0,1","0,1"
19/11/2014 7.00,"2,8","46,4","25,5",,"0,1","0,1"
19/11/2014 8.00,"4,4","75,9","30,9","22,2","0,2","0,2"
19/11/2014 9.00,"3,7","35,5","21,7",,"0,2","0,1"
19/11/2014 10.00,"3,2","54,9","32,4","16,1","0,2","0,2"
19/11/2014 11.00,"2,6","35,0","21,0",,"0,2","0,1"
19/11/2014 12.00,"2,6","41,9","26,6","10,5","0,2","0,3"
19/11/2014 13.00,"2,1","24,9","16,3",,"0,2","0,4"
19/11/2014 14.00,"1,9","25,3","17,0","10,7","0,2","0,1"
19/11/2014 15.00,"1,5","25,3","16,7",,"0,3","0,1"
19/11/2014 16.00,"1,3","27,7","18,3","14,2","0,3",
19/11/2014 17.00,"1,5","41,2","32,3",,"0,3","0,2"
19/11/2014 18.00,"1,4","19,7","12,6","13,7","0,4","0,7"
19/11/2014 19.00,"1,7","40,0","32,9",,"0,4","2,2"
19/11/2014 20.00,"1,4","27,6","20,6","13,2","0,3","0,7"
19/11/2014 21.00,"2,4","67,7","48,4",,"0,3","0,4"
19/11/2014 22.00,"1,3","28,4","22,1","18,1","0,3","0,3"
19/11/2014 23.00,"1,3","46,5","33,3",,"0,3","0,4"
20/11/2014 0.00,"1,3","25,8","18,5","16,1","0,3","0,4"
20/11/2014 1.00,,"13,4","10,9",,"0,3","0,3"
20/11/2014 2.00,"1,3",,,"9,5","0,3","0,2"
20/11/2014 3.00,"1,3","10,6","8,0",,,"0,3"
20/11/2014 4.00,"1,3","7,1","4,6","12,0","0,1","0,1"
20/11/2014 5.00,"1,3","16,7","13,4",,"0,1",
20/11/2014 6.00,"1,7","43,6","27,2","9,5","0,1","0,2"
20/11/2014 7.00,"2,2","74,7","42,7",,"0,2","0,2"
20/11/2014 8.00,"3,0","99,5","41,2","17,1","0,2","0,3"
20/11/2014 9.00,"1,5","47,3","25,7",,"0,2","0,4"
20/11/2014 10.00,"1,3","31,3","18,0","18,8","0,2","0,4"
20/11/2014 11.00,"1,3","12,9","7,7",,"0,1","0,2"
20/11/2014 12.00,"1,3","6,7","3,4","10,5","0,1","0,2"
20/11/2014 13.00,"1,3","6,6","3,3",,"0,1","0,2"
20/11/2014 14.00,"1,3","7,9","4,8","6,3","0,1","0,2"
20/11/2014 15.00,"1,5","9,1","5,8",,"0,2","0,3"
20/11/2014 16.00,"1,9","7,6","4,6","4,9","0,2","0,1"
20/11/2014 17.00,"1,3","9,1","6,1",,"0,2","0,3"
20/11/2014 18.00,"1,3","43,9","35,6","11,0","0,2","0,4"
20/11/2014 19.00,"1,3","32,8","29,0",,"0,2","0,4"
20/11/2014 20.00,"1,3","24,2","20,8","11,5","0,2","0,5"
20/11/2014 21.00,"1,3","17,5","14,5",,"0,2","0,7"
20/11/2014 22.00,"1,5","47,7","34,2","11,5","0,2","0,6"
20/11/2014 23.00,"1,3","33,4","28,1",,"0,3","0,8"
21/11/2014 0.00,"1,3","17,1","14,3","16,6","0,2","1,1"
21/11/2014 1.00,"1,3","12,1","9,5",,"0,2","0,8"
21/11/2014 2.00,"1,3","11,4","8,8","12,9","0,2","0,5"
21/11/2014 3.00,"1,3","15,4","12,3",,"0,2","0,6"
21/11/2014 4.00,"1,3","28,9","18,8","14,7","0,2","0,5"
21/11/2014 5.00,"1,6","26,7","16,6",,"0,2","0,5"
21/11/2014 6.00,"1,4","20,0","14,2","10,7","0,2","0,5"
21/11/2014 7.00,"1,3","12,1","8,1",,"0,2","0,5"
21/11/2014 8.00,"3,4","108,3","38,4","9,8","0,3","0,6"
21/11/2014 9.00,"3,0","75,6","35,5",,"0,3","1,2"
21/11/2014 10.00,"1,9","49,0","26,1","24,9","0,2","1,4"
21/11/2014 11.00,"1,4","32,6","17,8",,"0,2","0,8"
21/11/2014 12.00,"1,3","7,7","4,4","14,2","0,1","0,4"
21/11/2014 13.00,"1,3","9,2","5,6",,"0,2","0,3"
21/11/2014 14.00,"1,7","8,8","5,4","8,5","0,1","0,3"
21/11/2014 15.00,"1,3","8,3","4,9",,"0,1","0,3"
21/11/2014 16.00,"1,3","8,8","5,7","9,3","0,1","0,3"
21/11/2014 17.00,"1,3","9,5","6,6",,"0,1","0,3"
21/11/2014 18.00,"1,8","46,1","25,0","9,8","0,2","0,3"
21/11/2014 19.00,"1,5","44,1","30,1",,"0,2","0,4"
21/11/2014 20.00,"1,3","45,4","34,9","13,9","0,2","0,5"
21/11/2014 21.00,"1,8","52,8","37,1",,"0,2","0,6"
21/11/2014 22.00,"1,3","21,1","16,3","18,8","0,2","0,5"
21/11/2014 23.00,"1,3","21,3","18,2",,"0,2","0,5"
22/11/2014 0.00,"1,7","42,5","30,5","17,1","0,3","0,8"
22/11/2014 1.00,,"7,8","5,3",,"0,2","0,7"
22/11/2014 2.00,"1,7",,,"20,0","0,2","0,6"
22/11/2014 3.00,"1,3","7,6","5,1",,,"0,5"
22/11/2014 4.00,"1,3","10,1","5,2","13,2","0,2","0,5"
22/11/2014 5.00,"1,3","15,0","7,5",,"0,2",
22/11/2014 6.00,"1,3","14,0","9,5","19,3","0,2","0,4"
22/11/2014 7.00,"1,3","14,6","10,1",,"0,2","0,4"
22/11/2014 8.00,"1,3","23,0","16,7","12,9","0,2","0,4"
22/11/2014 9.00,"2,7","75,2","29,6",,"0,3","0,5"
22/11/2014 10.00,"2,6","62,8","32,2","27,1","0,4","1,1"
22/11/2014 11.00,"1,3","25,3","16,1",,"0,3","1,0"
22/11/2014 12.00,"1,3","8,8","5,4","16,4","0,2","0,5"
22/11/2014 13.00,"1,3","12,1","7,9",,"0,2","0,5"
22/11/2014 14.00,"1,3","6,5","4,0","9,0","0,2","0,4"
22/11/2014 15.00,"1,3","7,0","4,4",,"0,2","0,4"
22/11/2014 16.00,"1,3","10,0","6,9","10,5","0,3","0,5"
22/11/2014 17.00,"1,3","9,0","6,4",,"0,2","0,4"
22/11/2014 18.00,"1,3","9,1","6,7","15,9","0,3","0,5"
22/11/2014 19.00,"1,3","13,2","10,7",,"0,2","0,5"
22/11/2014 20.00,"1,3","30,7","23,8","12,9","0,3","0,5"
22/11/2014 21.00,"1,3","26,8","22,6",,"0,3","0,7"
22/11/2014 22.00,"1,3","14,6","12,1","28,3","0,3","0,7"
22/11/2014 23.00,"1,3","12,0","9,6",,"0,3","0,7"
23/11/2014 0.00,"1,3","27,8","21,5","24,7","0,3","0,7"
23/11/2014 1.00,"1,3","9,6","6,8",,"0,2","0,6"
23/11/2014 2.00,"1,3","9,3","6,3","41,3","0,2","0,4"
23/11/2014 3.00,"1,3","7,2","4,6",,"0,2","0,4"
23/11/2014 4.00,"1,3","18,1","14,7","21,2","0,2","0,3"
23/11/2014 5.00,"1,5","27,1","19,9",,"0,2","0,4"
23/11/2014 6.00,"1,6","48,4","28,8","17,3","0,2","0,4"
23/11/2014 7.00,"2,2","57,2","34,8",,"0,2","0,5"
23/11/2014 8.00,"1,9","66,2","33,9","17,6","0,3","0,5"
23/11/2014 9.00,"2,6","78,1","32,3",,"0,3","0,5"
23/11/2014 10.00,"1,5","33,4","20,0","24,9","0,3","0,9"
23/11/2014 11.00,"1,3","11,7","7,3",,"0,2","0,7"
23/11/2014 12.00,"1,3","5,6","2,9","14,7","0,2","0,5"
23/11/2014 13.00,"1,3","9,2","5,2",,"0,2","0,5"
23/11/2014 14.00,"1,3","5,6","3,1","11,5","0,2","0,3"
23/11/2014 15.00,"1,3","7,1","4,5",,"0,2","0,4"
23/11/2014 16.00,"1,3","7,2","4,6","7,1","0,2","0,4"
23/11/2014 17.00,"1,3","5,6","3,3",,"0,2","0,4"
23/11/2014 18.00,"1,3","8,4","5,9","18,6","0,2","0,4"
23/11/2014 19.00,"1,3","5,4","3,0",,"0,2","0,5"
23/11/2014 20.00,"1,3","5,7","3,4","17,1","0,2","0,4"
23/11/2014 21.00,"1,3","6,1","3,8",,"0,2","0,4"
23/11/2014 22.00,"1,3","5,9","3,6","22,5","0,2","0,4"
23/11/2014 23.00,"1,3","5,1","2,8",,"0,2","0,4"
24/11/2014 0.00,"1,3","6,5","4,2","32,7","0,2","0,4"
24/11/2014 1.00,,"7,2","4,9",,"0,2","0,5"
24/11/2014 2.00,"1,3",,,"38,1","0,2","0,5"
24/11/2014 3.00,"1,5","7,2","4,9",,,"0,4"
24/11/2014 4.00,"1,9","8,8","5,5","27,4","0,2","0,4"
24/11/2014 5.00,"1,5","22,0","11,0",,"0,2",
24/11/2014 6.00,"2,7","69,7","24,7","22,7","0,2","0,3"
24/11/2014 7.00,"5,0","174,1","47,4",,"0,3","0,4"
24/11/2014 8.00,"2,9","86,0","31,2","29,8","0,2","0,4"
24/11/2014 9.00,"3,9","113,3","39,9",,"0,3","0,8"
24/11/2014 10.00,"2,1","43,8","23,0","24,2","0,3","1,2"
24/11/2014 11.00,"1,3","8,2","4,4",,"0,2","0,4"
24/11/2014 12.00,"1,3","7,6","4,1","13,4","0,2","0,2"
24/11/2014 13.00,"1,3","7,1","3,6",,"0,2","0,3"
24/11/2014 14.00,"1,3","8,4","4,7","8,1","0,2","0,3"
24/11/2014 15.00,"1,4","8,9","5,7",,"0,3","0,3"
24/11/2014 16.00,"1,3","10,0","7,0","10,7","0,3","0,4"
24/11/2014 17.00,"1,3","10,3","7,6",,"0,3","0,3"
24/11/2014 18.00,"1,3","21,6","16,8","37,6","0,3","0,5"
24/11/2014 19.00,"1,3","20,7","16,9",,"0,3","0,8"
24/11/2014 20.00,"1,5","9,6","7,3","33,7","0,3","0,4"
24/11/2014 21.00,"1,3","13,5","10,5",,"0,3","0,6"
24/11/2014 22.00,"2,2","52,8","33,8","36,6","0,3","0,6"
24/11/2014 23.00,"1,5","29,8","23,4",,"0,3","0,6"
25/11/2014 0.00,"1,3","38,8","29,4","37,1","0,3","0,7"
25/11/2014 1.00,"1,3","24,0","19,9",,"0,3","0,9"
25/11/2014 2.00,"1,3","17,5","13,9","38,8","0,3","0,8"
25/11/2014 3.00,"1,3","14,5","10,1",,"0,3","0,7"
25/11/2014 4.00,"1,4","15,8","11,3","32,5","0,3","0,5"
25/11/2014 5.00,"1,4","22,1","15,4",,"0,2","0,3"
25/11/2014 6.00,"1,3","8,3","4,9","29,3","0,2","0,2"
25/11/2014 7.00,"2,0","48,9","28,8",,"0,3","0,3"
25/11/2014 8.00,"4,2","130,1","48,2","26,6","0,3","0,3"
25/11/2014 9.00,"3,4","95,8","41,1",,"0,4","0,5"
25/11/2014 10.00,"3,0","64,2","33,2","28,6","0,3","0,8"
25/11/2014 11.00,"3,3","71,4","40,9",,"0,3","0,6"
25/11/2014 12.00,"3,1","49,9","29,3","25,9","0,3","0,6"
25/11/2014 13.00,"3,1","38,4","25,1",,"0,3","0,4"
25/11/2014 14.00,"2,2","29,5","21,7","35,2","0,3","0,5"
25/11/2014 15.00,"1,7","34,4","24,0",,"0,3","0,5"
25/11/2014 16.00,"1,5","24,7","19,0","38,3","0,3","0,5"
25/11/2014 17.00,"2,2","51,1","33,8",,"0,4","0,6"
25/11/2014 18.00,"2,9","61,7","38,9","84,0","0,4","0,9"
25/11/2014 19.00,"2,1","41,6","24,1",,"0,4","1,4"
25/11/2014 20.00,"2,6","34,6","25,9","72,8","0,6","1,7"
25/11/2014 21.00,"2,0","25,3","19,0",,"0,7","2,7"
25/11/2014 22.00,"2,8","22,9","20,1","72,3","0,7","3,0"
25/11/2014 23.00,"1,6","17,2","14,8",,"0,6","2,6"
26/11/2014 0.00,"2,8","16,3","13,1","63,2","0,6","2,2"
26/11/2014 1.00,,"13,2","10,8",,"0,4","1,6"
26/11/2014 2.00,"3,1",,,"56,4","0,4","1,1"
26/11/2014 3.00,"1,7","16,5","14,1",,,"0,8"
26/11/2014 4.00,"2,2","16,7","14,0","46,2","0,3","0,8"
26/11/2014 5.00,"2,1","7,3","4,9",,"0,3",
26/11/2014 6.00,"1,3","15,5","12,6","46,2","0,3","0,7"
26/11/2014 7.00,"1,5","14,0","10,3",,"0,3","0,8"
26/11/2014 8.00,"2,6","29,7","15,8","45,7","0,3","0,8"
26/11/2014 9.00,"3,0","59,5","36,9",,"0,3","0,9"
26/11/2014 10.00,"3,1","37,6","27,4","28,1","0,3","1,0"
26/11/2014 11.00,"3,3","37,1","27,7",,"0,3","0,8"
26/11/2014 12.00,"3,3","29,3","22,4","28,8","0,3","0,9"
26/11/2014 13.00,"3,3","38,1","25,2",,"0,3","0,9"
26/11/2014 14.00,"3,3","22,7","15,3","21,0","0,3","0,7"
26/11/2014 15.00,"3,3","21,8","15,0",,"0,2","0,5"
26/11/2014 16.00,"3,3","44,5","32,8","11,5","0,2","0,4"
26/11/2014 17.00,"3,6","79,0","52,9",,"0,2","0,4"
