Stat,MARTINA FRANCA,,,,
31/03/2014 15.00,"38,0","25,0","0,5","91,6",
31/03/2014 16.00,"42,5","27,8","0,5","89,7","12,7"
31/03/2014 17.00,"48,5","32,5","0,5","82,2",
31/03/2014 18.00,"55,2","38,5","0,6","67,7","10,7"
31/03/2014 19.00,"104,4","58,7","0,9","34,8",
31/03/2014 20.00,"111,4","63,5","1,0","26,2","13,2"
31/03/2014 21.00,"84,5","50,8","0,8","15,0",
31/03/2014 22.00,"38,5","31,2","0,6","19,6","21,0"
31/03/2014 23.00,"35,1","27,7","0,6","17,5",
01/04/2014 0.00,"33,8","24,2","0,5","26,9","36,1"
01/04/2014 1.00,"6,6","6,0","0,3","85,3",
01/04/2014 2.00,"5,2","4,7","0,3","85,2","27,8"
01/04/2014 3.00,"8,8","7,2","0,3","67,5",
01/04/2014 4.00,"24,6","14,6","0,3","34,8","17,6"
01/04/2014 5.00,"299,6","58,3","0,4","12,2",
01/04/2014 6.00,"472,2","91,1","0,7","0,4","14,2"
01/04/2014 7.00,"244,7","76,0","1,1","2,1",
01/04/2014 8.00,"119,8","53,6","0,9","28,4","18,1"
01/04/2014 9.00,"47,4","30,5","0,6","67,9",
01/04/2014 10.00,"33,3","22,7","0,5","85,7","24,9"
01/04/2014 11.00,"32,4","22,4","0,4","91,6",
01/04/2014 12.00,"47,5","31,3","0,5","87,3","19,0"
01/04/2014 13.00,"61,5","36,6","0,5","90,8",
01/04/2014 14.00,"35,2","24,6","0,4","101,9","13,2"
01/04/2014 15.00,"39,9","26,6","0,5","95,6",
01/04/2014 16.00,"42,1","27,7","0,5","95,2","15,6"
01/04/2014 17.00,"47,7","33,5","0,5","90,8",
01/04/2014 18.00,"70,9","47,8","0,6","70,7","8,3"
01/04/2014 19.00,"81,5","52,9","0,7","49,5",
01/04/2014 20.00,"88,2","58,6","0,7","23,6","13,7"
01/04/2014 21.00,"118,8","58,9","0,7","21,9",
01/04/2014 22.00,"45,2","34,0","0,5","51,2","24,9"
01/04/2014 23.00,"19,3","17,7","0,4","78,6",
02/04/2014 0.00,"9,2","8,7","0,3","84,9","26,9"
02/04/2014 1.00,"5,1","4,6","0,3","84,9",
02/04/2014 2.00,,,"0,3","58,8","23,4"
02/04/2014 3.00,"11,0","10,3",,"57,6",
02/04/2014 4.00,"18,0","13,7","0,2",,"15,1"
02/04/2014 5.00,"140,6","62,5","0,3","5,8",
02/04/2014 6.00,"136,2","58,8","0,4","29,4","14,6"
02/04/2014 7.00,"163,0","72,7","0,8","9,9",
02/04/2014 8.00,"57,9","39,0","0,6","48,0","11,2"
02/04/2014 9.00,"47,8","30,9","0,4","62,5",
02/04/2014 10.00,"50,0","30,4","0,3","70,5","17,1"
02/04/2014 11.00,"47,3","28,4","0,4","83,9",
02/04/2014 12.00,"61,3","37,0","0,4","77,6","14,6"
02/04/2014 13.00,"71,1","39,8","0,4","80,2",
02/04/2014 14.00,"44,4","27,9","0,3","96,9","12,2"
02/04/2014 15.00,"46,7","31,2","0,4","94,0",
02/04/2014 16.00,"48,0","32,7","0,4","87,5","9,8"
02/04/2014 17.00,"58,7","37,8","0,4","79,9",
02/04/2014 18.00,"58,0","39,7","0,5","77,3","17,6"
02/04/2014 19.00,"59,1","41,7","0,5","65,6",
02/04/2014 20.00,,,,,
02/04/2014 21.00,"55,9","37,1","0,9","38,0",
02/04/2014 22.00,"20,1","16,8","0,8","76,6","9,3"
02/04/2014 23.00,"11,4","10,5","0,7","77,3",
03/04/2014 0.00,"15,5","12,7","0,8","69,5","28,8"
03/04/2014 1.00,"6,8","6,0","0,7","86,5",
03/04/2014 2.00,"3,2","2,6","0,6","97,5","25,4"
03/04/2014 3.00,"3,9","3,5","0,7","88,3",
03/04/2014 4.00,"43,4","23,1","0,8","57,7","15,6"
03/04/2014 5.00,"213,2","65,8","0,7","23,0",
03/04/2014 6.00,"153,3","70,7","0,8","28,8","14,6"
03/04/2014 7.00,"89,4","51,1","0,9","34,9",
03/04/2014 8.00,"60,1","32,7","0,8","63,9","14,6"
03/04/2014 9.00,"26,0","16,9","0,7","85,5",
03/04/2014 10.00,"20,1","13,3","0,6","90,8","12,7"
03/04/2014 11.00,"24,6","15,5","0,6","97,9",
03/04/2014 12.00,"20,8","13,2","0,6","100,7","12,2"
03/04/2014 13.00,"23,4","13,8","0,6","101,5",
03/04/2014 14.00,"13,7","8,5","0,6","103,9","6,8"
03/04/2014 15.00,"13,5","8,1","0,6","104,0",
03/04/2014 16.00,"14,2","8,9","0,6","100,1","6,3"
03/04/2014 17.00,"17,5","10,9","0,6","94,8",
03/04/2014 18.00,"21,9","13,7","0,6","90,5","8,8"
03/04/2014 19.00,"27,0","16,7","0,7","85,0",
03/04/2014 20.00,"17,8","10,5","0,6","84,4","7,3"
03/04/2014 21.00,"13,1","8,0","0,5","81,1",
03/04/2014 22.00,"4,0","2,5","0,5","85,9","10,3"
03/04/2014 23.00,"2,7","1,6","0,5","92,2",
04/04/2014 0.00,"1,5","0,9","0,5","94,8","14,2"
04/04/2014 1.00,"1,0","0,5","0,5","92,2",
04/04/2014 2.00,,,"0,5","90,5","8,8"
04/04/2014 3.00,"7,3","6,8",,"91,1",
04/04/2014 4.00,"6,3","4,9","0,1",,"12,7"
04/04/2014 5.00,"8,4","5,9","0,1","87,3",
04/04/2014 6.00,"17,6","11,4","0,2","80,0","7,3"
04/04/2014 7.00,"19,4","11,2","0,2","77,0",
04/04/2014 8.00,"21,1","11,8","0,2","75,5","4,9"
04/04/2014 9.00,"11,8","7,0","0,2","79,7",
04/04/2014 10.00,"11,8","6,7","0,2","81,2","9,8"
04/04/2014 11.00,"15,8","9,2","0,2","78,3",
04/04/2014 12.00,"22,3","11,5","0,2","73,8","5,9"
04/04/2014 13.00,"18,9","9,6","0,2","77,4",
04/04/2014 14.00,"9,7","5,5","0,1","79,3","10,3"
04/04/2014 15.00,"12,1","6,9","0,2","83,3",
04/04/2014 16.00,,,"0,1","82,6","9,3"
04/04/2014 17.00,,,"0,2","79,8",
04/04/2014 18.00,"34,0","24,1","0,3","78,6",
04/04/2014 19.00,"36,4","24,1","0,2","77,6",
04/04/2014 20.00,"62,8","40,5","0,3","50,9",
04/04/2014 21.00,"74,9","49,3","0,5","33,2",
04/04/2014 22.00,"27,3","20,3","0,2","69,7","21,0"
04/04/2014 23.00,"19,1","14,2","0,1","74,9",
05/04/2014 0.00,"9,4","7,9","0,2","68,0","15,1"
05/04/2014 1.00,"16,5","13,6","0,3","50,2",
05/04/2014 2.00,"14,2","13,5","0,3","60,0","7,8"
05/04/2014 3.00,"11,7","7,8","0,2","71,7",
05/04/2014 4.00,"13,0","8,5","0,2","69,7","6,8"
05/04/2014 5.00,"379,3","72,7","0,5","26,8",
05/04/2014 6.00,"544,8","96,8","0,4","0,2","6,8"
05/04/2014 7.00,"214,0","68,7","0,4","12,9",
05/04/2014 8.00,"86,0","44,1","0,3","43,5","4,4"
05/04/2014 9.00,"40,3","23,7","0,2","59,6",
05/04/2014 10.00,"32,8","20,7","0,2","71,1","5,4"
05/04/2014 11.00,"33,4","20,6","0,2","75,2",
05/04/2014 12.00,"45,6","26,2","0,2","73,8","7,3"
05/04/2014 13.00,"49,7","28,7","0,2","70,9",
05/04/2014 14.00,"19,0","11,6","0,1","88,7","4,4"
05/04/2014 15.00,"23,9","16,7","0,2","81,6",
05/04/2014 16.00,"33,3","21,5","0,2","77,8","3,4"
05/04/2014 17.00,"44,1","28,6","0,3","69,2",
05/04/2014 18.00,"86,5","49,0","0,5","43,1","4,9"
05/04/2014 19.00,"103,8","59,1","0,4","27,6",
05/04/2014 20.00,"120,7","63,3","0,5","18,1","6,8"
05/04/2014 21.00,"83,7","49,5","0,4","31,4",
05/04/2014 22.00,"38,0","27,4","0,2","55,9","11,7"
05/04/2014 23.00,"30,8","23,1","0,2","64,2",
06/04/2014 0.00,"30,7","22,9","0,2","61,4","13,2"
06/04/2014 1.00,"24,7","19,2","0,1","64,3",
06/04/2014 2.00,,,"0,1","53,8","9,3"
06/04/2014 3.00,,,,"49,5",
06/04/2014 4.00,,,"0,1",,"9,3"
06/04/2014 5.00,,,"0,1","52,6",
06/04/2014 6.00,,,"0,1","63,1","5,4"
06/04/2014 7.00,,,"0,2","61,9",
06/04/2014 8.00,,,"0,2","59,7","5,9"
06/04/2014 9.00,,,"0,2","60,6",
06/04/2014 10.00,,,"0,2","62,3","6,3"
06/04/2014 11.00,,,"0,3","69,4",
06/04/2014 12.00,,,"0,3","71,1","4,9"
06/04/2014 13.00,,,"0,2","78,5",
06/04/2014 14.00,,,"0,2","73,0","7,8"
06/04/2014 15.00,,,"0,2","83,4",
06/04/2014 16.00,,,"0,1","83,8","6,8"
06/04/2014 17.00,,,"0,2","78,5",
06/04/2014 18.00,,,"0,2","73,4","8,3"
06/04/2014 19.00,,,"0,2","62,5",
06/04/2014 20.00,,,"0,2","65,5","8,3"
06/04/2014 21.00,,,"0,2","59,2",
06/04/2014 22.00,,,"0,3","54,8","18,6"
06/04/2014 23.00,,,"0,2","65,8",
07/04/2014 0.00,,,"0,1","71,4","15,6"
07/04/2014 1.00,,,"0,2","62,2",
07/04/2014 2.00,,,"0,1","60,1","16,1"
07/04/2014 3.00,,,"0,1","62,2",
07/04/2014 4.00,,,"0,1","65,0","12,2"
07/04/2014 5.00,,,"0,1","61,6",
07/04/2014 6.00,,,"0,3","46,2","10,3"
07/04/2014 7.00,,,"0,6","30,2",
07/04/2014 8.00,,,"0,7","27,1","7,3"
07/04/2014 9.00,,,"0,4","43,2",
07/04/2014 10.00,"47,5","30,2","0,3","52,8","14,2"
07/04/2014 11.00,"46,7","28,8","0,4","57,6",
07/04/2014 12.00,"52,8","32,0","0,4","58,2","14,6"
07/04/2014 13.00,"54,5","31,7","0,3","62,5",
07/04/2014 14.00,"30,4","19,2","0,3","73,4","10,3"
07/04/2014 15.00,"30,9","19,8","0,3","70,2",
07/04/2014 16.00,"35,0","22,2","0,3","71,7","8,3"
07/04/2014 17.00,"45,8","28,1","0,3","62,5",
07/04/2014 18.00,"51,1","33,1","0,4","56,2","8,8"
07/04/2014 19.00,"65,4","43,2","0,5","43,9",
07/04/2014 20.00,"65,6","42,8","0,5","41,9","8,8"
07/04/2014 21.00,"26,0","21,1","0,3","68,3",
07/04/2014 22.00,"13,0","11,2","0,2","84,1","16,6"
07/04/2014 23.00,"11,0","9,8","0,2","81,2",
08/04/2014 0.00,"9,2","7,7","0,2","76,1","14,2"
08/04/2014 1.00,"6,0","5,1","0,1","78,2",
08/04/2014 2.00,,,"0,1","76,6","14,2"
08/04/2014 3.00,"6,9","6,1",,"81,3",
08/04/2014 4.00,"6,1","5,3","0,2",,"11,2"
08/04/2014 5.00,"21,7","17,5","0,3","69,0",
08/04/2014 6.00,"102,7","53,1","0,4","41,7","7,3"
08/04/2014 7.00,"219,6","89,7","0,8","8,0",
08/04/2014 8.00,"106,2","60,7","0,8","31,7","12,2"
08/04/2014 9.00,"50,7","33,8","0,5","64,7",
08/04/2014 10.00,"44,2","29,7","0,4","77,6","17,6"
08/04/2014 11.00,"43,0","28,7","0,4","81,2",
08/04/2014 12.00,"60,6","39,0","0,5","78,9","13,2"
08/04/2014 13.00,"58,9","37,4","0,4","82,0",
08/04/2014 14.00,"36,4","24,9","0,3","93,2","7,8"
08/04/2014 15.00,"49,6","32,3","0,5","88,5",
08/04/2014 16.00,"53,9","35,4","0,5","84,2","7,8"
08/04/2014 17.00,"57,4","38,1","0,5","80,3",
08/04/2014 18.00,"78,9","48,6","0,5","66,4","5,4"
08/04/2014 19.00,"56,0","38,3","0,5","63,2",
08/04/2014 20.00,"54,8","42,2","0,7","54,2","9,3"
08/04/2014 21.00,"26,1","22,0","0,4","78,4",
08/04/2014 22.00,"26,4","24,7","0,5","67,2","16,1"
08/04/2014 23.00,"29,8","28,5","0,5","65,5",
09/04/2014 0.00,"27,1","25,5","0,3","57,5","12,2"
09/04/2014 1.00,"25,1","23,6","0,4","54,5",
09/04/2014 2.00,"18,3","17,1","0,3","51,0","14,2"
09/04/2014 3.00,"6,1","4,9","0,3","85,5",
09/04/2014 4.00,"4,0","3,5","0,2","94,5","11,2"
09/04/2014 5.00,"47,5","30,0","0,2","66,5",
09/04/2014 6.00,"67,9","48,1","0,3","48,3","8,8"
09/04/2014 7.00,"85,5","49,3","0,5","46,2",
09/04/2014 8.00,"70,9","44,1","0,5","54,3","7,8"
09/04/2014 9.00,"83,9","42,5","0,4","63,3",
09/04/2014 10.00,"81,2","38,9","0,3","66,5","8,8"
09/04/2014 11.00,"41,5","25,8","0,3","79,6",
09/04/2014 12.00,"60,5","35,1","0,4","71,1","7,8"
09/04/2014 13.00,"68,0","44,2","0,4","57,9",
09/04/2014 14.00,"97,3","57,0","0,4","36,1","11,7"
09/04/2014 15.00,"44,0","31,1","0,4","73,6",
09/04/2014 16.00,"44,6","32,3","0,4","71,5","17,6"
09/04/2014 17.00,"50,9","35,4","0,5","65,4",
09/04/2014 18.00,"54,2","36,8","0,5","59,4","14,2"
09/04/2014 19.00,"46,4","33,7","0,5","55,4",
09/04/2014 20.00,"33,8","24,4","0,4","70,3","19,5"
09/04/2014 21.00,"18,0","13,5","0,3","74,0",
09/04/2014 22.00,"8,0","6,3","0,3","80,5","18,1"
09/04/2014 23.00,"7,2","5,4","0,3","78,2",
10/04/2014 0.00,"4,4","3,0","0,3","79,3","18,6"
10/04/2014 1.00,"2,9","2,3","0,2","79,6",
10/04/2014 2.00,,,"0,2","78,7","12,7"
10/04/2014 3.00,"5,7","5,4",,"75,1",
10/04/2014 4.00,"4,8","4,4","0,2",,"7,8"
10/04/2014 5.00,"7,7","6,0","0,2","66,7",
10/04/2014 6.00,"27,8","19,3","0,3","57,2","4,9"
10/04/2014 7.00,"71,8","34,8","0,5","51,0",
10/04/2014 8.00,"62,2","33,4","0,5","58,7","3,4"
10/04/2014 9.00,"35,8","20,7","0,4","71,4",
10/04/2014 10.00,"30,5","17,6","0,3","76,2","2,9"
10/04/2014 11.00,"27,4","16,4","0,3","78,5",
10/04/2014 12.00,"32,5","18,5","0,3","77,2","2,4"
10/04/2014 13.00,"40,8","21,5","0,3","75,9",
10/04/2014 14.00,"19,2","11,7","0,3","86,0","2,0"
10/04/2014 15.00,"27,1","16,3","0,3","84,1",
10/04/2014 16.00,"41,0","23,8","0,4","78,2","2,0"
10/04/2014 17.00,"38,1","23,5","0,4","77,6",
10/04/2014 18.00,"47,0","29,6","0,4","69,6","2,0"
10/04/2014 19.00,"69,4","44,9","0,5","47,9",
10/04/2014 20.00,"91,5","54,0","0,5","31,8","2,4"
10/04/2014 21.00,"41,8","31,8","0,3","47,6",
10/04/2014 22.00,"17,2","15,0","0,3","70,4","5,9"
10/04/2014 23.00,"19,2","17,2","0,2","63,9",
11/04/2014 0.00,"17,4","15,9","0,3","56,9","8,8"
11/04/2014 1.00,"8,2","7,6","0,3","78,8",
11/04/2014 2.00,"8,3","6,8","0,2","71,8","5,4"
11/04/2014 3.00,"4,2","3,4","0,2","84,0",
11/04/2014 4.00,"9,4","7,9","0,2","75,2","7,3"
11/04/2014 5.00,"14,0","12,1","0,2","72,9",
11/04/2014 6.00,"49,9","35,6","0,4","49,0","3,9"
11/04/2014 7.00,"101,0","50,0","0,6","34,6",
11/04/2014 8.00,"89,8","48,8","0,6","46,2","2,0"
11/04/2014 9.00,"65,3","39,2","0,4","55,9",
11/04/2014 10.00,"73,4","40,7","0,4","56,8","6,3"
11/04/2014 11.00,"57,6","33,0","0,3","70,0",
11/04/2014 12.00,"62,1","36,3","0,4","71,0","14,6"
11/04/2014 13.00,"61,5","36,1","0,4","72,5",
11/04/2014 14.00,"34,7","23,7","0,3","81,9","9,3"
11/04/2014 15.00,"36,6","24,0","0,3","82,6",
11/04/2014 16.00,"51,2","32,2","0,4","75,5","4,9"
11/04/2014 17.00,"43,6","28,6","0,3","75,8",
11/04/2014 18.00,"70,3","43,2","0,6","62,8","3,4"
11/04/2014 19.00,"81,8","50,4","0,6","52,2",
11/04/2014 20.00,"85,3","53,8","0,5","47,2","6,8"
11/04/2014 21.00,"63,5","45,9","0,5","36,5",
11/04/2014 22.00,"42,1","34,6","0,6","21,3","9,3"
11/04/2014 23.00,"35,0","27,3","0,6","17,9",
12/04/2014 0.00,"32,9","24,7","0,5","9,8","15,1"
12/04/2014 1.00,"25,4","19,2","0,4","9,5",
12/04/2014 2.00,,,"0,3","26,1","20,0"
12/04/2014 3.00,"15,8","13,4",,"23,3",
12/04/2014 4.00,"23,8","13,7","0,4",,"20,0"
12/04/2014 5.00,"332,0","68,6","0,5","6,1",
12/04/2014 6.00,"437,7","113,2","0,7","1,8","11,7"
12/04/2014 7.00,"120,9","56,5","0,6","26,6",
12/04/2014 8.00,"76,3","46,0","1,0","39,4","15,6"
12/04/2014 9.00,"57,9","35,1","1,0","61,9",
12/04/2014 10.00,"38,5","25,2","0,6","76,9","14,2"
12/04/2014 11.00,"34,2","22,3","0,5","79,5",
12/04/2014 12.00,"46,6","27,3","0,5","81,1","9,8"
12/04/2014 13.00,"32,7","21,4","0,5","90,6",
12/04/2014 14.00,"24,6","18,8","0,6","92,7","7,3"
12/04/2014 15.00,"21,6","16,8","0,5","98,1",
12/04/2014 16.00,"15,9","11,4","0,3","103,2","4,9"
12/04/2014 17.00,"18,6","13,4","0,3","100,8",
12/04/2014 18.00,"24,2","17,3","0,3","93,3","6,8"
12/04/2014 19.00,"30,6","21,2","0,4","83,3",
12/04/2014 20.00,"27,5","19,2","0,3","81,6","9,3"
12/04/2014 21.00,"23,1","16,9","0,3","87,1",
12/04/2014 22.00,"14,1","10,8","0,3","89,8","18,6"
12/04/2014 23.00,"11,8","9,8","0,4","87,0",
13/04/2014 0.00,"12,1","10,3","0,3","82,8","10,7"
13/04/2014 1.00,"9,0","7,3","0,3","88,5",
13/04/2014 2.00,"4,9","4,4","0,3","91,6","9,3"
13/04/2014 3.00,"5,0","4,2","0,3","87,7",
13/04/2014 4.00,"3,1","2,7","0,2","88,5","10,3"
13/04/2014 5.00,"3,4","2,4","0,2","87,4",
13/04/2014 6.00,"5,0","4,2","0,2","82,8","5,9"
13/04/2014 7.00,"13,1","9,9","0,3","74,0",
13/04/2014 8.00,"17,3","12,6","0,3","72,8","6,8"
13/04/2014 9.00,"27,3","19,2","0,4","62,5",
13/04/2014 10.00,"34,1","24,5","0,4","56,9","4,9"
13/04/2014 11.00,"25,8","18,5","0,4","74,1",
13/04/2014 12.00,"31,8","22,3","0,4","75,8","2,4"
13/04/2014 13.00,"21,0","15,5","0,3","83,4",
13/04/2014 14.00,"7,7","5,5","0,3","88,5","5,9"
13/04/2014 15.00,"11,4","7,9","0,3","92,7",
13/04/2014 16.00,"13,4","9,5","0,3","95,8","3,9"
13/04/2014 17.00,"20,8","14,2","0,4","91,1",
13/04/2014 18.00,"27,0","18,9","0,4","85,4","5,4"
13/04/2014 19.00,"30,9","22,3","0,4","80,1",
13/04/2014 20.00,"38,7","27,3","0,4","75,4","4,4"
13/04/2014 21.00,"32,1","23,7","0,4","77,6",
13/04/2014 22.00,"25,2","19,9","0,4","70,4","9,8"
13/04/2014 23.00,"16,8","12,6","0,3","72,7",
14/04/2014 0.00,"12,4","9,6","0,3","67,7","7,8"
14/04/2014 1.00,"7,8","6,1","0,3","68,5",
14/04/2014 2.00,,,"0,2","74,9","6,3"
14/04/2014 3.00,"9,4","8,3",,"74,0",
14/04/2014 4.00,"7,6","7,2","0,1",,"7,8"
14/04/2014 5.00,"13,4","11,5","0,2","61,5",
14/04/2014 6.00,"32,5","22,4","0,3","52,6","4,4"
14/04/2014 7.00,"95,5","47,4","0,6","33,5",
14/04/2014 8.00,"96,7","51,7","0,8","40,8","6,3"
14/04/2014 9.00,"63,1","39,2","0,5","52,8",
14/04/2014 10.00,"58,5","35,6","0,4","58,1","8,3"
14/04/2014 11.00,"55,3","32,8","0,4","67,5",
14/04/2014 12.00,"75,6","43,2","0,4","64,4","6,8"
14/04/2014 13.00,"60,6","36,3","0,4","73,8",
14/04/2014 14.00,"41,6","26,7","0,3","80,7","4,9"
14/04/2014 15.00,"34,9","23,8","0,3","81,7",
14/04/2014 16.00,"76,6","46,9","0,5","64,5","6,8"
14/04/2014 17.00,"46,4","31,9","0,4","78,0",
14/04/2014 18.00,"63,7","42,7","0,5","60,9","4,9"
14/04/2014 19.00,"52,6","36,8","0,5","59,3",
14/04/2014 20.00,"38,9","27,0","0,3","60,5","4,9"
14/04/2014 21.00,"14,8","12,3","0,2","80,8",
14/04/2014 22.00,"23,6","21,9","0,3","69,3","8,3"
14/04/2014 23.00,"31,3","29,2","0,6","60,5",
15/04/2014 0.00,"14,8","13,3","0,4","78,5","6,8"
15/04/2014 1.00,"8,6","8,2","0,2","82,9",
15/04/2014 2.00,"4,8","3,9","0,2","81,6","7,8"
15/04/2014 3.00,"8,4","8,0","0,3","67,4",
15/04/2014 4.00,"6,9","6,4","0,3","64,2","4,4"
15/04/2014 5.00,"13,2","9,6","0,2","62,9",
15/04/2014 6.00,"28,8","19,1","0,3","65,3","3,4"
15/04/2014 7.00,"40,8","22,0","0,3","67,7",
15/04/2014 8.00,"35,8","22,1","0,3","70,5","7,3"
15/04/2014 9.00,"27,7","16,7","0,3","80,9",
15/04/2014 10.00,"39,9","22,6","0,2","79,2","5,4"
15/04/2014 11.00,"37,7","22,4","0,3","80,3",
15/04/2014 12.00,"47,2","29,7","0,3","78,4","3,9"
15/04/2014 13.00,"56,2","36,0","0,3","69,7",
15/04/2014 14.00,"38,5","27,2","0,3","68,7","2,9"
15/04/2014 15.00,"30,6","21,2","0,4","87,5",
15/04/2014 16.00,"42,9","29,9","0,4","70,3","7,8"
15/04/2014 17.00,"44,8","30,9","0,4","76,4",
15/04/2014 18.00,"51,5","33,7","0,4","74,0","7,8"
15/04/2014 19.00,"55,0","34,7","0,4","71,0",
15/04/2014 20.00,"51,0","33,7","0,4","70,2","7,8"
15/04/2014 21.00,"29,6","21,6","0,3","74,7",
15/04/2014 22.00,"14,2","11,3","0,3","80,7","7,8"
15/04/2014 23.00,"8,5","6,7","0,3","85,9",
16/04/2014 0.00,"4,7","3,5","0,2","84,3","5,9"
16/04/2014 1.00,"3,4","2,5","0,3","82,2",
16/04/2014 2.00,,,"0,2","85,8","5,9"
16/04/2014 3.00,"5,1","4,5",,"84,8",
16/04/2014 4.00,"4,6","4,0","0,2",,"2,9"
16/04/2014 5.00,"9,7","7,6","0,2","80,2",
16/04/2014 6.00,"27,2","17,2","0,3","68,3","2,4"
16/04/2014 7.00,"73,9","35,6","0,5","45,0",
16/04/2014 8.00,"83,9","42,0","0,6","42,0","2,0"
16/04/2014 9.00,"51,5","27,6","0,5","57,5",
16/04/2014 10.00,"56,1","27,9","0,4","60,2","4,4"
16/04/2014 11.00,"51,7","27,4","0,4","60,8",
16/04/2014 12.00,"65,9","33,4","0,5","57,9","2,9"
16/04/2014 13.00,"41,1","21,2","0,3","69,1",
16/04/2014 14.00,"22,2","12,8","0,3","79,1","4,4"
16/04/2014 15.00,"25,3","15,2","0,3","78,5",
16/04/2014 16.00,"37,3","21,8","0,4","74,3","2,9"
16/04/2014 17.00,"39,5","25,3","0,4","67,7",
16/04/2014 18.00,"61,1","36,2","0,4","57,4","3,9"
16/04/2014 19.00,"66,5","39,8","0,5","49,9",
16/04/2014 20.00,"62,2","40,5","0,5","45,6","4,4"
16/04/2014 21.00,"19,5","14,2","0,3","75,1",
16/04/2014 22.00,"16,5","13,6","0,3","63,4","7,3"
16/04/2014 23.00,"9,7","8,1","0,2","72,2",
17/04/2014 0.00,"8,1","5,6","0,2","79,6","6,3"
17/04/2014 1.00,"4,3","3,6","0,2","78,6",
17/04/2014 2.00,"5,3","3,7","0,2","81,0","5,4"
17/04/2014 3.00,"3,5","2,9","0,2","74,4",
17/04/2014 4.00,"9,7","4,8","0,2","78,1","3,9"
17/04/2014 5.00,"21,3","12,9","0,2","63,7",
17/04/2014 6.00,"22,1","13,1","0,3","62,1","2,4"
17/04/2014 7.00,"31,0","18,6","0,3","55,2",
17/04/2014 8.00,"45,2","25,7","0,4","49,2","2,4"
17/04/2014 9.00,"129,6","55,4","0,7","17,2",
17/04/2014 10.00,"61,7","31,4","0,5","43,8","1,0"
17/04/2014 11.00,"68,2","32,1","0,5","43,5",
17/04/2014 12.00,"59,0","31,6","0,5","49,1","1,0"
17/04/2014 13.00,"27,5","16,3","0,3","67,6",
17/04/2014 14.00,"16,1","9,6","0,3","72,1","1,5"
17/04/2014 15.00,"18,2","11,1","0,3","67,2",
17/04/2014 16.00,"32,4","19,4","0,4","57,8","2,0"
17/04/2014 17.00,"46,9","27,3","0,4","46,6",
17/04/2014 18.00,"50,7","30,3","0,4","42,4","5,4"
17/04/2014 19.00,"50,9","31,3","0,5","39,9",
17/04/2014 20.00,"44,3","27,9","0,5","34,6","3,9"
17/04/2014 21.00,"29,3","19,5","0,3","41,2",
17/04/2014 22.00,"18,8","12,7","0,3","49,0","3,4"
17/04/2014 23.00,"14,2","10,1","0,3","50,9",
18/04/2014 0.00,"10,5","7,7","0,3","56,3","8,8"
18/04/2014 1.00,"5,0","3,9","0,2","62,4",
18/04/2014 2.00,,,"0,2","65,6",
18/04/2014 3.00,"6,4","5,6",,"65,7",
18/04/2014 4.00,"4,0","3,7","0,2",,
18/04/2014 5.00,"8,2","6,3","0,2","56,2",
18/04/2014 6.00,"34,4","20,6","0,3","34,0",
18/04/2014 7.00,"28,7","17,5","0,3","42,2",
18/04/2014 8.00,"34,6","20,0","0,4","50,8",
18/04/2014 9.00,"30,6","17,6","0,3","53,3",
18/04/2014 10.00,"39,0","21,3","0,3","54,5",
18/04/2014 11.00,"47,5","29,7","0,4","53,0",
18/04/2014 12.00,"39,7","24,2","0,3","59,7",
18/04/2014 13.00,"40,1","25,1","0,3","52,7",
18/04/2014 14.00,"32,9","22,5","0,3","47,6",
18/04/2014 15.00,"47,8","28,9","0,3","42,0",
18/04/2014 16.00,"48,5","27,5","0,3","44,5",
18/04/2014 17.00,"58,5","34,8","0,4","35,4",
18/04/2014 18.00,"57,4","34,8","0,4","41,2",
18/04/2014 19.00,"47,8","31,2","0,4","43,4",
18/04/2014 20.00,"43,8","30,2","0,4","44,7",
18/04/2014 21.00,"34,3","26,0","0,3","44,3",
18/04/2014 22.00,"18,2","15,0","0,3","53,3",
18/04/2014 23.00,"13,2","11,1","0,3","56,8",
19/04/2014 0.00,"14,4","12,7","0,3","52,8",
19/04/2014 1.00,"9,4","8,3","0,2","65,5",
19/04/2014 2.00,"7,1","6,4","0,2","66,8",
19/04/2014 3.00,"4,6","3,9","0,2","71,8",
19/04/2014 4.00,"5,3","4,7","0,2","71,5",
19/04/2014 5.00,"20,6","14,0","0,3","65,3",
19/04/2014 6.00,"14,4","11,5","0,3","73,4",
19/04/2014 7.00,"33,3","21,9","0,3","69,5",
19/04/2014 8.00,"28,6","20,8","0,3","73,6",
19/04/2014 9.00,"47,5","27,9","0,3","72,8",
19/04/2014 10.00,"51,0","28,1","0,3","75,7",
19/04/2014 11.00,"50,6","30,3","0,3","79,2",
19/04/2014 12.00,"40,2","24,8","0,3","91,1",
19/04/2014 13.00,"27,5","18,4","0,3","95,5",
19/04/2014 14.00,"15,5","10,1","0,2","102,2",
19/04/2014 15.00,"13,3","9,0","0,2","105,6",
19/04/2014 16.00,"14,6","9,9","0,2","104,9",
19/04/2014 17.00,"17,3","10,6","0,2","101,9",
19/04/2014 18.00,"21,1","13,8","0,3","99,2",
19/04/2014 19.00,"31,2","20,4","0,3","84,9",
19/04/2014 20.00,"28,4","18,9","0,2","88,2",
19/04/2014 21.00,"18,6","12,8","0,2","88,0",
19/04/2014 22.00,"15,7","11,3","0,2","84,5",
