"NetC","SIMAGE Brindisi","","","","","","","","","","","","","","","","","",""
"Stat","Torchiarolo","","","","","","","","","","","","","","","","","",""
,SO2,NOX,NO2,CO,PM10,O3,BENZENE
04/07/2011 22.00,0,"31,6",28,"0,5","18,7","72,9","0,5"
04/07/2011 23.00,"0,1","20,2",18,"0,5","18,7","52,5","0,5"
05/07/2011 0.00,"0,1","16,5","14,5","0,5","18,7","47,6","0,6"
05/07/2011 1.00,,"9,8","8,2","0,5","24,3","51,9","0,4"
05/07/2011 2.00,"1,3",,,"0,5","24,3","53,8","0,3"
05/07/2011 3.00,"0,8","5,4","4,4",,"24,3","44,8","0,3"
05/07/2011 4.00,"0,8","7,2","6,2","0,5","24,3",,5
05/07/2011 5.00,"1,1","10,4",9,"0,5","24,3","42,4","0,5"
05/07/2011 6.00,"0,8","16,6","14,1","0,5","24,3","43,8",
05/07/2011 7.00,1,"15,5","12,8","0,5","24,3","52,3","0,6"
05/07/2011 8.00,"0,8","15,2","12,1",,"24,3","51,2","0,3"
05/07/2011 9.00,"0,1","12,4","9,9",,"24,3","52,7","0,6"
05/07/2011 10.00,0,"23,8","16,3","0,1","24,3","81,6","0,5"
05/07/2011 11.00,0,16,"13,5","0,1","24,3","100,6","0,5"
05/07/2011 12.00,0,"12,5","10,6","0,1","24,3","116,5","0,4"
05/07/2011 13.00,0,"12,1","10,3",0,"24,3","118,1","0,4"
05/07/2011 14.00,"0,1","7,4","6,3","0,2","24,3","120,8","0,4"
05/07/2011 15.00,"0,5","7,1",6,"0,3","24,3","114,9","0,3"
05/07/2011 16.00,1,"9,1","7,5","0,3","24,3","99,3","0,3"
05/07/2011 17.00,"1,1","22,8","19,9","0,4","24,3","82,7","0,8"
05/07/2011 18.00,"0,6","21,3","17,3","0,3","24,3","71,9","0,6"
05/07/2011 19.00,"0,5","16,9","13,4","0,3","24,3","71,2","0,4"
05/07/2011 20.00,"0,8","31,2","24,4","0,5","24,3","51,6","0,6"
05/07/2011 21.00,"0,8","32,9",28,"0,4","24,3","30,2","0,7"
05/07/2011 22.00,"0,9","34,1","26,6","0,5","24,3",19,"0,6"
05/07/2011 23.00,"0,7","31,6","27,4","0,4","24,3","17,7","0,6"
06/07/2011 0.00,"0,4","21,1","17,9","0,3","24,3","46,5","0,5"
06/07/2011 1.00,"0,8","9,9","8,2","0,3","13,8","66,8","0,3"
06/07/2011 2.00,"0,5","9,8","8,2","0,3","13,8","56,1","0,2"
06/07/2011 3.00,"0,7","11,5","10,2","0,2","13,8","43,5","0,3"
06/07/2011 4.00,1,"25,8","23,8","0,2","13,8","29,7","0,5"
06/07/2011 5.00,"0,3","26,1","23,4","0,2","13,8","29,3","0,6"
06/07/2011 6.00,"0,7","35,2","26,1","0,2","13,8","36,9","0,5"
06/07/2011 7.00,"0,9","37,7","29,1","0,2","13,8","48,7","0,5"
06/07/2011 8.00,"0,5","17,6","12,7","0,2","13,8","96,2","0,3"
06/07/2011 9.00,"0,4",10,"8,1","0,2","13,8","112,7","0,3"
06/07/2011 10.00,"0,6","9,9","7,9","0,3","13,8","121,1","0,3"
06/07/2011 11.00,"0,9","8,8","6,9","0,2","13,8","122,8","0,3"
06/07/2011 12.00,"0,8","8,3","6,5","0,2","13,8","117,2","0,3"
06/07/2011 13.00,"0,9","18,9","15,8","0,2","13,8","119,2","0,3"
06/07/2011 14.00,1,"21,8","18,4","0,2","13,8","118,2","0,3"
06/07/2011 15.00,"0,7","26,9",23,"0,2","13,8","115,1","0,3"
06/07/2011 16.00,"0,9","15,7","12,8","0,2","13,8","120,7","0,3"
06/07/2011 17.00,"0,9","16,7",14,"0,2","13,8","119,5","0,4"
06/07/2011 18.00,1,"12,6","10,4","0,2","13,8","120,5","0,3"
06/07/2011 19.00,"1,1","17,5","15,4","0,2","13,8","112,1","0,3"
06/07/2011 20.00,"0,6","22,8",20,"0,2","13,8","101,2","0,4"
06/07/2011 21.00,"0,7",19,"16,4","0,2","13,8","74,5","0,4"
06/07/2011 22.00,"0,8","15,5","13,3","0,2","13,8","69,2","0,4"
06/07/2011 23.00,"1,4","14,6","12,7","0,2","13,8","62,6","0,3"
07/07/2011 0.00,"1,1",20,"17,7","0,2","13,8","52,5","0,3"
07/07/2011 1.00,,"28,8",26,"0,3","16,4","36,6","0,4"
07/07/2011 2.00,"0,4",,,"0,2","16,4","42,7","0,3"
07/07/2011 3.00,"0,7",17,"15,4",,"16,4","53,8","0,3"
07/07/2011 4.00,"0,6","14,5","12,9","0,2","16,4",,"0,3"
07/07/2011 5.00,"0,6","17,1","15,2","0,3","16,4","41,9","0,4"
07/07/2011 6.00,"0,7","32,1","27,6","0,2","16,4","35,3",
07/07/2011 7.00,"0,7","33,8",26,"0,2","16,4","43,3","0,5"
07/07/2011 8.00,"0,7","16,4","12,9","0,2","16,4","81,6","0,5"
07/07/2011 9.00,"0,7","12,5","9,8","0,3","16,4","92,7","0,4"
07/07/2011 10.00,"0,4",25,"16,8","0,4","16,4","84,4","0,3"
07/07/2011 11.00,"0,5","8,3","6,3","0,3","16,4","96,8","0,3"
07/07/2011 12.00,"0,6","9,4","7,6","0,3","16,4","97,9","0,3"
07/07/2011 13.00,"0,8","7,1","5,6","0,3","16,4","108,6","0,3"
07/07/2011 14.00,"0,8","6,4","5,2","0,3","16,4","108,4","0,2"
07/07/2011 15.00,"0,9","5,6","4,5","0,3","16,4","102,5","0,3"
07/07/2011 16.00,"0,9","7,6","6,1","0,3","16,4","102,1","0,2"
07/07/2011 17.00,1,"7,7",6,"0,2","16,4","102,1","0,3"
07/07/2011 18.00,"0,9","8,4","7,2","0,2","16,4","105,8","0,2"
07/07/2011 19.00,"0,6",13,"10,9","0,3","16,4","99,6","0,3"
07/07/2011 20.00,"0,4","14,1","12,5","0,2","16,4","86,4","0,3"
07/07/2011 21.00,"0,6","18,3",16,"0,2","16,4","65,2","0,3"
07/07/2011 22.00,"0,6","17,2",15,"0,2","16,4","55,4","0,3"
07/07/2011 23.00,"0,3","28,4",25,"0,3","16,4","43,2","0,5"
08/07/2011 0.00,"0,3","41,5","36,2","0,3","16,4","22,3","0,9"
08/07/2011 1.00,"0,1","59,9","47,9","0,3","20,7","6,5","0,7"
08/07/2011 2.00,"0,2","50,3","41,8","0,5","20,7","8,1","0,8"
08/07/2011 3.00,"0,3","45,7","37,9","0,3","20,7","10,7","0,8"
08/07/2011 4.00,"0,2","40,3","31,8","0,3","20,7","4,3","0,8"
08/07/2011 5.00,"0,6","41,8","30,5","0,3","20,7","6,6","0,9"
08/07/2011 6.00,"0,4","52,8","37,9","0,4","20,7","13,4",1
08/07/2011 7.00,"0,6","70,5","42,6","0,5","20,7","15,4","1,5"
08/07/2011 8.00,"0,5","22,9","18,2","0,3","20,7","61,3",1
08/07/2011 9.00,"0,4","16,7",14,"0,4","20,7","86,3","0,9"
08/07/2011 10.00,"0,4","13,3","11,2","0,4","20,7","83,1","0,8"
08/07/2011 11.00,"0,5",10,"8,6","0,4","20,7",97,"0,6"
08/07/2011 12.00,"0,5","13,1","10,9","0,3","20,7","102,7","0,6"
08/07/2011 13.00,"0,4",9,"7,3","0,2","20,7","102,3","0,3"
08/07/2011 14.00,"0,3","4,5","3,6","0,2","20,7",106,"0,3"
08/07/2011 15.00,"0,6","4,6","3,8","0,2","20,7","112,6","0,2"
08/07/2011 16.00,"0,5","5,6","4,6","0,2","20,7","109,8","0,2"
08/07/2011 17.00,"0,5","7,9","6,4","0,2","20,7","109,7","0,2"
08/07/2011 18.00,"0,4","10,9","9,6","0,2","20,7","114,1","0,2"
08/07/2011 19.00,"0,4","16,6","14,9","0,2","20,7","112,7","0,3"
08/07/2011 20.00,"0,3","23,1","21,4","0,3","20,7",101,"0,7"
08/07/2011 21.00,"0,3","44,1","40,3","0,3","20,7",64,"0,7"
08/07/2011 22.00,"0,5","119,1","85,9","0,5","20,7","8,3","0,8"
08/07/2011 23.00,"0,1","89,8","68,7","0,4","20,7","27,8","0,9"
09/07/2011 0.00,"0,1",24,"21,1","0,4","20,7",64,"0,7"
09/07/2011 1.00,,"18,8","16,2","0,5","26,6","65,3","1,8"
09/07/2011 2.00,"0,5",,,"0,6","26,6",36,"1,2"
09/07/2011 3.00,"0,7","24,2","20,8",,"26,6","30,6","0,9"
09/07/2011 4.00,"0,4","36,4",32,"0,5","26,6",,"0,9"
09/07/2011 5.00,"0,3","45,3","39,1","0,5","26,6","22,5",1
09/07/2011 6.00,"0,4","62,3",49,"0,6","26,6",19,
09/07/2011 7.00,"0,9","74,1","51,2","0,7","26,6","19,1","1,4"
09/07/2011 8.00,"0,7","37,6","29,9","0,6","26,6",45,1
09/07/2011 9.00,"0,8","24,8","21,1","0,6","26,6","84,8","0,9"
09/07/2011 10.00,"0,6","25,4","22,3","0,6","26,6","112,2",1
09/07/2011 11.00,"0,7","18,9","16,3","0,5","26,6","106,3","0,6"
09/07/2011 12.00,"0,6","12,1","10,4","0,4","26,6","115,1","0,4"
09/07/2011 13.00,"1,3","9,5","8,1","0,4","26,6","112,4","0,4"
09/07/2011 14.00,"0,6","5,9","5,1","0,4","26,6","109,2","0,3"
09/07/2011 15.00,"0,4","5,8","4,9","0,4","26,6","113,4","0,3"
09/07/2011 16.00,"0,4",6,"5,2","0,4","26,6","113,3","0,2"
09/07/2011 17.00,"0,9","6,9",6,"0,3","26,6","119,6","0,2"
09/07/2011 18.00,"0,7",6,5,"0,4","26,6","116,1","0,3"
09/07/2011 19.00,"1,2","10,7","9,4","0,4","26,6","108,6","0,3"
09/07/2011 20.00,"0,6","16,5","14,6","0,4","26,6","92,7","0,3"
09/07/2011 21.00,"0,5","19,9","17,9","0,5","26,6","86,8","0,7"
09/07/2011 22.00,"0,6","72,5","60,1","0,5","26,6","19,4","0,7"
09/07/2011 23.00,"0,2","73,4","57,1","0,5","26,6","29,6","0,7"
10/07/2011 0.00,"0,3",83,64,"0,6","26,6","14,5","0,9"
10/07/2011 1.00,"0,2",42,"37,6","0,5","24,9","37,9","0,6"
10/07/2011 2.00,"0,2","61,1","52,7","0,5","24,9","13,9","0,7"
10/07/2011 3.00,"0,2","31,5","27,6","0,5","24,9","32,8","0,8"
10/07/2011 4.00,"0,2","23,5","20,3","0,5","24,9","39,7","0,8"
10/07/2011 5.00,"0,1","23,7","20,5","0,6","24,9","46,6","0,8"
10/07/2011 6.00,"0,2",33,"27,2","0,6","24,9","27,9",1
10/07/2011 7.00,"0,2","42,5","32,5","0,7","24,9","28,5","1,3"
10/07/2011 8.00,"0,2","23,2","19,7","0,6","24,9","58,9","1,2"
10/07/2011 9.00,"0,2","9,3",8,"0,5","24,9","92,6","0,7"
10/07/2011 10.00,"0,3","14,6","12,9","0,5","24,9","116,6","0,5"
10/07/2011 11.00,"0,2","21,9","19,5","0,4","24,9","117,2","0,7"
10/07/2011 12.00,"0,4","11,4","10,1","0,4","24,9","129,8","0,4"
10/07/2011 13.00,"0,4","6,4","5,5","0,4","24,9","127,2","0,3"
10/07/2011 14.00,"0,3","5,7","4,9","0,4","24,9","118,1","0,3"
10/07/2011 15.00,"0,1","7,2","6,2","0,4","24,9",120,"0,3"
10/07/2011 16.00,"0,4","5,9","5,1","0,3","24,9","118,9","0,3"
10/07/2011 17.00,"0,4","5,7","4,9","0,3","24,9","116,2","0,2"
10/07/2011 18.00,"0,4","7,8","6,7","0,4","24,9","108,2","0,2"
10/07/2011 19.00,"0,5",9,"8,5","0,4","24,9",99,"0,2"
10/07/2011 20.00,"0,4","18,5",17,"0,4","24,9","84,2","0,3"
10/07/2011 21.00,"0,5","36,6","33,9","0,4","24,9","63,4","0,4"
10/07/2011 22.00,"0,4","37,3","34,8","0,4","24,9","59,9","0,4"
10/07/2011 23.00,"0,3","40,3","36,5","0,4","24,9","47,6","0,5"
11/07/2011 0.00,"0,8","132,5",82,"0,5","24,9","1,5","0,9"
11/07/2011 1.00,,"84,8","69,1","0,5","30,4","24,3","1,1"
11/07/2011 2.00,"0,4",,,"0,6","30,4","29,6","1,5"
11/07/2011 3.00,"0,9","50,4","46,3",,"30,4","37,3","1,5"
11/07/2011 4.00,"0,4","45,7","41,8","0,6","30,4",,"1,4"
11/07/2011 5.00,"0,4",55,"49,4","0,5","30,4","42,9","1,2"
11/07/2011 6.00,"0,4","86,6","72,6","0,6","30,4","31,2",
11/07/2011 7.00,"0,7","63,3","51,3","0,6","30,4","48,9","1,6"
11/07/2011 8.00,"0,3","32,7","27,6","0,6","30,4","86,1","0,9"
11/07/2011 9.00,"0,4","37,9","32,7","0,6","30,4","107,1","0,8"
11/07/2011 10.00,"0,6",17,15,"0,6","30,4",130,"0,9"
11/07/2011 11.00,"0,7","14,5","12,9","0,5","30,4","127,1","1,2"
11/07/2011 12.00,"0,5","10,1","8,6","0,5","30,4","131,7",1
11/07/2011 13.00,"0,5",10,"8,8","0,4","30,4","138,1",1
11/07/2011 14.00,"0,5","7,5","6,5","0,4","30,4","137,9","0,7"
11/07/2011 15.00,"0,4","5,4","4,6","0,4","30,4","136,8","0,5"
11/07/2011 16.00,"0,4","5,2","4,3","0,4","30,4","131,8","0,4"
11/07/2011 17.00,"0,4","5,4","4,6","0,4","30,4","130,4","0,3"
11/07/2011 18.00,"0,8","8,6","7,3","0,4","30,4","124,2","0,5"
11/07/2011 19.00,"0,6","17,9","15,9","0,4","30,4","117,1","0,6"
11/07/2011 20.00,"0,9","31,3","28,3","0,5","30,4",92,"2,2"
11/07/2011 21.00,"0,5","36,7","33,1","0,5","30,4","82,5",2
11/07/2011 22.00,"0,3","50,3","46,1","0,5","30,4","72,2","0,9"
11/07/2011 23.00,"0,2","46,2","41,8","0,6","30,4","61,5",1
12/07/2011 0.00,"0,2","33,7",30,"0,5","30,4","67,2","0,7"
12/07/2011 1.00,"0,2","17,3","14,7","0,4","26,3",70,"0,6"
12/07/2011 2.00,"0,2","12,7","10,6","0,5","26,3","84,8","0,4"
12/07/2011 3.00,"0,2","12,6","10,6","0,5","26,3","88,4","0,3"
12/07/2011 4.00,"0,2","12,6","10,5","0,5","26,3","93,7","0,3"
12/07/2011 5.00,"0,2","18,6","16,3","0,6","26,3","78,2","0,5"
12/07/2011 6.00,"0,1","35,1","31,2","0,5","26,3","62,6","0,6"
12/07/2011 7.00,"0,2","35,6","29,3","0,5","26,3","66,3","0,6"
12/07/2011 8.00,"0,2","16,9","14,2","0,4","26,3","101,3","0,8"
12/07/2011 9.00,"0,3","26,5","21,8","0,4","26,3","102,2","0,9"
12/07/2011 10.00,"0,3","61,5","47,9","0,4","26,3","83,6","0,5"
12/07/2011 11.00,"0,5","24,8","21,4","0,4","26,3","115,2","0,7"
12/07/2011 12.00,"0,3",29,"24,7","0,4","26,3","119,3","1,2"
12/07/2011 13.00,"0,3","13,2","11,6","0,4","26,3","141,1","0,8"
12/07/2011 14.00,"0,2","40,7","35,7","0,4","26,3","119,4","0,7"
12/07/2011 15.00,"0,2","48,4","42,4","0,3","26,3","108,6","0,5"
12/07/2011 16.00,"0,2","23,2","20,2","0,3","26,3","123,7","0,9"
12/07/2011 17.00,"0,2",13,"11,1","0,3","26,3","122,8","0,6"
12/07/2011 18.00,"0,2","8,3","7,1","0,4","26,3","132,5","0,4"
12/07/2011 19.00,"0,3","11,9","10,3","0,5","26,3","119,3","0,4"
12/07/2011 20.00,"0,2","16,1","13,9","0,5","26,3","116,6","0,4"
12/07/2011 21.00,"0,2","14,3","12,3","0,4","26,3","118,5","0,5"
12/07/2011 22.00,"0,3","13,3","11,6","0,4","26,3","98,3","0,3"
12/07/2011 23.00,"1,3","16,8","14,5","0,4","26,3","76,2","0,5"
13/07/2011 0.00,"1,3","13,3","10,9","0,4","26,3","66,5","0,8"
13/07/2011 1.00,,"10,4","8,8","0,4","33,6","68,7","0,3"
13/07/2011 2.00,"0,6",,,"0,4","33,6","73,9","0,3"
13/07/2011 3.00,"0,9","10,8",9,,"33,6","79,7","0,3"
13/07/2011 4.00,"0,9",11,"9,5","0,4","33,6",,"0,3"
13/07/2011 5.00,"1,2","14,6","12,7","0,4","33,6","74,2","0,4"
13/07/2011 6.00,"1,1","28,5","24,4","0,5","33,6","59,5",
13/07/2011 7.00,"0,9","28,2","22,7","0,4","33,6","66,2","1,7"
13/07/2011 8.00,"1,3","32,6","26,6","0,5","33,6","74,7","0,8"
13/07/2011 9.00,"1,6","38,4","31,4","0,4","33,6","84,7","0,6"
13/07/2011 10.00,"1,7","17,2","13,9","0,4","33,6","99,8","0,6"
13/07/2011 11.00,"0,9","7,1","5,5","0,4","33,6","107,4","0,5"
13/07/2011 12.00,"1,2","6,8","5,4","0,3","33,6","110,5","0,4"
13/07/2011 13.00,"1,7","6,6","4,9","0,3","33,6","111,1","0,4"
13/07/2011 14.00,"1,2",5,"3,9","0,3","33,6","109,1","0,3"
13/07/2011 15.00,"0,8","4,6","3,7","0,3","33,6","105,3","0,3"
13/07/2011 16.00,"0,9","5,7","4,7","0,3","33,6","109,6","0,3"
13/07/2011 17.00,"0,7","8,1","6,4","0,3","33,6","110,7","0,3"
13/07/2011 18.00,"0,8","8,3","6,9","0,3","33,6","106,6","0,4"
13/07/2011 19.00,1,"9,7","8,3","0,3","33,6","107,8","0,4"
13/07/2011 20.00,"1,8","24,3",21,"0,3","33,6","87,5","0,7"
13/07/2011 21.00,"1,1","42,7",38,"0,3","33,6","61,1","0,8"
13/07/2011 22.00,"0,7","24,9","21,6","0,3","33,6","96,2","0,7"
13/07/2011 23.00,"0,5",14,12,"0,3","33,6","94,7","0,6"
14/07/2011 0.00,"0,2","12,1","10,6","0,3","33,6","77,6","0,5"
14/07/2011 1.00,"0,4","10,7","9,2","0,3","40,6","50,7","0,5"
14/07/2011 2.00,"0,6","11,2","9,3","0,4","40,6",40,"0,6"
14/07/2011 3.00,"0,4",11,"9,4","0,4","40,6","30,5","0,9"
14/07/2011 4.00,"0,5","16,9","14,6","0,5","40,6","19,7",2
14/07/2011 5.00,"0,7","18,2","14,5","0,4","40,6","25,3","1,6"
14/07/2011 6.00,"0,8","28,9","23,4","0,5","40,6","21,9","1,1"
14/07/2011 7.00,"1,1","52,5","37,7","0,6","40,6","18,3","1,9"
14/07/2011 8.00,"0,6","57,6","37,4","0,6","40,6","51,7","1,3"
14/07/2011 9.00,"0,7",26,"21,7","0,6","40,6","82,3","1,1"
14/07/2011 10.00,"0,7","20,1","17,1","0,4","40,6","104,4","0,8"
14/07/2011 11.00,"0,5","14,5","12,9","0,3","40,6","101,5","0,7"
14/07/2011 12.00,"0,2","14,3","12,8","0,2","40,6","105,4","0,5"
14/07/2011 13.00,"0,1","12,8","11,1","0,2","40,6","112,2","0,5"
14/07/2011 14.00,"0,2","9,1","7,8","0,1","40,6","104,9","0,4"
14/07/2011 15.00,"0,2","6,9","5,9","0,1","40,6","103,1","0,3"
14/07/2011 16.00,"0,3","10,6","9,2","0,1","40,6",108,"0,3"
14/07/2011 17.00,"0,2","9,3","8,4","0,1","40,6","109,1","0,4"
14/07/2011 18.00,"0,6","12,9","11,4","0,1","40,6","104,4","0,4"
14/07/2011 19.00,"0,6","22,8","20,2","0,2","40,6","102,3","0,5"
14/07/2011 20.00,"0,4","25,8","23,7","0,3","40,6","117,8","0,6"
14/07/2011 21.00,"0,5","23,9","21,7","0,3","40,6","95,4","0,7"
14/07/2011 22.00,"0,4","19,2","16,9","0,2","40,6","82,8","0,6"
14/07/2011 23.00,"0,6","17,3","14,9","0,2","40,6","75,2","0,5"
15/07/2011 0.00,"0,8","15,8","13,5","0,3","40,6","80,9","0,4"
15/07/2011 1.00,,14,"11,8","0,3","35,4","77,2","0,5"
15/07/2011 2.00,"0,3",,,"0,3","35,4","65,3","0,5"
15/07/2011 3.00,"0,6","18,5","15,8",,"35,4","54,2",2
15/07/2011 4.00,"0,7",19,"16,1","0,4","35,4",,"1,2"
15/07/2011 5.00,"0,6","58,9","44,3","0,4","35,4","14,6",1
15/07/2011 6.00,"0,5","43,5","34,9","0,4","35,4","21,7",
15/07/2011 7.00,"0,6","49,4","35,9","0,4","35,4","27,6",
15/07/2011 8.00,1,"34,4","26,5","0,4","35,4",56,"0,9"
15/07/2011 9.00,"1,4","40,8","32,5","0,4","35,4","56,9","0,7"
15/07/2011 10.00,"0,8","23,3","18,9","0,4","35,4","88,4","0,6"
15/07/2011 11.00,"1,3","28,2","23,7","0,4","35,4","92,9","0,5"
15/07/2011 12.00,"0,8","28,6","25,3","0,4","35,4","111,9","0,6"
15/07/2011 13.00,"0,8","16,5","14,3","0,3","35,4","120,7","0,7"
15/07/2011 14.00,"0,7","7,6","6,4","0,2","35,4","122,1","0,3"
15/07/2011 15.00,"0,5","6,6","5,4","0,1","35,4","116,6","0,5"
15/07/2011 16.00,"0,4","6,6","5,2","0,1","35,4","111,3","0,4"
15/07/2011 17.00,"0,8",9,"7,4","0,1","35,4","113,8","0,3"
15/07/2011 18.00,"0,7","6,2","5,3","0,2","35,4","110,9","0,3"
15/07/2011 19.00,"0,6","10,9","9,3","0,3","35,4","104,9","0,3"
15/07/2011 20.00,"0,5","17,1","14,9","0,3","35,4","93,1","0,3"
15/07/2011 21.00,"0,4","54,8","47,2","0,5","35,4","62,1","0,9"
15/07/2011 22.00,"0,4","52,1","46,2","0,5","35,4","51,2","0,7"
15/07/2011 23.00,"0,5","23,3",21,"0,6","35,4",68,"1,1"
16/07/2011 0.00,"0,1","23,8","21,5","0,5","35,4","67,9","0,9"
16/07/2011 1.00,"0,3","25,5","22,6","0,4","23,2","66,4","0,9"
16/07/2011 2.00,"0,3","25,2","22,8","0,4","23,2",65,"0,7"
16/07/2011 3.00,"0,5","17,8","15,6","0,4","23,2","72,9","0,8"
16/07/2011 4.00,"0,3","16,3","14,5","0,4","23,2","73,6","0,7"
16/07/2011 5.00,"0,5","25,8","23,6","0,4","23,2",64,"0,7"
16/07/2011 6.00,"0,2","33,6",29,"0,3","23,2",65,"0,7"
16/07/2011 7.00,"0,2","15,9","13,5","0,3","23,2","87,9","0,5"
16/07/2011 8.00,"0,5","14,2","11,8","0,3","23,2",96,"0,4"
16/07/2011 9.00,"0,7","11,2","9,2","0,3","23,2","108,5","0,3"
16/07/2011 10.00,"0,5",9,"7,8","0,3","23,2","114,6","0,3"
16/07/2011 11.00,1,"7,9","7,2","0,3","23,2",114,"0,3"
16/07/2011 12.00,"0,2","19,4","17,5","0,2","23,2","126,5","0,4"
16/07/2011 13.00,"0,3","16,4","14,4","0,2","23,2","125,4","0,6"
16/07/2011 14.00,"0,8","11,9","10,5","0,2","23,2","117,7","0,4"
16/07/2011 15.00,"0,9","10,2","8,8","0,2","23,2","114,2","0,2"
16/07/2011 16.00,"1,2","5,4","4,3","0,2","23,2",119,"0,3"
16/07/2011 17.00,"0,8","5,4","4,3","0,3","23,2","112,8","0,2"
16/07/2011 18.00,"0,8","5,7","4,2","0,4","23,2","107,1","0,2"
16/07/2011 19.00,"0,8","7,1","5,7","0,4","23,2",105,"0,2"
16/07/2011 20.00,"0,9",11,"9,4","0,4","23,2","99,3","0,3"
16/07/2011 21.00,"0,7","14,5","11,9","0,5","23,2","84,3","0,3"
16/07/2011 22.00,"0,7","13,6","11,2","0,4","23,2","76,2","0,3"
16/07/2011 23.00,"0,3","11,4","9,4","0,5","23,2","62,5","0,4"
17/07/2011 0.00,"0,2","19,8",17,"0,5","23,2","63,9","0,4"
17/07/2011 1.00,,"25,4","21,3","0,5","21,4","51,6","0,4"
17/07/2011 2.00,"0,6",,,"0,5","21,4",51,"0,5"
17/07/2011 3.00,"0,4",23,"20,5",,"21,4","59,9","0,5"
17/07/2011 4.00,"0,5","23,8","21,3","0,4","21,4",,"0,5"
17/07/2011 5.00,"0,7","26,4","23,3","0,4","21,4","39,3","0,6"
17/07/2011 6.00,"0,5","23,7","20,1","0,4","21,4","45,4",
17/07/2011 7.00,"0,5",22,"17,9","0,4","21,4","68,2",
17/07/2011 8.00,"0,7","12,6","10,4","0,4","21,4","83,5","0,4"
17/07/2011 9.00,"0,7","10,4","8,6","0,4","21,4","91,7","0,3"
17/07/2011 10.00,"0,6","27,4","23,1","0,3","21,4","90,5","0,5"
17/07/2011 11.00,"0,9","22,7","19,1","0,2","21,4","98,1","0,7"
17/07/2011 12.00,"0,7","6,9","5,6","0,2","21,4","106,3","0,5"
17/07/2011 13.00,"0,7","4,8",4,"0,2","21,4","112,3","0,3"
17/07/2011 14.00,"0,9","4,1","3,4","0,2","21,4","122,4","0,3"
17/07/2011 15.00,"0,8","3,6","2,9","0,3","21,4",118,"0,2"
17/07/2011 16.00,"0,5","3,9","3,1","0,2","21,4","121,6","0,2"
17/07/2011 17.00,"1,2","5,1","4,1","0,3","21,4","122,7","0,1"
17/07/2011 18.00,"1,1","4,8","3,9","0,3","21,4","127,5","0,2"
17/07/2011 19.00,"0,6","6,9","6,1","0,3","21,4","119,2","0,1"
17/07/2011 20.00,"0,4","5,4","4,4","0,3","21,4","116,4","0,2"
17/07/2011 21.00,"0,4","12,4","10,7","0,3","21,4","98,1","0,2"
17/07/2011 22.00,"0,5","20,2","18,2","0,4","21,4","81,3","0,3"
17/07/2011 23.00,"0,5","30,3","27,3","0,4","21,4","73,6","0,4"
18/07/2011 0.00,"0,7","26,4","23,8","0,4","21,4","74,9","0,5"
18/07/2011 1.00,"0,6",22,"20,1","0,4","20,8","72,4","0,5"
18/07/2011 2.00,"0,7","15,4","13,8","0,3","20,8","74,7","0,5"
18/07/2011 3.00,"0,4","20,8","18,5","0,3","20,8",61,"0,4"
18/07/2011 4.00,"0,5","13,7","12,1","0,3","20,8","70,2","0,5"
18/07/2011 5.00,"0,3",22,"19,9","0,3","20,8","59,5","0,6"
18/07/2011 6.00,"0,4","35,3","30,8","0,4","20,8","52,1","0,6"
18/07/2011 7.00,"0,7","51,2","39,1","0,4","20,8",41,"1,1"
18/07/2011 8.00,"1,3","35,3",27,"0,4","20,8","56,8","0,8"
18/07/2011 9.00,"0,9","14,1","11,7","0,4","20,8","89,3","0,6"
18/07/2011 10.00,"0,8","9,5","7,9","0,4","20,8","98,2","0,5"
18/07/2011 11.00,"1,1","7,1","5,7","0,3","20,8","111,3","0,3"
18/07/2011 12.00,"0,6","6,3","5,4","0,3","20,8","126,6","0,3"
18/07/2011 13.00,"0,4","5,9","4,8","0,2","20,8","132,7","0,3"
18/07/2011 14.00,"0,3",10,"8,9","0,2","20,8","136,3","0,2"
18/07/2011 15.00,"0,6",7,"6,3","0,2","20,8","133,7","0,2"
18/07/2011 16.00,"0,4","4,8","3,9","0,2","20,8","126,1","0,2"
18/07/2011 17.00,"0,6",5,"4,2","0,2","20,8","124,6","0,2"
18/07/2011 18.00,"0,6","7,2","6,1","0,3","20,8","122,4","0,3"
18/07/2011 19.00,"1,1","12,5","11,2","0,3","20,8","109,7","0,3"
18/07/2011 20.00,"0,8","18,5","16,2","0,3","20,8","86,9","0,4"
18/07/2011 21.00,"0,8","18,8","16,6","0,3","20,8","81,9","0,5"
18/07/2011 22.00,"0,5","18,3","15,7","0,3","20,8","67,5","0,5"
18/07/2011 23.00,"0,3","15,4","12,8","0,4","20,8","56,7","0,5"
19/07/2011 0.00,"0,2","13,3","11,1","0,4","20,8","53,7","0,5"
19/07/2011 1.00,,"10,3","8,7","0,4","27,6",55,"0,4"
19/07/2011 2.00,"0,3",,,"0,4","27,6",49,"0,3"
19/07/2011 3.00,"0,3","11,4",10,,"27,6","54,3","0,4"
19/07/2011 4.00,"0,3","9,5","8,3","0,4","27,6",,"0,4"
19/07/2011 5.00,"0,3","20,3","14,8","0,4","27,6","25,9","0,7"
19/07/2011 6.00,"0,3","31,5","23,7","0,5","27,6","22,8",
19/07/2011 7.00,"0,3","26,3","19,2","0,4","27,6","37,9",
19/07/2011 8.00,"0,3","31,2","22,6","0,4","27,6","33,4","0,9"
