"NetC","","","","","","",""
"Stat","SS7 Wind","","","","","",""
,SO2,NO2,NOX,CO,PM10,BENZENE
14/03/2012 15.00,"0,993095","5,229777","8,754579","0,304595",,"0,151131"
14/03/2012 16.00,"0,659054","4,571754","7,325961","0,293455","6,349206","0,125658"
14/03/2012 17.00,"0,817047","4,281679","7,370058","0,364217",,"0,043354"
14/03/2012 18.00,"0,879341","5,217446","7,919328","0,355259","6,105006","0,078674"
14/03/2012 19.00,"1,031916","5,604211","8,086637","0,360701",,"0,019476"
14/03/2012 20.00,"0,68343","6,138287","9,030186","0,410363","4,395605","0,039943"
14/03/2012 21.00,"0,642803","16,714643","21,954519","0,414175",,"0,084506"
14/03/2012 22.00,"0,572384","31,247568","42,325445","0,437001","18,55921","0,232831"
14/03/2012 23.00,"0,600371","26,062547","35,550713","0,452168",,"0,282016"
15/03/2012 0.00,"0,607593","20,857434","28,444593","0,403488","25,39682","0,354859"
15/03/2012 1.00,"0,554328","23,028778","30,519095","0,453464",,"0,258909"
15/03/2012 2.00,"0,341264","11,659431","15,240101","0,410226","24,664221","0,106072"
15/03/2012 3.00,"0,579607","5,041584","7,241658","0,375139",,"0,03323"
15/03/2012 4.00,"0,042432","4,399137","6,432995","0,335535","16,60561","0,025968"
15/03/2012 5.00,"0,364737","21,135191","29,932225","0,515129",,"0,069871"
15/03/2012 6.00,"0,630164","29,299449","45,335738","0,325085","16,60561","0,093969"
15/03/2012 7.00,"1,316302","31,230034","73,384741","0,411443",,"0,148105"
15/03/2012 8.00,"1,022888","44,568911","94,908044","0,370425","16,36141","0,19707"
15/03/2012 9.00,"0,650026","23,245521","38,066197","0,327598",,"0,187607"
15/03/2012 10.00,"0,722251","7,496508","11,213642","0,297876","13,67521","0,074603"
15/03/2012 11.00,"0,664471","5,845617","8,892058","0,238843",,"0,191239"
15/03/2012 12.00,"0,74121","5,332956","8,383643","0,236074","10,01221","0,245705"
15/03/2012 13.00,"0,650026","6,556202","10,125481","0,250257",,"0,087147"
15/03/2012 14.00,"0,74753","6,830052","9,857007","0,215898","11,72161","0,104092"
15/03/2012 15.00,"0,828783","5,89234","8,812943","0,266012",,"0,156688"
15/03/2012 16.00,"0,716834","5,353722","8,041242","0,328836","14,40781","0,094188"
15/03/2012 17.00,"0,682527","4,737882","7,069161","0,273104",,"0,166261"
15/03/2012 18.00,"0,650026","5,316085","7,646961","0,328522","17,3382","0,071302"
15/03/2012 19.00,"0,650026","6,27067","8,722154","0,438102",,"0,224909"
15/03/2012 20.00,"0,650026","25,939262","30,878361","0,399499","20,26862","0,284987"
15/03/2012 21.00,"0,650026","20,160491","24,119822","0,417043",,"0,251317"
15/03/2012 22.00,"0,648221","27,907474","33,630529","0,43266","32,722832","0,215116"
15/03/2012 23.00,"0,650026","18,57384","22,456459","0,401032",,"0,241744"
16/03/2012 0.00,"0,562453","15,285031","18,46373","0,390993","32,722832","0,140072"
16/03/2012 1.00,,"12,098763","14,482019","0,406789",,"0,240203"
16/03/2012 2.00,"0,483006",,,"0,404784","24,664221","0,222598"
16/03/2012 3.00,"0,419808","10,819706","13,343924",,,"0,135782"
16/03/2012 4.00,"0,540786","6,525052","8,501667","0,312041","18,80341","0,256818"
16/03/2012 5.00,"0,650026","28,083991","38,222487","0,386043",,"0,086266"
16/03/2012 6.00,"0,650026","40,496849","56,352891","0,411915","28,571421","0,082635"
16/03/2012 7.00,"0,630164","39,595471","55,350314","0,395904",,"0,281466"
16/03/2012 8.00,"2,164947","56,784485","132,19283","0,437768","32,96703","0,273543"
16/03/2012 9.00,"0,781837","34,202811","51,766787","0,376083",,"0,322729"
16/03/2012 10.00,"0,865798","19,635494","29,487361","0,181008","22,954821","0,98205"
16/03/2012 11.00,"2,014178","30,465577","46,602876","0,251653",,"0,522439"
16/03/2012 12.00,"24,681115","48,593612","77,337934","0,700244","34,432232","1,234356"
16/03/2012 13.00,"29,382065","42,537736","65,603551","0,591135",,"2,026379"
16/03/2012 14.00,"11,591216","25,242299","36,822384","0,276601","27,10622","0,766714"
16/03/2012 15.00,"6,880344","21,501836","31,452915","0,27385",,"0,418017"
16/03/2012 16.00,"4,131276","23,037209","32,645468","0,274008","23,93162","0,054026"
16/03/2012 17.00,"2,60552","28,42079","37,562979","0,291982",,"0,119716"
16/03/2012 18.00,"0,678916","32,758925","38,077211","0,299291","21,73382","0,029269"
16/03/2012 19.00,"0,650026","22,045647","24,894774","0,355161",,"0,136222"
16/03/2012 20.00,"0,633775","8,77686","11,637104","0,303554","23,68742","0,316786"
16/03/2012 21.00,"0,650026","6,858606","9,250023","0,329348",,"0,248566"
16/03/2012 22.00,"0,650026","26,777043","29,586573","0,570724","33,211231","0,790041"
16/03/2012 23.00,"0,650026","28,936705","31,696083","0,562926",,"1,696718"
17/03/2012 0.00,"0,650026","10,052668","12,449659","0,418476","38,827831","0,964774"
17/03/2012 1.00,"0,650026","8,318712","10,462695","0,444584",,"0,711477"
17/03/2012 2.00,"0,648221","6,735307","8,835639","0,435351","43,46764","0,307213"
17/03/2012 3.00,"0,650026","5,44068","7,594435","0,363942",,"0,531242"
17/03/2012 4.00,"0,650026","4,777467","7,325961","0,421108","33,211231","0,379616"
17/03/2012 5.00,"0,650026","7,955956","11,288867","0,371604",,"0,300941"
17/03/2012 6.00,"0,681624","12,511485","22,439594","0,381053","36,38583","0,354638"
17/03/2012 7.00,"0,849548","14,855443","26,213136","0,400011",,"0,758351"
17/03/2012 8.00,"0,650026","11,336913","14,709639","0,378676","26,37361","0,541475"
17/03/2012 9.00,"1,163727","25,34419","34,514409","0,667652",,"0,222048"
17/03/2012 10.00,"4,873388","27,378597","38,685494","0,901703","31,25762","1,08284"
17/03/2012 11.00,"7,699195","24,07292","35,326989","0,546758",,"1,229956"
17/03/2012 12.00,"3,571531","16,102694","22,062185","0,201007","23,68742","0,323389"
17/03/2012 13.00,"8,007957","18,259104","25,864255","0,262161",,"0,650629"
17/03/2012 14.00,"7,651346","18,854186","26,513398","0,225623","18,07081","0,815899"
17/03/2012 15.00,"5,169511","15,142921","21,573859","0,259018",,"0,507585"
17/03/2012 16.00,"3,000952","16,732809","22,471371","0,254048","21,97802","0,057987"
17/03/2012 17.00,"1,300051","16,004708","19,937742","0,285971",,"0,192009"
17/03/2012 18.00,"1,163727","22,486916","25,776072","0,264696","34,67643","0,090117"
17/03/2012 19.00,"1,493254","20,525186","23,580944","0,295892",,"0,112784"
17/03/2012 20.00,"0,94344","15,930728","18,426766","0,219945","33,943821","0,080325"
17/03/2012 21.00,"0,687944","19,386953","21,918211","0,278702",,"0,140843"
17/03/2012 22.00,"0,693361","25,641392","28,041239","0,22409","30,76923","0,072072"
17/03/2012 23.00,"0,693361","15,670502","17,994226","0,265128",,"0,211815"
18/03/2012 0.00,"0,704195","11,026072","13,067019","0,329917","27,35042","0,13061"
18/03/2012 1.00,,"12,21232","14,499527","0,270295",,"0,270902"
18/03/2012 2.00,"0,748433",,,"0,256483","38,09523","0,125549"
18/03/2012 3.00,"1,233244","16,946956","19,269785",,,"0,576906"
18/03/2012 4.00,"1,040041","8,112998","10,441942","0,333688","45,421242","0,439694"
18/03/2012 5.00,"0,84684","6,359574","8,606074","0,245365",,"0,398542"
18/03/2012 6.00,"0,650026","7,783989","9,938067","0,243617","34,432232","1,042459"
18/03/2012 7.00,"0,777323","10,915747","13,175964","0,252103",,"0,294229"
18/03/2012 8.00,"0,650026","11,847622","14,99562","0,258704","24,17581","0,419118"
18/03/2012 9.00,"0,650026","11,094854","14,725201","0,199337",,"0,257368"
18/03/2012 10.00,"0,650026","11,168833","14,97487","0,170911","20,757021","0,208294"
18/03/2012 11.00,"0,694264","9,135073","13,079342","0,147474",,"0,212915"
18/03/2012 12.00,"1,023791","9,353116","13,556626","0,143643","12,45421","0,189258"
18/03/2012 13.00,"1,103239","8,552328","12,738885","0,060408",,"0,26243"
18/03/2012 14.00,"1,128517","8,100021","11,987936","0,068326","9,523809","0,979189"
18/03/2012 15.00,"0,969622","7,550371","11,196135","0,074022",,"0,903816"
18/03/2012 16.00,"1,232341","9,267456","12,818648","0,107693","10,25641","0,174734"
18/03/2012 17.00,"0,687944","9,321965","12,148114","0,164449",,"0,046875"
18/03/2012 18.00,"0,650026","14,558222","17,365193","0,158475","37,118431","0,898424"
18/03/2012 19.00,"0,678014","10,153901","12,554714","0,159969",,"0,36135"
18/03/2012 20.00,"0,678014","13,130564","15,862","0,128655","29,54822","0,090558"
18/03/2012 21.00,"0,702389","15,893733","18,602506","0,153525",,"0,09661"
18/03/2012 22.00,"0,673499","14,734094","17,22966","0,143879","36,141621","0,09606"
18/03/2012 23.00,"0,650929","12,358337","14,684347","0,186156",,"0,109923"
19/03/2012 0.00,"1,116781","10,502375","12,705163","0,202972","21,001221","0,212915"
19/03/2012 1.00,"1,144768","16,347988","18,671247","0,354748",,"0,378956"
19/03/2012 2.00,"1,593466","17,111792","19,430624","0,279154","25,88522","0,304352"
19/03/2012 3.00,"3,82793","28,806248","31,120898","0,403291",,"0,617948"
19/03/2012 4.00,"1,857991","9,39335","11,675365","0,316048","23,93162","0,582407"
19/03/2012 5.00,"1,118586","11,118219","13,926265","0,11671",,"0,144144"
19/03/2012 6.00,"0,78635","16,532942","20,18221","0,18586","23,19902","0,309854"
19/03/2012 7.00,"1,044556","46,770752","64,477133","0,192029",,"0,260779"
19/03/2012 8.00,"0,784545","35,391025","48,927696","0,201165","33,943821","0,206313"
19/03/2012 9.00,"2,251618","34,9374","46,335062","0,257938",,"0,320308"
19/03/2012 10.00,"4,675673","28,972382","39,885848","0,193129","33,455421","0,35904"
19/03/2012 11.00,"2,649758","20,884699","32,095577","0,046145",,"0,441675"
19/03/2012 12.00,"1,681942","15,815869","24,523177","0,031844","21,24542","0,974677"
19/03/2012 13.00,"1,278384","13,999493","22,8462","0,053827",,"0,06261"
19/03/2012 14.00,"1,288315","14,690607","24,399319","0,084806","20,51281","0,145794"
19/03/2012 15.00,"1,300051","17,865849","28,375857","0,102644",,"0,201251"
19/03/2012 16.00,"4,097871","26,737446","36,596732","0,199691","21,48962","0,890282"
19/03/2012 17.00,"2,843863","23,953517","32,990489","0,179122",,"1,037397"
19/03/2012 18.00,"1,293732","25,545352","34,076696","0,172384","48,35165","0,302702"
19/03/2012 19.00,"0,715931","37,474758","42,952543","0,143231",,"0,056117"
19/03/2012 20.00,"0,650026","12,590002","15,242044","0,301255","34,67643","0,222267"
19/03/2012 21.00,"0,706903","13,954716","16,961188","1,625284",,"2,281766"
19/03/2012 22.00,"0,650026","19,292213","22,012893","0,674508","65,201462","4,668724"
19/03/2012 23.00,"0,650026","12,704861","14,982001","0,972896",,"3,094144"
20/03/2012 0.00,"0,650026","10,808677","12,770012","0,480397","64,224663","2,629252"
20/03/2012 1.00,,"15,74967","17,935212","0,590881",,"1,960138"
20/03/2012 2.00,"0,779128",,,"0,628363","70,085472","1,530347"
20/03/2012 3.00,"1,282899","23,986612","26,193691",,,"0,800164"
20/03/2012 4.00,"1,470684","23,173497","25,357135","0,807073","61,53846","0,703554"
20/03/2012 5.00,"2,123418","27,389629","29,86997","0,867284",,"0,673956"
20/03/2012 6.00,"1,882366","28,381862","31,767441","0,922192","53,479851","0,835925"
20/03/2012 7.00,"2,193838","39,172367","46,637904","1,087131",,"0,992943"
20/03/2012 8.00,"3,641048","46,589704","60,937044","1,01969","64,468849","1,28079"
20/03/2012 9.00,"4,960059","42,428082","59,832672","0,916358",,"1,198376"
20/03/2012 10.00,"10,44104","36,088616","55,20634","1,018629","53,235641","1,498988"
20/03/2012 11.00,"8,088307","27,878279","42,062832","0,649442",,"1,322163"
20/03/2012 12.00,"7,586344","26,929525","40,464304","0,573043","52,25885","1,534528"
20/03/2012 13.00,"12,453409","41,937482","63,767055","0,593512",,"1,498438"
20/03/2012 14.00,"15,187125","42,75515","59,570041","0,614297","56,410252","1,890487"
20/03/2012 15.00,"7,565579","25,92693","34,592897","0,314417",,"1,34593"
20/03/2012 16.00,"3,262769","23,521978","30,130003","0,280137","59,096451","0,862773"
20/03/2012 17.00,"1,291024","20,721166","25,634049","0,226035",,"0,629612"
20/03/2012 18.00,"1,008443","41,557852","49,620929","0,245306","81,807083","1,400948"
20/03/2012 19.00,"0,669888","45,663663","52,785557","0,187511",,"0,572174"
20/03/2012 20.00,"0,650026","32,440941","37,495523","0,138967","65,201462","0,563813"
20/03/2012 21.00,"0,653637","17,370064","19,525305","0,177904",,"0,538614"
20/03/2012 22.00,"0,652734","14,316824","17,221878","0,193385","65,445663","0,78718"
20/03/2012 23.00,"0,650026","10,644494","12,799193","0,140992",,"0,870366"
21/03/2012 0.00,"0,650026","33,856929","39,72438","0,137928","55,921841","0,658771"
21/03/2012 1.00,"0,650026","12,195445","14,282284","0,140932",,"0,49405"
21/03/2012 2.00,"0,650026","10,646438","12,744072","0,148634","54,700851","0,471384"
21/03/2012 3.00,"0,650026","5,369297","7,260464","0,080524",,"0,201251"
21/03/2012 4.00,"0,650026","3,746308","5,648325","0,062353","38,827831","0,206863"
21/03/2012 5.00,"0,650026","8,032532","11,864074","0,081094",,"0,108713"
21/03/2012 6.00,"0,650026","11,638659","16,201159","0,11284","31,01343","0,184527"
21/03/2012 7.00,"0,891077","28,249474","49,817425","0,268409",,"0,417687"
21/03/2012 8.00,"1,320816","38,215182","67,667704","0,26558","45,909641","1,01671"
21/03/2012 9.00,"1,198034","27,992482","41,081001","0,187079",,"1,336247"
21/03/2012 10.00,"0,980456","15,949546","22,907155","0,028013","34,18803","1,111449"
21/03/2012 11.00,"0,81524","18,026136","27,226726","0,002397",,"0,32856"
21/03/2012 12.00,"2,481835","22,787369","32,469106","0,046617","26,86202","0,239984"
21/03/2012 13.00,"6,743116","25,765347","36,070148","0,114059",,"0,421869"
21/03/2012 14.00,"9,378428","28,246874","38,511715","0,158751","27,83882","0,927143"
21/03/2012 15.00,"8,915285","37,886163","50,33879","0,22794",,"0,779368"
21/03/2012 16.00,"5,729256","28,674512","37,820429","0,255463","33,211231","0,631923"
21/03/2012 17.00,"4,827345","39,266456","48,44719","0,261002",,"0,418458"
21/03/2012 18.00,"1,807433","34,631097","42,056333","0,120875","47,863232","0,420988"
21/03/2012 19.00,"0,679819","48,745463","55,720611","0,112565",,"0,240423"
21/03/2012 20.00,"0,650026","22,802952","29,288263","0,082135","44,932831","0,366412"
21/03/2012 21.00,"0,650026","11,284995","13,874385","0,14663",,"0,475675"
21/03/2012 22.00,"0,650026","10,704194","13,375049","0,123685","47,13063","0,477986"
21/03/2012 23.00,"0,650026","10,101338","12,818","0,114177",,"0,405143"
22/03/2012 0.00,"0,59044","30,872471","38,921551","0,162916","49,328442","0,383577"
22/03/2012 1.00,,"10,65488","12,448363","0,099718",,"0,498123"
22/03/2012 2.00,"0,626552",,,"0,059367","47,863232","0,399202"
22/03/2012 3.00,"0,650026","7,481585","9,569726",,,"1,053902"
22/03/2012 4.00,"0,650026","11,186999","14,290716","0,058797","37,606831","0,211705"
22/03/2012 5.00,"0,538979","20,5479","26,369424","0,062608",,"0,226999"
22/03/2012 6.00,"0,641901","33,134003","41,944156","0,090073","60,561661","0,29434"
22/03/2012 7.00,"1,673816","52,986261","115,339275","0,161226",,"0,85056"
22/03/2012 8.00,"2,360858","66,399782","146,494567","0,136042","51,770451","0,36102"
22/03/2012 9.00,"0,791768","36,884869","54,400298","0,070545",,"0,462581"
22/03/2012 10.00,"0,838714","28,079439","42,572534","0,000394","28,571421","0,403493"
22/03/2012 11.00,"4,843595","27,949023","41,603055",,,"0,048525"
22/03/2012 12.00,"2,080985","21,708848","32,757685",,"15,38461","0,215226"
22/03/2012 13.00,"2,610035","20,539448","30,012626",,,"0,118727"
22/03/2012 14.00,"2,524267","24,371422","35,272498",,"9,523809","0,273763"
22/03/2012 15.00,"2,870045","26,159256","36,333447",,,"0,03422"
22/03/2012 16.00,"3,40451","27,030115","36,67973",,"16,36141","0,050286"
22/03/2012 17.00,"4,003979","35,363108","47,080799","0,008447",,"0,16362"
22/03/2012 18.00,"0,919064","39,304733","48,070412","0,045223","35,409031","0,221388"
22/03/2012 19.00,"0,650026","26,756278","29,941288","0,058679",,"0,297971"
22/03/2012 20.00,"0,650026","13,600402","17,670628","0,118007","30,036631","0,322948"
22/03/2012 21.00,"0,650026","8,264201","10,642974","0,100228",,"0,299841"
22/03/2012 22.00,"0,650026","9,673041","11,882881","0,082391","27,83882","0,280806"
22/03/2012 23.00,"0,650026","6,560743","9,849224","0,051549",,"0,220507"
23/03/2012 0.00,"0,650026","4,399787","6,427806","0,064259","18,07081","0,059859"
23/03/2012 1.00,"0,650026","3,914382","6,150902","0,051332",,"0,088687"
23/03/2012 2.00,"0,650026","4,24599","6,178787","0,089955","22,954821","0,039722"
23/03/2012 3.00,"0,725862","5,09869","7,349955","0,078462",,"0,09925"
23/03/2012 4.00,"0,668083","8,731434","13,987222","0,04978","19,53602","0,060959"
23/03/2012 5.00,"0,646414","3,718404","5,877241","0,083099",,"0,129179"
23/03/2012 6.00,"0,650026","12,95341","18,728962","0,06856","21,73382","0,076033"
23/03/2012 7.00,"1,221506","38,525383","71,490537","0,082725",,"0,1612"
23/03/2012 8.00,"0,742113","19,889217","27,66899","0,102723","43,956032","0,549067"
23/03/2012 9.00,"1,858894","39,884243","67,212461","0,097478",,"0,604414"
23/03/2012 10.00,"3,734037","44,744124","61,817675","0,171423","49,572651","1,449693"
23/03/2012 11.00,"4,494206","28,008714","38,829468","0,045871",,"1,381031"
23/03/2012 12.00,"11,950543","33,449387","45,98681",,"39,072041","0,780028"
23/03/2012 13.00,"14,020687","30,245601","41,854655",,,"0,734474"
23/03/2012 14.00,"6,256499","29,451301","41,617318",,"37,118431","1,280351"
23/03/2012 15.00,"5,7753","26,250746","36,403467",,,"0,299071"
23/03/2012 16.00,"8,270676","40,219112","56,188152",,"27,59462","0,110254"
23/03/2012 17.00,"2,818584","31,318291","39,906595","0,019546",,"0,070092"
23/03/2012 18.00,"2,724691","41,880369","49,985396","0,079542","29,30402","0,091108"
23/03/2012 19.00,"1,438182","38,183385","42,183422","0,058995",,"0,059418"
23/03/2012 20.00,"0,698778","11,674352","14,031968","0,030685","28,571421","0,216986"
23/03/2012 21.00,"0,687944","18,801618","25,283866","0,065221",,"0,288398"
23/03/2012 22.00,"0,668083","7,944275","10,139099","0,07915","35,409031","0,079224"
23/03/2012 23.00,"0,706903","10,904071","15,620763","0,061842",,"0,048855"
24/03/2012 0.00,"0,658152","9,930667","12,050192","0,079366","35,164822","0,136442"
24/03/2012 1.00,,"21,370748","23,404544","0,101643",,"0,100791"
24/03/2012 2.00,"0,650026",,,"0,077028","38,09523","0,298191"
24/03/2012 3.00,"0,650026","9,726902","12,087803",,,"0,192339"
24/03/2012 4.00,"0,679819","6,475733","9,220193","0,057383","27,59462","0,132481"
24/03/2012 5.00,"0,658152","7,521169","11,99961","0,057717",,"0,058648"
24/03/2012 6.00,"0,903716","12,701616","20,30737","0,065673","22,710621","0,173083"
24/03/2012 7.00,"1,094211","23,24099","44,406466","0,096889",,"0,148545"
24/03/2012 8.00,"1,077057","23,2877","32,122134","0,064101","39,072041","0,122688"
24/03/2012 9.00,"3,018106","45,74219","63,683367","0,090622",,"0,698823"
24/03/2012 10.00,"5,632654","49,12056","74,908716","0,066872","42,97924","1,483143"
24/03/2012 11.00,"4,512263","38,487737","59,832672","0,007898",,"1,34593"
24/03/2012 12.00,"3,582365","17,357085","24,192458",,"45,66544","0,480516"
24/03/2012 13.00,"2,540518","19,044318","27,016616",,,"0,435733"
24/03/2012 14.00,"2,689482","16,805497","23,929827","0,000825","37,118431","0,173413"
24/03/2012 15.00,"2,05029","13,913186","19,54605","0,003281",,"0,13094"
24/03/2012 16.00,"1,378596","13,258414","18,132354","0,016678","40,04884","0,124448"
24/03/2012 17.00,"1,03011","10,164286","13,306312","0,030272",,"0,143374"
24/03/2012 18.00,"0,806212","13,176641","16,582468","0,079327","36,38583","0,226009"
24/03/2012 19.00,"0,658152","4,993563","7,48095","0,069425",,"0,152177"
24/03/2012 20.00,"0,818852","15,614049","19,035048","0,082547","28,327221","0,072952"
24/03/2012 21.00,"0,650026","16,126059","19,416359","0,057756",,"0,174293"
24/03/2012 22.00,"0,650026","7,647063","9,741576","0,053179","24,664221","0,166481"
24/03/2012 23.00,"0,650026","5,957234","8,379753","0,068286",,"0,172533"
25/03/2012 0.00,"0,650026","14,265557","17,472841","0,031786","32,722832","0,110254"
25/03/2012 1.00,"0,673499","12,577673","15,284845","0,022709",,"0,137432"
25/03/2012 2.00,"0,650026","16,761362","21,269717","0,045321","26,86202","0,112894"
25/03/2012 3.00,"0,650026","11,486814","15,064361","0,058523",,"0,046104"
25/03/2012 4.00,"0,650026","4,072722","6,225477","0,056362","25,39682","0,078674"
25/03/2012 5.00,"0,650026","6,470541","8,35122","0,073649",,"0,073393"
25/03/2012 6.00,"0,284387","8,245381","11,051521","0,041883","33,943821","0,156908"
25/03/2012 7.00,"0,348486","10,467982","13,249244","0,068344",,"0,113005"
25/03/2012 8.00,"0,673499","6,067552","8,39402","0,050703","22,46641","0,3597"
25/03/2012 9.00,"1,300051","7,482881","10,884859","0,006266",,"0,460381"
25/03/2012 10.00,"2,128835","30,128129","41,241189","0,034537","27,83882","0,673736"
25/03/2012 11.00,"7,124103","24,932765","33,92366","0,003281",,"1,057863"
25/03/2012 12.00,"6,700683","15,261025","20,797627","0,002593","35,89743","0,711587"
25/03/2012 13.00,"4,61428","11,076034","15,046202",,,"0,35838"
25/03/2012 14.00,"1,975357","4,720361","7,387568",,"28,81562","0,086926"
25/03/2012 15.00,"1,00754","3,131764","5,3805","0,025224",,"0,082525"
25/03/2012 16.00,"0,772808","2,981213","5,313706","0,036814","30,76923","0,075153"
25/03/2012 17.00,"1,207062","2,902043","5,220972","0,02715",,"0,055677"
25/03/2012 18.00,"1,29012","21,611508","26,507565","0,080485","30,76923","0,072512"
25/03/2012 19.00,"1,040041","6,796957","8,860282","0,080348",,"0,09551"
25/03/2012 20.00,"0,701486","21,337002","23,882485","0,074416","25,15262","0,055126"
25/03/2012 21.00,"0,715931","31,369551","35,437887","0,074966",,"0,098259"
25/03/2012 22.00,"0,650026","18,900255","22,429212","0,082332","36,38583","0,233931"
25/03/2012 23.00,"0,652734","24,782196","28,407634","0,088519",,"0,209284"
26/03/2012 0.00,"0,650026","10,449164","12,674036","0,081742","35,409031","0,215666"
26/03/2012 1.00,,"12,713305","15,190166","0,090288",,"0,248676"
26/03/2012 2.00,"0,784545",,,"0,08854","33,455421","0,125658"
26/03/2012 3.00,"0,727668","15,979401","19,844361",,,"0,232831"
26/03/2012 4.00,"0,863992","17,023531","21,370883","0,06693","46,153831","0,237673"
26/03/2012 5.00,"0,998512","44,773973","67,759138","0,063846",,"0,167581"
26/03/2012 6.00,"1,114975","44,241843","62,948643","0,137495","38,09523","0,16351"
26/03/2012 7.00,"1,138448","29,999661","40,889706","0,103057",,"0,282347"
26/03/2012 8.00,"1,300051","26,111227","35,654458","0,061802","35,89743","0,305014"
26/03/2012 9.00,"1,300051","16,071548","22,072548",,,"0,32801"
26/03/2012 10.00,"2,543226","5,806679","8,348625",,"28,08301","0,206863"
26/03/2012 11.00,"3,25013","6,236615","8,982916","0,135669",,"0,290451"
26/03/2012 12.00,"3,430692","5,962425","9,169612","0,223318","29,79241","0,251977"
26/03/2012 13.00,"3,75142","5,051802","7,811525","0,162195",,"0,124431"
26/03/2012 14.00,"3,518265","4,296606","6,828572","0,18124","21,001221","0,085386"
26/03/2012 15.00,"1,53027","3,255711","5,751433","0,196587",,"0,071962"
26/03/2012 16.00,"1,854379","3,649616","6,097727","0,233726","12,94261","0,075593"
26/03/2012 17.00,"1,607008","3,729436","6,140525","0,317062",,"0,077354"
26/03/2012 18.00,"1,443599","4,31802","6,914172","0,316711","19,2918","0,077904"
26/03/2012 19.00,"1,068931","6,562041","9,143672","0,354572",,"0,078124"
26/03/2012 20.00,"0,650026","7,617213","9,790863","0,266256","17,3382","0,095179"
26/03/2012 21.00,"0,691555","5,832638","8,079503","0,306088",,"0,076033"
26/03/2012 22.00,"0,706","4,664553","6,758536","0,283478","13,67521","0,068881"
26/03/2012 23.00,"0,751141","6,932585","8,923833","0,384682",,"0,092649"
27/03/2012 0.00,"1,038236","5,014329","7,311694","0,315403","14,40781","0,063489"
27/03/2012 1.00,"0,873923","4,781361","6,626244","0,322139",,"0,085056"
27/03/2012 2.00,"0,777323","4,254425","6,117182","0,318723","17,094","0,078234"
27/03/2012 3.00,"1,104142","5,315435","7,611943","0,278538",,"0,097599"
27/03/2012 4.00,"1,059","5,645094","8,09831","0,310932","20,26862","0,076804"
27/03/2012 5.00,"0,681624","4,820297","7,607404","0,334909",,"0,134241"
27/03/2012 6.00,"0,650026","5,465339","8,38494","0,354592","28,08301","0,139963"
27/03/2012 7.00,"0,650026","7,347904","10,145585","0,388098",,"0,223258"
27/03/2012 8.00,"0,662665","6,647052","9,735091","0,309956","25,39682","0,152727"
27/03/2012 9.00,"1,004832","5,669755","8,718913","0,306811",,"0,105522"
27/03/2012 10.00,"1,8932","5,87352","8,914755","0,290996","13,43101","0,363551"
27/03/2012 11.00,"2,575727","4,197968","7,084725","0,252725",,"0,171652"
27/03/2012 12.00,"1,367763","3,571096","5,984889","0,155245","12,45421","0,114104"
27/03/2012 13.00,"1,300051","2,994192","5,394117","0,283811",,"0,073832"
27/03/2012 14.00,"1,300051","2,673616","5,395415","0,254306","12,45421","0,079444"
27/03/2012 15.00,"1,300051","3,15902","5,947926","0,232944",,"0,095619"
27/03/2012 16.00,"1,681942","2,751488","5,530949","0,376588","14,89621","0,078674"
27/03/2012 17.00,"1,722568","2,810542","5,296196","0,386786",,"0,079114"
27/03/2012 18.00,"1,348803","3,986415","6,435587","0,292232","18,07081","0,101451"
27/03/2012 19.00,"1,153796","4,46403","6,602897","0,200103",,"0,096499"
27/03/2012 20.00,"0,812532","11,791818","14,834794","0,258796","17,3382","0,143704"
27/03/2012 21.00,"0,696972","9,818403","12,233714","0,19267",,"0,133471"
27/03/2012 22.00,"0,673499","22,830216","26,519878","0,252311","18,31501","0,205653"
27/03/2012 23.00,"0,650026","22,226693","25,416808","0,188739",,"0,364761"
28/03/2012 0.00,"0,650026","19,67119","24,085463","0,247312","26,617821","0,102992"
28/03/2012 1.00,,"18,011867","22,433112","0,194386",,"0,155917"
28/03/2012 2.00,"0,802601",,,"0,096158","15,14041","0,13336"
28/03/2012 3.00,"0,650026","12,417386","16,470929",,,"0,080544"
28/03/2012 4.00,"0,650026","22,69783","29,268169","0,690652","17,582411","0,094298"
28/03/2012 5.00,"0,754752","6,292084","9,124217","0,513821",,"0,078564"
28/03/2012 6.00,"1,008443","24,70694","38,634253","0,751047","20,26862","0,077243"
28/03/2012 7.00,"1,412904","45,26004","73,978127","0,72395",,"0,204002"
28/03/2012 8.00,"1,281092","25,213753","35,271867","0,753472","25,15262","0,290489"
28/03/2012 9.00,"1,242272","10,981935","15,835411","0,875542",,"0,251096"
28/03/2012 10.00,"1,300051","6,18501","8,925131","0,828777","25,39682","0,298521"
28/03/2012 11.00,"1,300051","5,882604","8,900488","0,878823",,"0,179905"
28/03/2012 12.00,"1,284704","4,334244","6,886936","0,83722","23,19902","0,13072"
28/03/2012 13.00,"1,300051","4,270649","6,750104","0,838304",,"0,155917"
28/03/2012 14.00,"1,198034","3,273883","5,794884","0,86013","16,84981","0,095949"
28/03/2012 15.00,"1,281996","3,438063","5,990726","0,866554",,"0,056007"
28/03/2012 16.00,"1,299149","2,893605","5,226159","0,707529","15,38461","0,076143"
28/03/2012 17.00,"1,287412","3,066223","5,633409","0,823172",,"0,096389"
28/03/2012 18.00,"1,37318","4,039628","6,569825","0,651565","22,22221","0,077793"
