"NetC","SIMAGE Brindisi","","","","","","","","","","","","","","","","",""
"Stat","Via Taranto","","","","","","","","","","","","","","","","",""
,SO2,NOX,NO2,CO,O3,BENZENE,PM10
24/09/2011 10.00,"0,9","17,3","13,3","0,3",83,1,"34,4"
24/09/2011 11.00,1,"13,9","10,8","0,3","87,4","0,8","34,4"
24/09/2011 12.00,"1,3","16,2","12,5","0,2","86,9","0,8","34,4"
24/09/2011 13.00,"1,3","14,5",11,"0,1","90,1",,"34,4"
24/09/2011 14.00,"1,1","9,5","7,1","0,3","94,6","0,3","34,4"
24/09/2011 15.00,"1,6","8,4","6,3","0,3","98,6","0,6","34,4"
24/09/2011 16.00,"0,7","9,4","7,2","0,3","95,8","0,6","34,4"
24/09/2011 17.00,"0,7","12,7","9,8","0,3","93,4","0,7","34,4"
24/09/2011 18.00,"0,8","21,1","17,2","0,4","82,9","0,7","34,4"
24/09/2011 19.00,"0,8","34,2","28,7","0,5","64,4","1,3","34,4"
24/09/2011 20.00,"0,9","47,4","39,2","0,5","53,5","1,5","34,4"
24/09/2011 21.00,"0,9","61,2","49,3","0,6","38,1","1,8","34,4"
24/09/2011 22.00,"1,6","100,9","68,8","0,7","12,6","0,8","34,4"
24/09/2011 23.00,"1,2","61,5","45,8","0,5",43,"2,5","34,4"
25/09/2011 0.00,"0,7","27,9","23,7","0,4","59,2","1,8","34,4"
25/09/2011 1.00,,"23,9","20,9","0,4",61,"1,2","34,7"
25/09/2011 2.00,"0,7",,,"0,4","60,3",1,"34,7"
25/09/2011 3.00,"0,7","13,8","11,9",,"64,3","0,8","34,7"
25/09/2011 4.00,"0,7","11,8","9,9","0,3",,"0,8","34,7"
25/09/2011 5.00,"0,7","18,6","15,7","0,3","44,4","0,8","34,7"
25/09/2011 6.00,"0,8","34,4","29,9","0,4","28,9",1,"34,7"
25/09/2011 7.00,"0,9","46,9","35,1","0,4","20,2","1,2","34,7"
25/09/2011 8.00,"0,8","52,9","36,1","0,5","29,9","1,4","34,7"
25/09/2011 9.00,"0,8","26,5","19,6","0,4","54,9","2,1","34,7"
25/09/2011 10.00,"0,8","26,9","18,9","0,3",91,"1,2","34,7"
25/09/2011 11.00,"0,8","18,3",14,"0,4","101,7","0,8","34,7"
25/09/2011 12.00,"0,9","26,4","19,8","0,4","98,5","0,9","34,7"
25/09/2011 13.00,"0,9","29,5","22,9","0,3",108,"0,5","34,7"
25/09/2011 14.00,"0,9","9,9","7,6","0,3",125,"0,8","34,7"
25/09/2011 15.00,"0,8","7,8","5,5","0,3","114,8","0,6","34,7"
25/09/2011 16.00,"0,7","10,3",8,"0,3",121,"0,6","34,7"
25/09/2011 17.00,"0,7",21,"17,2","0,3","94,2","0,6","34,7"
25/09/2011 18.00,"0,7","27,1",22,"0,4","87,9","0,7","34,7"
25/09/2011 19.00,"0,7","26,5","21,1","0,4","89,2","0,8","34,7"
25/09/2011 20.00,"0,8","37,3","30,1","0,4","67,6","1,1","34,7"
25/09/2011 21.00,"0,8","57,2","47,3","0,5","51,3","1,1","34,7"
25/09/2011 22.00,"1,4","112,8","78,5","0,7","17,2","1,6","34,7"
25/09/2011 23.00,"1,1","93,9","70,8","0,5","18,6","0,8","34,7"
26/09/2011 0.00,"0,7","47,5",41,"0,4","35,9","1,7","34,7"
26/09/2011 1.00,"0,7",33,"28,7","0,4","46,9","1,3","23,8"
26/09/2011 2.00,"0,7","14,2",12,"0,3","58,4","1,1","23,8"
26/09/2011 3.00,"0,7","10,7","8,8","0,3","62,5","0,5","23,8"
26/09/2011 4.00,"0,7","7,2","5,6","0,2",79,"0,6","23,8"
26/09/2011 5.00,"0,7","8,3","6,4","0,2","83,1","0,6","23,8"
26/09/2011 6.00,"0,7","10,9","8,4","0,3","83,7","0,5","23,8"
26/09/2011 7.00,"0,7","27,1","21,3","0,3",72,"0,6","23,8"
26/09/2011 8.00,"0,7",38,"30,1","0,4","74,2","1,1","23,8"
26/09/2011 9.00,"0,7",26,"20,7","0,3","86,3","0,8","23,8"
26/09/2011 10.00,"0,7","18,3","14,3","0,3","102,2","0,9","23,8"
26/09/2011 11.00,"0,9","20,8","15,2","0,3","97,6","0,7","23,8"
26/09/2011 12.00,"0,9",22,"15,8","0,3",97,"0,6","23,8"
26/09/2011 13.00,"0,8","24,9","17,5","0,3",96,"0,8","23,8"
26/09/2011 14.00,"0,8","14,9","10,7","0,3","101,8","0,7","23,8"
26/09/2011 15.00,"0,7",14,"11,5","0,3","96,6","0,5","23,8"
26/09/2011 16.00,"0,7",22,"18,9","0,3","83,5","0,2","23,8"
26/09/2011 17.00,"0,7",21,"18,1","0,4","74,8","0,7","23,8"
26/09/2011 18.00,"0,7","28,8","24,7","0,4","62,5","0,7","23,8"
26/09/2011 19.00,"0,7","23,6","19,8","0,4","65,1","1,1","23,8"
26/09/2011 20.00,"0,7","26,6","22,5","0,4",58,"0,6","23,8"
26/09/2011 21.00,"0,7","30,3","26,2","0,4","51,9","0,7","23,8"
26/09/2011 22.00,"0,7","19,6","16,8","0,3","59,7","1,1","23,8"
26/09/2011 23.00,"0,7","21,7","18,4","0,3","53,8","0,5","23,8"
27/09/2011 0.00,"0,7",19,"16,2","0,3","55,6","0,8","23,8"
27/09/2011 1.00,,"13,9","11,7","0,2","58,3","0,7","33,6"
27/09/2011 2.00,"0,6",,,"0,3",76,"0,6","33,6"
27/09/2011 3.00,"0,7","7,1","5,7",,"78,7","0,5","33,6"
27/09/2011 4.00,"0,7","7,6",6,"0,3",,"0,4","33,6"
27/09/2011 5.00,"0,7",7,"5,3","0,3","79,8","0,2","33,6"
27/09/2011 6.00,"0,7","12,2","10,2","0,3","61,4","0,3","33,6"
27/09/2011 7.00,"0,7","24,6","19,5","0,4","52,4","0,6","33,6"
27/09/2011 8.00,"0,7","33,8","25,4","0,5","50,1",1,"33,6"
27/09/2011 9.00,"0,7",29,"21,2","0,4",55,"1,5","33,6"
27/09/2011 10.00,"0,8","27,5","19,8","0,5","74,3","0,6","33,6"
27/09/2011 11.00,"0,8","21,8","16,2","0,3","90,6","1,1","33,6"
27/09/2011 12.00,"0,8","35,9","26,3","0,4","84,8","0,8","33,6"
27/09/2011 13.00,"0,8","47,9","34,2","0,4","78,1",,"33,6"
27/09/2011 14.00,"0,8","39,5","29,4","0,4","85,3","0,9","33,6"
27/09/2011 15.00,"0,8","33,2","26,2","0,3","87,8","0,4","33,6"
27/09/2011 16.00,"0,7","27,7","21,9","0,3","94,9","0,5","33,6"
27/09/2011 17.00,"0,7","49,2","40,7","0,3","84,2","0,7","33,6"
27/09/2011 18.00,"0,7","36,3","31,2","0,4","102,9","0,9","33,6"
27/09/2011 19.00,"0,7","35,9","30,6","0,4","101,6","0,8","33,6"
27/09/2011 20.00,"0,7","31,4","27,7","0,5","94,4","1,2","33,6"
27/09/2011 21.00,"0,7","47,1","42,2","0,6","69,3","1,1","33,6"
27/09/2011 22.00,"0,7",28,"24,4","0,4",89,"1,2","33,6"
27/09/2011 23.00,"0,7",13,"10,6","0,3","98,8","0,9","33,6"
28/09/2011 0.00,"0,7","10,7","8,7","0,3","97,9","0,8","33,6"
28/09/2011 1.00,"0,7","6,2","4,5","0,3","103,6","0,8","30,1"
28/09/2011 2.00,"0,7","8,4","6,8","0,3","95,7","0,6","30,1"
28/09/2011 3.00,"0,7","20,6","17,4","0,3",94,"0,6","30,1"
28/09/2011 4.00,"0,6","24,4","19,5","0,3","83,6","0,7","30,1"
28/09/2011 5.00,"0,7","23,1","18,1","0,3","74,3","0,6","30,1"
28/09/2011 6.00,"0,7",29,"22,8","0,3","68,8","0,6","30,1"
28/09/2011 7.00,"0,7","35,7","27,2","0,3","64,6",,"30,1"
28/09/2011 8.00,"0,7","39,3","28,2","0,3","62,2","0,7","30,1"
28/09/2011 9.00,"0,7","35,8","26,2","0,3","69,8","0,7","30,1"
28/09/2011 10.00,"0,7","35,7","24,7","0,3","75,3","0,2","30,1"
28/09/2011 11.00,"0,8","37,7","26,8","0,3",80,"0,3","30,1"
28/09/2011 12.00,"0,8","40,4","29,1","0,3","83,3","0,7","30,1"
28/09/2011 13.00,"0,8","40,7","29,8","0,3","86,5",,"30,1"
28/09/2011 14.00,"0,7","22,7","17,5","0,3","105,3","0,7","30,1"
28/09/2011 15.00,"0,7","14,8","11,5","0,3","110,4","0,6","30,1"
28/09/2011 16.00,"0,7","11,7",9,"0,3","111,8","0,6","30,1"
28/09/2011 17.00,"0,7","15,5","12,7","0,3","105,4","0,3","30,1"
28/09/2011 18.00,"0,7","16,8",14,"0,2","101,3","0,6","30,1"
28/09/2011 19.00,"0,7","19,7","15,7","0,3","97,4","0,3","30,1"
28/09/2011 20.00,"0,7","24,4","19,5","0,4","93,9","1,1","30,1"
28/09/2011 21.00,"0,7","21,3",17,"0,3","99,9","0,7","30,1"
28/09/2011 22.00,"0,7","15,3","12,3","0,3","104,4","0,2","30,1"
28/09/2011 23.00,"0,7","12,9","10,3","0,3","107,8",,"30,1"
29/09/2011 0.00,"0,7","8,4","6,6","0,3",113,"0,2","30,1"
29/09/2011 1.00,,8,"6,2","0,3","106,6","0,3","35,2"
29/09/2011 2.00,"0,7",,,"0,3","78,3","0,5","35,2"
29/09/2011 3.00,"0,7","33,7","27,9",,"80,4","0,7","35,2"
29/09/2011 4.00,"0,7","31,9","27,2","0,3",,"0,7","35,2"
29/09/2011 5.00,"0,7","31,2","26,7","0,3","70,4","0,8","35,2"
29/09/2011 6.00,"0,7","40,4","33,9","0,3","70,5","0,9","35,2"
29/09/2011 7.00,"0,7","53,3",41,"0,4","62,1","0,9","35,2"
29/09/2011 8.00,"0,7","57,8","42,4","0,4","63,6","1,1","35,2"
29/09/2011 9.00,"0,7","52,3","39,6","0,3","78,1","1,1","35,2"
29/09/2011 10.00,"0,8","46,8","34,7","0,3","84,7","0,9","35,2"
29/09/2011 11.00,"0,8","44,6","32,6","0,3","85,2","0,4","35,2"
29/09/2011 12.00,"0,8",31,"23,9","0,3",105,,"35,2"
29/09/2011 13.00,"0,8",24,"18,7","0,4",118,1,"35,2"
29/09/2011 14.00,"0,8","17,1","13,3","0,3","123,8",1,"35,2"
29/09/2011 15.00,"0,7","15,4","12,1","0,3","122,5","0,6","35,2"
29/09/2011 16.00,"0,7","14,2","11,3","0,3","118,5","0,5","35,2"
29/09/2011 17.00,"0,7","19,3","15,7","0,4","112,2","0,6","35,2"
29/09/2011 18.00,"0,7","24,6","20,8","0,4","108,7","0,7","35,2"
29/09/2011 19.00,"0,7","30,5","26,8","0,4","104,6","0,7","35,2"
29/09/2011 20.00,"0,7",24,"20,3","0,4","107,5","0,4","35,2"
29/09/2011 21.00,"0,7","18,3","15,6","0,4","110,7","0,9","35,2"
29/09/2011 22.00,"0,7","12,5","10,2","0,4","117,1","0,8","35,2"
29/09/2011 23.00,"0,7","11,2",9,"0,4",116,"0,8","35,2"
30/09/2011 0.00,"0,7","8,1","6,2","0,3",118,"0,7","35,2"
30/09/2011 1.00,"0,7","8,6","6,6","0,3","113,9","0,5","27,5"
30/09/2011 2.00,"0,7","6,3","4,7","0,3","106,3","0,5","27,5"
30/09/2011 3.00,"0,7","8,8","7,1","0,4","86,1","0,6","27,5"
30/09/2011 4.00,"0,7","7,8","6,4","0,3",81,"0,7","27,5"
30/09/2011 5.00,"0,7","10,9","8,7","0,3",69,"0,7","27,5"
30/09/2011 6.00,"0,7","18,5","16,1","0,3","59,4","0,7","27,5"
30/09/2011 7.00,"0,7","19,1","15,8","0,3","71,5","1,1","27,5"
30/09/2011 8.00,"0,7","23,1","16,7","0,3","70,9","0,7","27,5"
30/09/2011 9.00,"0,7","17,5","12,4","0,3","74,9","0,3","27,5"
30/09/2011 10.00,"0,7","20,3","14,1","0,3","76,5","0,5","27,5"
30/09/2011 11.00,"0,7","19,7","13,4","0,3","83,5","0,6","27,5"
30/09/2011 12.00,,,,,,,"27,5"
30/09/2011 13.00,,"17,8","12,6","0,3","89,8","0,6","27,5"
30/09/2011 14.00,"3,3","11,6","8,6","0,3","96,3","0,6","27,5"
30/09/2011 15.00,"3,4","10,5","7,9","0,3","98,8","0,5","27,5"
30/09/2011 16.00,"3,1",13,10,"0,3","93,4","0,4","27,5"
30/09/2011 17.00,"3,3","19,8","15,6","0,4","87,8","0,6","27,5"
30/09/2011 18.00,"3,5","23,2","18,8","0,4","87,6","0,9","27,5"
30/09/2011 19.00,"3,4",30,"25,8","0,4","78,7","1,3","27,5"
30/09/2011 20.00,"3,5","25,5",21,"0,4","80,9","1,3","27,5"
30/09/2011 21.00,"3,1","21,2","17,3","0,3","82,4","0,7","27,5"
30/09/2011 22.00,"3,1","17,3","14,3","0,3","85,4","0,7","27,5"
30/09/2011 23.00,"3,1","15,7","12,6","0,3","85,9","0,7","27,5"
01/10/2011 0.00,"3,1","11,4","9,2","0,3","86,1","0,3","27,5"
01/10/2011 1.00,,"6,5","4,9","0,3","91,1","0,6","26,2"
01/10/2011 2.00,"2,9",,,"0,3","87,7","0,5","26,2"
01/10/2011 3.00,"3,2","10,9","9,3",,"84,4","0,6","26,2"
01/10/2011 4.00,"2,8","9,8","8,2","0,3",,"0,3","26,2"
01/10/2011 5.00,"2,9","8,6","6,8","0,3","74,4","0,3","26,2"
01/10/2011 6.00,"3,1","8,8","7,2","0,3","78,9","0,5","26,2"
01/10/2011 7.00,"3,1","19,2","15,5","0,4","73,1","0,6","26,2"
01/10/2011 8.00,"3,2",36,"27,7","0,4","62,4","1,2","26,2"
01/10/2011 9.00,"3,3",27,"20,1","0,3","68,4",1,"26,2"
01/10/2011 10.00,"3,3",33,"24,1","0,3",70,"0,9","26,2"
01/10/2011 11.00,"3,6","31,3","22,8","0,3","75,9","0,8","26,2"
01/10/2011 12.00,"3,4","32,6",24,"0,4",82,"0,7","26,2"
01/10/2011 13.00,"3,4","20,7","15,5","0,3","91,7","0,8","26,2"
01/10/2011 14.00,"3,2","13,9","10,8","0,3","101,1","0,7","26,2"
01/10/2011 15.00,"3,3","10,8","8,6","0,3","101,4","0,6","26,2"
01/10/2011 16.00,"3,2","11,9","9,3","0,3","101,6","0,5","26,2"
01/10/2011 17.00,3,"11,9","9,7","0,3","100,4","0,3","26,2"
01/10/2011 18.00,"3,1","17,1","14,4","0,3","90,6","0,3","26,2"
01/10/2011 19.00,"3,1","22,4","18,2","0,4","86,8","0,6","26,2"
01/10/2011 20.00,"3,1","23,2","19,1","0,4","91,9","1,1","26,2"
01/10/2011 21.00,3,"27,2","22,3","0,4",87,"0,9","26,2"
01/10/2011 22.00,"2,9","20,5","16,7","0,4","90,1",1,"26,2"
01/10/2011 23.00,"3,2","21,5","17,6","0,4","87,9","0,8","26,2"
02/10/2011 0.00,3,"17,5","14,2","0,4","88,9","0,9","26,2"
02/10/2011 1.00,"2,9","14,8","12,5","0,3","85,9","0,8","22,7"
02/10/2011 2.00,"2,9","8,8",7,"0,3","88,9","0,7","22,7"
02/10/2011 3.00,"2,7","7,4","5,9","0,3","72,1","0,7","22,7"
02/10/2011 4.00,"2,9","7,5",6,"0,3","68,6","0,6","22,7"
02/10/2011 5.00,"2,7","7,8",6,"0,3","66,8","0,5","22,7"
02/10/2011 6.00,"2,8","8,7","6,8","0,4","63,8","0,6","22,7"
02/10/2011 7.00,"2,8","8,6","6,8","0,4","65,1","0,6","22,7"
02/10/2011 8.00,"2,9","9,7","7,4","0,4","66,1","0,6","22,7"
02/10/2011 9.00,3,11,"8,1","0,4","68,9","0,7","22,7"
02/10/2011 10.00,"3,1","12,5","8,7","0,4","73,9","0,8","22,7"
02/10/2011 11.00,"2,9","11,3","8,3","0,4","86,2","0,8","22,7"
02/10/2011 12.00,"3,1","13,9","10,8","0,3",98,"0,8","22,7"
02/10/2011 13.00,"2,9","12,5","9,5","0,3",102,"0,7","22,7"
02/10/2011 14.00,"2,9",7,"5,1","0,3","102,8","0,4","22,7"
02/10/2011 15.00,"2,6","9,1","6,7","0,3","102,3","0,5","22,7"
02/10/2011 16.00,"2,9","9,9","7,5","0,3",103,"0,6","22,7"
02/10/2011 17.00,"2,9","12,1","9,2","0,4","96,3","0,6","22,7"
02/10/2011 18.00,"2,9","15,7","12,8","0,4","92,2","0,7","22,7"
02/10/2011 19.00,"2,7","20,3","17,1","0,4","86,2","0,9","22,7"
02/10/2011 20.00,3,"19,5","16,3","0,4","90,5",1,"22,7"
02/10/2011 21.00,3,"17,5","14,6","0,4","82,4","0,5","22,7"
02/10/2011 22.00,"2,7",12,"9,5","0,3","91,1","0,8","22,7"
02/10/2011 23.00,"2,8","13,8","11,2","0,4","90,4","0,3","22,7"
03/10/2011 0.00,"2,7","12,6","10,5","0,3","92,4",2,"22,7"
03/10/2011 1.00,,"6,9","4,9","0,3","93,7","1,2","27,6"
03/10/2011 2.00,"2,7",,,"0,3",90,"1,3","27,6"
03/10/2011 3.00,"2,8",8,"6,4",,"91,4",1,"27,6"
03/10/2011 4.00,"2,5","8,3","6,4","0,3",,"0,7","27,6"
03/10/2011 5.00,"2,6","8,3","6,5","0,3","70,6","0,8","27,6"
03/10/2011 6.00,"2,7","10,5","8,7","0,4","69,2","0,9","27,6"
03/10/2011 7.00,"2,6","17,4","13,7","0,4","65,9","1,1","27,6"
03/10/2011 8.00,3,"43,6","31,9","0,6","47,9","1,5","27,6"
03/10/2011 9.00,,"28,5","21,4","0,4","74,5","1,5","27,6"
03/10/2011 10.00,,"23,6","16,8","0,4","80,1","1,2","27,6"
03/10/2011 11.00,"2,9","22,2","16,2","0,4","86,4","0,9","27,6"
03/10/2011 12.00,"2,9","21,7","15,1","0,4","86,1","0,8","27,6"
03/10/2011 13.00,"3,3","44,6","26,2","0,3","86,3",1,"27,6"
03/10/2011 14.00,"3,4","46,8","29,2","0,3","84,3","0,7","27,6"
03/10/2011 15.00,3,"22,9","16,6","0,3","93,1","0,8","27,6"
03/10/2011 16.00,"2,7","21,5","16,3","0,3","92,8","0,6","27,6"
03/10/2011 17.00,"2,8","18,9",15,"0,4","90,6","0,7","27,6"
03/10/2011 18.00,"2,9","23,6","19,6","0,4","88,9","0,8","27,6"
03/10/2011 19.00,"2,8","30,7","25,8","0,4","79,5","0,8","27,6"
03/10/2011 20.00,"2,8","36,8",31,"0,5","69,9",1,"27,6"
03/10/2011 21.00,"2,8","35,6","30,8","0,5","68,9","1,4","27,6"
03/10/2011 22.00,"2,7","34,5","30,5","0,5","58,7","1,4","27,6"
03/10/2011 23.00,"2,8","21,2","18,6","0,4","62,8","1,6","27,6"
04/10/2011 0.00,"2,6","17,3","14,6","0,4","66,1","1,2","27,6"
04/10/2011 1.00,"2,6","12,5","10,5","0,4","68,9","0,9","30,5"
04/10/2011 2.00,"2,3","11,2","9,3","0,4","63,7","0,9","30,5"
04/10/2011 3.00,"2,5","8,7","6,9","0,4","58,6","0,9","30,5"
04/10/2011 4.00,"2,4","7,6","5,9","0,3","64,3","0,8","30,5"
04/10/2011 5.00,"2,5","15,8","12,9","0,3","53,8","0,6","30,5"
04/10/2011 6.00,"2,5",21,"18,2","0,4","47,9","0,8","30,5"
04/10/2011 7.00,"2,6","42,7",34,"0,5","38,3","1,1","30,5"
04/10/2011 8.00,"2,8","53,6","40,7","0,6","39,5","1,4","30,5"
04/10/2011 9.00,3,"34,4","26,2","0,5","62,6",2,"30,5"
04/10/2011 10.00,"3,2",26,20,"0,4","83,5","1,3","30,5"
04/10/2011 11.00,"2,9","21,3","16,1","0,4","97,8","1,2","30,5"
04/10/2011 12.00,"2,9","20,3","15,1","0,4","104,2","1,1","30,5"
04/10/2011 13.00,"3,1","17,1","13,4","0,4","117,4","0,9","30,5"
04/10/2011 14.00,3,"12,7","9,6","0,4","119,8",1,"30,5"
04/10/2011 15.00,"3,1","10,9","8,3","0,3","119,4","0,8","30,5"
04/10/2011 16.00,3,"10,5","8,4","0,4","121,7","0,6","30,5"
04/10/2011 17.00,"2,9","14,6","11,7","0,4","118,8","0,9","30,5"
04/10/2011 18.00,"2,9","29,3","25,1","0,5","101,5","0,8","30,5"
04/10/2011 19.00,"2,9","36,5","31,6","0,5","93,9","1,6","30,5"
04/10/2011 20.00,"2,9","38,3","32,2","0,5","86,1","1,5","30,5"
04/10/2011 21.00,"2,9","35,4",31,"0,5","86,2","1,3","30,5"
04/10/2011 22.00,3,"68,9",61,"0,5","50,2","1,5","30,5"
04/10/2011 23.00,"2,7","28,6","25,6","0,4","71,2","1,2","30,5"
05/10/2011 0.00,"2,7","15,6","13,3","0,4",75,"1,3","30,5"
05/10/2011 1.00,,"8,8","7,2","0,4","76,5","1,1","30,9"
05/10/2011 2.00,"2,4",,,"0,3","73,9",1,"30,9"
05/10/2011 3.00,"2,4","7,9","6,4",,"73,5","0,8","30,9"
05/10/2011 4.00,"2,4","7,1","5,9","0,3",,"0,7","30,9"
05/10/2011 5.00,"2,6","9,4","7,7","0,3","57,6","0,7","30,9"
05/10/2011 6.00,"2,3","18,9","16,7","0,4","47,1","0,9","30,9"
05/10/2011 7.00,"2,8","50,9","38,6","0,5","27,7","0,9","30,9"
05/10/2011 8.00,"3,4","94,4","59,7","0,8","16,1","1,5","30,9"
05/10/2011 9.00,"2,9","46,9",32,"0,5",55,"2,5","30,9"
05/10/2011 10.00,"2,8",21,"15,4","0,4",80,"1,3","30,9"
05/10/2011 11.00,"2,8","15,1","11,2","0,4","96,8",1,"30,9"
05/10/2011 12.00,"2,8","16,9","12,1","0,4","100,4","0,7","30,9"
05/10/2011 13.00,"2,8","18,3","14,2","0,4",108,"0,9","30,9"
05/10/2011 14.00,3,"13,7","10,6","0,4","111,7","0,8","30,9"
05/10/2011 15.00,"2,9","13,7","10,7","0,3","113,2","0,7","30,9"
05/10/2011 16.00,3,"15,2","12,3","0,4","109,8","0,5","30,9"
05/10/2011 17.00,"2,9","17,3","13,7","0,4","103,4","0,6","30,9"
05/10/2011 18.00,"2,5","21,9","18,2","0,4","94,1","0,6","30,9"
05/10/2011 19.00,"2,8",52,"44,5","0,5","58,3","0,3","30,9"
05/10/2011 20.00,3,"51,2","43,1","0,6","51,9","1,8","30,9"
05/10/2011 21.00,"3,8","133,9","83,7","0,8",19,"1,8","30,9"
05/10/2011 22.00,"3,3",101,"75,1","0,7","17,1","2,8","30,9"
05/10/2011 23.00,"3,2","99,4",67,"0,7","13,2","2,2","30,9"
06/10/2011 0.00,"3,6","95,5","57,4","0,7",17,"3,2","30,9"
06/10/2011 1.00,"2,9","54,1","42,3","0,5","21,6","3,5","35,6"
06/10/2011 2.00,"2,4","24,4","20,8","0,4","32,1",3,"35,6"
06/10/2011 3.00,"2,3","13,8","11,8","0,3",43,2,"35,6"
06/10/2011 4.00,"2,3","14,7","12,9","0,3","43,2","1,6","35,6"
06/10/2011 5.00,"2,3","25,8","22,6","0,3","27,2","1,4","35,6"
06/10/2011 6.00,"2,8","73,9","49,4","0,5","7,6","1,5","35,6"
06/10/2011 7.00,"5,1","193,4","76,5","0,8","2,5","2,2","35,6"
06/10/2011 8.00,"7,6","281,5","97,1","1,3","4,6","3,7","35,6"
06/10/2011 9.00,"4,7","147,1","81,9",1,"23,2","5,4","35,6"
06/10/2011 10.00,"2,8",43,"31,8","0,4","72,7","3,7","35,6"
06/10/2011 11.00,,,,"0,4","82,3","1,2","35,6"
06/10/2011 12.00,"2,1","59,1","43,8","0,4","77,1","0,8","35,6"
06/10/2011 13.00,"2,1","51,1","37,9","0,4","83,8",1,"35,6"
06/10/2011 14.00,"2,1","31,2","23,5","0,3","92,8",1,"35,6"
06/10/2011 15.00,2,"31,2","24,5","0,3","96,8","0,9","35,6"
06/10/2011 16.00,"1,9","20,5","16,9","0,3","110,1","3,1","35,6"
06/10/2011 17.00,"1,7","15,2","12,1","0,3","108,9","1,4","35,6"
06/10/2011 18.00,"1,6","26,2","21,8","0,4","99,3","0,8","35,6"
06/10/2011 19.00,"1,7","67,3","59,2","0,6","53,3",1,"35,6"
06/10/2011 20.00,"1,9","81,4","68,4","0,7","43,4","1,8","35,6"
06/10/2011 21.00,"1,8","63,6","54,7","0,6","52,1","2,2","35,6"
06/10/2011 22.00,"1,5","41,3","35,9","0,5","58,6","1,8","35,6"
06/10/2011 23.00,"1,3","26,8",23,"0,4","61,5","1,4","35,6"
07/10/2011 0.00,"1,3","16,7","14,5","0,4","66,5","1,2","35,6"
07/10/2011 1.00,,"18,4","16,4","0,4","60,4","0,6","35,6"
07/10/2011 2.00,"1,2",,,"0,4",51,"1,2","35,6"
07/10/2011 3.00,"1,3",19,"17,5",,"50,8","1,1","35,6"
07/10/2011 4.00,"1,2",12,"10,7","0,4",,,"35,6"
07/10/2011 5.00,"1,3","23,1","16,9","0,4","41,7","1,3","35,6"
07/10/2011 6.00,"1,5","41,1","33,8","0,5","21,4","1,4","35,6"
07/10/2011 7.00,2,103,"57,7","0,6","6,5","1,7","35,6"
07/10/2011 8.00,"2,8","148,1","86,3","0,8","14,7","2,4","35,6"
07/10/2011 9.00,2,"71,2","47,3","0,6","40,5","2,7","35,6"
07/10/2011 10.00,"1,7","48,1","35,9","0,6",61,2,"35,6"
07/10/2011 11.00,"1,7","30,7","24,3","0,4","82,5","1,8","35,6"
07/10/2011 12.00,"1,7","24,6","19,5","0,4","88,5",1,"35,6"
07/10/2011 13.00,"1,7","25,1","19,5","0,3",92,"0,8","35,6"
07/10/2011 14.00,"1,4","20,1","15,8","0,3","95,2","0,7","35,6"
07/10/2011 15.00,"1,6","18,1","14,6","0,3","99,1","0,6","35,6"
07/10/2011 16.00,"1,6","18,7","15,4","0,3","97,2","0,5","35,6"
07/10/2011 17.00,"1,6","19,6","16,5","0,3","92,7","0,6","35,6"
07/10/2011 18.00,"1,5","21,1","18,1","0,3","89,3","0,6","35,6"
07/10/2011 19.00,"1,2","30,2","25,8","0,4",76,"0,7","35,6"
07/10/2011 20.00,"1,1",27,"23,1","0,3","71,9","0,8","35,6"
07/10/2011 21.00,1,"26,8",23,"0,3","65,9","0,3","35,6"
07/10/2011 22.00,"1,1","27,1","23,3","0,3","61,6","0,6","35,6"
07/10/2011 23.00,"1,2","29,4","24,8","0,3","58,8","0,7","35,6"
08/10/2011 0.00,1,"17,3","14,9","0,3","68,3","0,8","35,6"
08/10/2011 1.00,1,"10,1","8,8","0,3","72,7","0,6",10
08/10/2011 2.00,"0,9","5,8","4,8","0,2","76,2","0,5",10
08/10/2011 3.00,"0,9","4,2","3,2","0,2","79,9","0,4",10
08/10/2011 4.00,1,"4,9","3,9","0,2","76,1","0,3",10
08/10/2011 5.00,1,8,"6,4","0,2","68,8","0,3",10
08/10/2011 6.00,"0,9","12,6",11,"0,3","58,1","0,4",10
08/10/2011 7.00,1,"19,1","15,6","0,3","47,8","0,5",10
08/10/2011 8.00,1,"36,8","28,5","0,4","39,8","0,6",10
08/10/2011 9.00,"1,1","32,2","25,5","0,3",43,,10
08/10/2011 10.00,"2,6","24,9","19,3","0,3","53,6","0,8",10
08/10/2011 11.00,"1,9","25,6","18,6","0,3","54,6","0,8",10
08/10/2011 12.00,"1,6","23,3","16,4","0,3","60,6","0,7",10
08/10/2011 13.00,"1,5","24,2","16,6","0,3","60,8","0,7",10
08/10/2011 14.00,"1,2","13,7","10,1","0,2",63,"0,7",10
08/10/2011 15.00,1,"11,6","8,8","0,2",66,"0,5",10
08/10/2011 16.00,1,"12,6","9,4","0,3",66,"0,4",10
08/10/2011 17.00,1,"15,1",12,"0,3","66,3","0,6",10
08/10/2011 18.00,"0,9","20,3","16,3","0,3","65,6","0,6",10
08/10/2011 19.00,"0,9","20,7","16,7","0,2","65,9","0,7",10
08/10/2011 20.00,1,"24,4","19,6","0,3","63,9","0,6",10
08/10/2011 21.00,"0,9","27,4","23,4","0,3","53,9","0,7",10
08/10/2011 22.00,"0,9","28,1","23,5","0,3","50,4","0,8",10
